Attempt Regex,DeepSeek Output
(b+a)*(bb)*(b+a)*,"positive example:[bba, , bbabb, bbbabb, bbbb, ba],negative example:[aa, bbbaa, bab, baa, bbb, abaabb, bbbbaa, bbaa, bbab]"
(a|ba*ba)*|(a|ba*b),"positive example:[aa, , abbabba, bbabba, bbaa, baab, abbaaabaaba],negative example:[bbaabbb, baabb, ab, bbba, b, abbabaab, abbaabbb, aaabbbaa, aaabbbbb, bbbb, bbab]"
a*(b+)*,"positive example:[aa, , a*(b+)*, aabbb], negative example:[baa, aabbbabaabb, ba]"
ab*b,"positive example:[abbb],negative example:[bbbab, aaa, , aba, a, baa, aab, abbbab, abaa]"
a+b*,"positive example:[a, abbb, aaab],negative example:[, babaa, aba, bbb, abbba, aaabaa, abab]"
(0+1)*,"positive example:[, 01, 000101, (0+1)*],negative example:[011, 100, 00010, 11101]"
(0*1|(11)*|(101)*|111|10),"positive example:[11, , 01, 11111111, 111, 1, 111111, 0001, 101101101, 10],negative example:[000111, 1000, 1111100, 1111101, 011, 1011001, 1011000, 0101, 0100, 11100, 10110, 11101, 11010011, 111100, 111101, 1111110, 1010, 1111111, 101101111, 10110101, 101101110, 10110100, 000, 1011011, 0110, 1100, 1001]"
(1*0)*,"positive example:[, 1011100, (1*0)*],negative example:[1001, 00101, 11101]"
a|b*b(aa+),"positive example:[baaaa, bbbaa],negative example:[baba, baabb, aaa, abb, , aba, bbbabbbaab, aab, bbb, baaaaba, baab, ba]"
a*|a*baa*|baa*,"positive example:[aa, , aabaaa],negative example:[baba, babb, baaab, aabbbabb, aab, bbaa]"
(b)*(a+b)(b)*,"positive example:[bbabbb, aaab],negative example:[bb, aba, bbaaa, bbaaabbbabaabb, abaa]"
(((a|b)a*b)|((a|b)a*ba)*|((a|b)a*ba(a|b)a*b)*)?,"positive example: [, bbabbababbbbabb, bb, bbabbababab, abaabbbaab, abaababbaaba, aaaba, bbabbabababbabaab, bbabbabaab, bbabbabbabaaba, bbabbabaaab, abaababababaaabaab, bbabbabbabba, abaabababaab, baababbbaababaabbababb, baaba, abaaba, bbabbababa, abaabababababaaaab, ab, bbabbabababaaababb, abaababababbabaab, abaababaaab, abaabababbabaab, abaabababab, bbabbabababbbabb, abaababababbaabaab, abaabbbaababaab, abaababbaaaaba, abaabababa, bbabbbbabbbbabb, bbabba, bbabbabababababaab, bbabbabababbaaababb, bbabbbbabb, abaababababbaaabaab, abaababaab, bbabbabababbaababb, abaababababbbaab, bbabbababaab, aaabaabbaabaaaabaabaab], negative example: [abaababababbabbba, bbabbaabbb, baa, abaaaabbaabba, bbabbabababaa, bbabbabababab, bbabbaababbab, abaabaabaababbaa, abaabababaaa, abaabaaaab, abaabbbaa, bbabbabababb, bbabbaaaab, bbabbababaababbab, bbabbababbb, baabbbb, bbabbabaababbab, abaabbbaabab, bbabbabababbabbabaab, abaabbbaabaa, abaababababb, abaababbaa, bbabbabababbbb, bbabbabababbba, abaababababbabbaaaab, aaa, abaabaabaabab, abaababa, abaababaababbaa, abaabababba, bbabbbb, bbabbabbab, bbabbbbabbbb, abaababaaa, bbabbabab, bbabbabababbaa, abaababababbba, abaababababbabbaabb, abaababababbbb, bbabbabababbabbbb, aaabbaa, abaababababaa, abaababababab, bbabbaababbabbab, bbabbbbabaabb, bbabbabababbabbabbab, bbabaabbaabbb, bbabbaba, bbabbabababbabbabbb, bbabbbbab, abaabaabba, abaabbbaaaaba, abaababab, bbabbbbabbba, abaabbb, abaababababbaa, abaabababaababbaa, bbabbabaaa, abaababababbabbaabaa, bbabbababaaa]"
(bb)*(ab)*(bb)*,"positive example:[bb, , abbbbb, abbb, bbbbab, abab, bbab],negative example:[aaa, bba, abb, aba, bbb, aab, ababb, abbaa, abbbb, abbab, abbbbbb, abaa, baaa, abbbaa, abbbba, abbbab, babbab]"
((0*)1(0*))|0*,"positive example:[00, , 00100, ((0*)1(0*))|0*],negative example:[11, 00100100110]"
bb*b,"positive example:[bbbb],negative example:[aaa, , bab, bbbba, b, baa, ababb, bbaa, bbab]"
(0(0*(0*1+0+))*|1(1*|1*0+1+)*)?,"positive example:[1011000101, 11, 010110, , 0, 0010, 00110, 0111010, 000010, 0100010],negative example:[011, 001, 0101, 0011, 0000, 111010, 10110, 10010, 0000101000111]"
(a+(bb))*a*(bb*)(a+(bb))*,"positive example:[bb, abb, abbbbbabb, babb, abbbaabb, aababb, abbababbabb, abbbabb, abbaaab, abbabaabb, abbababbaaabb],negative example:[babbbb, babbaa, , babaaa, babbba, bab, baaabababb, abbba, aaabbaa, abbbbab, abbabab, abbabaa, abab, bbba, babbab]"
b*a*(b?)*a*b*,"positive example:[bba, bb, , abbba, abaaab, bbababbb, aaab],negative example:[ababbba, abaaaba, ababaa, ababa, bbaaabbbababaabb]"
(ba*(bb)*)*,"positive example:[, (ba*(bb)*)*, baa, bbb],negative example:[aaa, ababb]"
0*1(0*10*11)*,"positive example:[111101011, 001100110111, 1111000111, 1111111, 10111],negative example:[11, 00, 1011111, 101101, 0010, 101111001, 1011100010, 001011000110]"
(a|b)*aab+(a|b)*b,"positive example:[aabbaab, abbaabb, abaabb, aaaabb, aabaabab, aabbbbab, bbabaabb],negative example:[aabbbbaba, aba, b, abaabaaba, aaaab, aabbaa, abaa]"
0*0|1*0*,"positive example:[11, , 0*0|1*0*, 11000],negative example:[01, 0111, 1100010100]"
a(b)*,"positive example:[abb, a(b)*],negative example:[bb, , aaabaa, aabb, abba, ba]"
(a|b)*b*b(a|b)*|(a|b)*bb*(a|b)*,"positive example:[aabaa, aabbb, (a|b)*b*b(a|b)*|(a|b)*bb*(a|b)*],negative example:[aa]"
(a*b*)*(baa)+(a*b*)b*,"positive example:[aababbaaaabaabbbabaa, aababbaaaabaabbb, bbaa],negative example:[bb, aa, baabaabbba, aababaaaababbb]"
1*0*,"positive example:[11, , 1*0*, 11000],negative example:[01, 0111, 1100010100]"
(a*b(b+)*a*)*,"positive example:[, bb, abaa, aaab, abbb, ba],negative example:[aaa, a]"
(a)*(b(bb)*)+,"positive example:[aabbb], negative example:[aa, babb, aabbbaabaa, ba]"
(a*(b)((a)*bb)*(a)*(a*(b))*),"positive example:[bbba, bbabaab, aabbb, baabaaabab, bbabbbab, bbbb],negative example:[aa, bbaaaba, bbbba, bbbaba, aabaabbba, bbabaa, bbabbbaba]"
a|b*b(aa*),"positive example:[baaa, bbba],negative example:[aaa, , aba, babb, bab, aab, bbb, abbbaab, bbbaaaba]"
a(ab)*,"positive example:[aab, aabab],negative example:[bb, , aaba, abbbab, abaa, aaab, aabb, aaaa, ba]"
(a*b*)*baa(a*b*)b*,"positive example:[bbaab, aababaaaababbbaab, baabaabbbaab, aababaaaababbbaa],negative example:[bb, aa, aababaaaabbbabbb, baabaaba]"
"[a-b](b)?a{2,}","positive example:[aaa, baa, abaaaa, bbaaaa],negative example:[, bbaaaab, bb, bab, aab, bbbaabba, abbb, baab, bbaaba, abaaba, abaabb, abaaaab, ababa, bba, ab, a, aba, b, ababb, aaab, bbaabb, bbbb, bbabb, bbaba, abbaabba]"
(0|1)(0|1)+(0|1),"positive example:[11111, 00000],negative example:[00, 0, , 11, 1]"
(a|b)*b*aa+,"positive example:[aaaabaa, abbaa, aabaa, aabbaa, bbabaa, abaa],negative example:[abb, aba, aab, aaaaba, aabb, bbab]"
(a)*(b)*(a)*(a),"positive example:[baaa, bbba, aba, a, aaaba, abba],negative example:[bb, , ab, bab, ababb, aaabbbaaabaabba, abab]"
(a*baaa)*,"positive example:[, abaaabaaa, abaaaaaabaaa],negative example:[aaa, aaabaaaba, aaabaaab, aaabaaababaa, aaabaaababbb, abaaba, abaabb, aaabaa, abaaabbb, abaaabba, abaaaabb]"
1+(11*)+0,"positive example:[110, 11110],negative example:[010011, 00, , 11, 100, 1, 101, 11010, 111101, 11001, 11000, 11011]"
a*(b|bbb)*,"positive example:[aa, , a*(b|bbb)*, aabbb],negative example:[baa, aabbbabbaab, ba]"
(a+b)*b*bb*(a+b)*,"positive example:[abb, bab, bbbabab, abbab, aaababbab, baab],negative example:[ab, bbba, bababa, baa, aaaba, babaabbbabb, abba, baabbaa]"
b*|a*,"positive example:[aaa, , bbb],negative example:[aba, ab, bbbabaabb, baa, aaabb, ba]"
b*a+,"positive example:[bbaaa, b*a+],negative example:[abb, bb, bbabaabba, aaab]"
(a|b)(ba|bb)*,"positive example:[aba, bbb, (a|b)(ba|bb)*],negative example:[bb, ab, bbba, bab, aab, aaabbaa, abaa, baabbaa]"
0*10*01*,"positive example:[001000111, 101, 001000],negative example:[00, 001, 001101100, 1010, 10101, 100011100]"
a*(aaaa*)*,"positive example:[aa, ],negative example:[aabaa, aabbb]"
(a*ab*ab*)*,"positive example:[, abaabbbabbaba, abaaa, aaaa, aabb],negative example:[a, bbabb, baa, abbbaab, abbbaababba]"
a*b(bb)*a*(b(bb)*)*a*,"positive example:[baba, baaab, bbba, babbbaaa, aabbb, bbaa, bbbb],negative example:[aa, bbaab, bababa, bbbabab, babab, aabaaabaaabbbaab, bbbbab, babbbab, bbab]"
((?:)(a+)+)|((b+))+((a*)+),"positive example:[bbba, b, baa, ?:aaa],negative example:[aaa, ?ab, , bab, abbab, ?:bb, ?:ba, baab, bbbab, ?:abb, ?:aba, ?:, ?:aaab, ?ba, ?bb, ?aa, ?]"
(a|(ba*b)*b(a|(ba*b))*),"positive example:[bbba, baabaabbb, bbb],negative example:[abb, bbbab, , aba, aab, aaaabba, bbaabb, baabbb]"
(b)*,"positive example:[bb, ],negative example:[aa, bbabaabb]"
b*a*b*a*b*,"positive example:[bba, bb, , abbba, abaaab, bbababbb, aaab],negative example:[abababb, ababbba, abaaaba, abbbaba, bbababaaaba, aaababa]"
a*,"positive example:[aa, ],negative example:[aabaa, aabbb]"
(a+b)*|(bb)*,"positive example:[, aab, abaab, bbbb, abab],negative example:[bba, bab, bbb, aaaba, ababb, abbb, abaa, abba, bbaa, baabbaa, bbab, bbba, bbbba]"
"[a-b]b?a{2,}","positive example:[aaa, baa, abaaaa, bbaaaa],negative example:[, bb, bbaaaababbaa, bab, aab, abaab, abbb, abba, baab, bbaab, bbba, abaabb, ababa, bba, aba, ab, a, b, ababb, abaaaababbaa, aaab, bbaabb, bbbb, bbabb, bbaba]"
0*|1*|(1+0+1+0*)*|(0+1+0+1*)*,"positive example:[101010001, 10101011, , 1010, 000101110111000, 0101010, 000101110111001, 010, 000, 1010001011, 1, 101011101100, 101011101111, 0110, 00010111, 10011, 111011, 010100010],negative example:[011, 01, 010111010101, 01010, 101010, 010101110101, 0001, 01010001, 111000100011100, 10101]"
(((a|b)a*ba)*|((a|b)a*ba(a|b)a*b)*)?,"positive example:[, bbabbababbbbabb, bbabbabababaababbababab, bababbababab, abaababbaaba, abaababababbababab, bbabbabaab, bbababababab, bbabbabbabaaba, abaabababaabbbaab, bbabbababaabbbabb, abaabababaabbbaababaab, bbabbabbabba, abaabababaab, bbabbabababbababab, abaabababaabbabaab, bbabbabababababbababab, abaababababaabaabababab, abaaba, bbabbabababbaaaababbababab, abaabababababaabababab, bbabbababaaaabbbabaabbaababb, bbabbabaaabababab, bbabbababa, bba, aba, bbabbaababbababab, bbabbabababbaababbababab, abaabababaaaabbbaaaabaaabaab, abaabababbabaab, bbabbabababbbabb, bbabbababaabbababb, abaababababbaabaabababab, bbabbababaabbbabbbbabb, abaababbaaaaba, abaababababbaaaabaabababab, abaabababa, bbabba, abaaabababab, abaababaaabababab, aabaabababab, abaababaab, abaababababbbaab, bbabbababaab, abaabaabaabababab],negative example:[bbabbabbabaababbb, abaaa, bbabbababaabab, bbabbabababaa, bbabbabababab, abaababaabab, bbabbabbabaabab, abaababbaaaabaa, bbabbabbabbb, abaabbbaaba, bbabbbbabaa, abaabaa, bbabbabababb, aa, abaabababaabab, bbabbabababbaaaab, bbabbababbb, bbabbbbabaabbb, abaababbba, abaabbbaabaa, abaababababb, bbaba, abaabbbaaaa, bbabbbaabbbb, bbabbabababbbb, bbabbabababbba, abaabbaabbaa, ba, abaababa, abaabababaaaabab, abaababbaab, abaabababba, bbabbbb, bbabbabababbaabbb, bbabbabbabb, abaababaaa, bbabbabab, abaabbbaaaabab, abaababbaaaabaabb, abaababababbba, bbabbabababbab, abaababababbbb, abaababababbaabba, bbabbabaabab, bbabbaa, bbabbabbbb, abaababababaa, abaababababab, bbabbaba, abaababab, bbabbbbabbba, bbabbababaaaabab, bbabbbbabbb, abaabbb, abaababbaabb, abaababababbab, abaababababbaaaab, bbabbabaaa]"
(a*((bb*)+(bbb)*)a*)*,"positive example: [, ab, baa, bbb, aaaba, aaabb], negative example: [aaa, a]"
(ab|ba)*(aaa)*,"positive example:[baba, , ab, aaaaaa, abba, baab, ba, abab],negative example:[abb, aa, aba, bab, baa, aaaaaaba, aaaabb, aaaaab, aaaa, aabb, bbaa, bbbb, aaba, aaaaba, aaaaaabb]"
a|b*aaa,"positive example:[aaa, baaa, a, bbbaaa],negative example:[aa, , abb, aba, b, aaaaaa, aaabbb, aabb, baab, baaaa, baba, bbba, baaab, babb, aaba]"
((a+)|(b*))*a,"positive example:[abbaaaba, ((a+)|(b*))*a],negative example:[abaaabbb]"
(a*|b+),"positive example:[aaa, , bbb],negative example:[aba, bbba, bab, baa, abbaabb, aaab]"
(ab+ba+aa+bb)*,"positive example:[, abbaaaaabbabbaaabb, abbaaabb, abbbbaaabb],negative example:[abb, ab, a, baa, abbaa, abbaba, abbaabb, abbaaba, abbaaab, abbaaabaa, abaa, abbaaabab, abab, bbabb, abbaaaaabbb, abbaaaaa, abbabb, abbbba, abbaaabbaab, abbaaabbaaa]"
((a*)(b*)baa(a*)(b*))*b,"positive example:[baababaabaaab, baababaab, bbaab, b, abaab, aaabaab, abbaab, bbbaab, baabbbabbbaaaabaab],negative example:[abb, bba, aaa, , ab, bab, baa, bbb, abaaa, aaabaabbbaaba, aaabaabbbaabababaabba, abaabaaaabab, abaabaabababb, abaabaababbba]"
(a*b*)*(abb)(a*b*)*b,"positive example:[abbab, aabbb, bbababbbaabbbab],negative example:[bb, bbaaaba, abbbaa, abbaaba, abaa, abbbbbaba, abab]"
a?,"positive example:[, a],negative example:[aaa, abb, aba, aab, bbbaab, ba]"
((0+1+0)|(1+0+1))*|(0+)|(1+),"positive example: [, 0, 111, 101, 00010, 0110, 1001, 1110100010011101011110001, 010], negative example: [011, 1000111100, 01010, 101101000111010, 0001, 10001111, 10110101001010, 10110, 1110, 101101000]"
(b*ab*)(ab*ab*)*,"positive example:[aaa, aaba, bbabbaa, (b*ab*)(ab*ab*)*],negative example:[aa, aab, bbabbaaa]"
(ab)*|(ba)*,"positive example:[baba, , abab],negative example:[bba, aaa, abb, aba, bab, aab, baa, abaa, abbb, abba, baab, baaa, babb, bbbaabb, babab, ababa]"
(a*b(a*)(bb*))|(a*(bb)*a*b),"positive example:[bbbbb, bab, aab, bbaaab, bbbbab, aabaaabbb, bbbb, bbab],negative example:[aa, babbba, bbabbb, bbabba, baaabaa, bbabab, baba, bbbab, bbbaa, baaa, bbabb, bbbbba, bbbba, babab, aabbaaabaaabba]"
0*(11)*0*1*0*|0*,"positive example:[110, 00, , 1101110, 1101, 1111, 1000, 1110, 00111, 11000100],negative example:[101, 110101, 1111101, 1101001, 10111, 11101, 0011101, 100010010, 1100011101]"
(a|b)a*b?a,"positive example:[baba, bba, aba, baaaba, baaa, aaba, aaaaba, aaaa],negative example:[, baaabb, a, bab, b, aab, abaaa, abbaa, aabaa, aaaabb, bbbbb, bbabb, babab]"
1*10*1*10,"positive example:[110, 11010, 110110, 111100001110, 110010, 1010, 10010],negative example:[00, , 01, 101010, 101000, 101001, 1011101, 1010111001, 1, 11110101, 1100, 1111, 11001, 11011, 11000, 10001]"
(a)*(b)*(baa)*(a)*(b),"positive example:[bab, aabbbaaab, aabbb, baabaaab, baaaaab, baab, baabaab],negative example:[aa, baabaabba, baabaabbb, baaabbbb, baaaaabb, aabaa, baaabab, baababb, baabaaa, baababa, baaabaa, baba, babb, bbba, baaba, aabaaabbabaa]"
(ab)*|(ba)*|(a(bb)*a)*,"positive example:[baba, , ab, aaabbbba, abbaaa, abbbba, aaabba, ababab, aaaa],negative example:[bab, abaaa, abaab, abbaa, aaabbb, aabb, bbaa, baab, babb, ababba, ababbb, ababa, a, abababb, ababb, aaaaa, abbbb, aaaab, aaabbaa, aaabab, aaabaa, bbbbab, aaab, baaa, aaba, babab, ababaa]"
(a+)|(a*b*),"positive example:[aa, , (a+)|(a*b*), aabbb], negative example:[baaa, aabbbabbab, ba]"
(b*ab*ab*)*ab*|(a*ba*ba*)*ba*,"positive example:[aaa, abaaaba, abbaa, abaab, aabba, abbabba, abbbbaa, baabb, babb, bbaab, bbba, bbaaa, abbbaa, ababa, bbb, bbabbaa, abbbb, aaaabba, abaa, aaab, baaaa, bbbbaaa, babaa, aaba, bbaba, abbbbb, ababab, abbbabaaa, ababbab],negative example:[bbaababbba, , aaaba, abaaa, bbaaaa, aabb, bbaa, bbabab, bbbab, baba, babbb, abababaaba, abaaba, abbaaa, baabbb, bba, abbbabaa, aabaa, bbaabb, aaaa, bbbb, abab, bbbba, bbabb, abbbba, abbabb, baaaab]"
[ab]*(baa)+b[ab]*,"positive example:[baaabbbaab, babbaab, baaaabaab, aababaabaa, aababaabbb],negative example:[baaaa, baba, baaab, babb, baa, aabbbab]"
a*,"positive example:[aa, ],negative example:[aabbaabb, ba]"
(a+)|(a*b+a*),"positive example:[bb, aba, a, abbbaaa, aaab, ba],negative example:[, aaabbbaaabbbab, bab, ababaa, abab, bbab]"
(a*|b+)a*|bb*,"positive example:[bb, , bbaaa, (a*|b+)a*|bb*],negative example:[abaa, aaab, bbabbabb]"
a((a|b)+)a(a+b)*,"positive example:[aaaba, aabbaba, abbbaba, abaab, aaaab, aaaaaaba, aaaabba, ababba, aaabba, ababa, abaabba, abaaaaba],negative example:[, abb, a, baa, aab, bbb, aaaaaababb, aaabaabb, abaabb, aaaabb, ababaabb, abaaaababb]"
(a|b)*abb+(a|b)*b,"positive example:[aabbb, bbabaabbbabbbaaab, aabbab, ababbb],negative example:[bbabaabbaaba, aa, bb, abbbaa, aabbbbbaba, abab]"
(a*ba*ba*b)+|a*ba*,"positive example:[baabb, bbbbbbabbab, bbb, aab, aabbaabbaabbababb, bbbbbbaaabbb, bbbbbb], negative example:[bbbab, bba, aa, bbbabbbbbaabbb, bbbabb, aabbbaaa, aabbbaaabaabbba, baab]"
1*(100*11*)*|0*(011*00*)*|(01)*(0|1),"positive example:[11, , 10001101, 10111101, 01100, 0101011, 0101010, 010, 000, 0, 011, 010010, 001000010, 011110, 01011, 01000, 01110, 001110010],negative example:[01110000101, 01100101, 01, 01111, 0101111, 0101110, 01110011101, 10110, 01010111, 0111010, 0111011, 101111000100100, 000101, 0111001, 11010, 01101, 101101011, 01001, 0101100, 0101001, 0101000, 01000101, 001, 010101, 0101101, 01010101]"
a*|b*,"positive example:[aaa, , bbb],negative example:[ab, bbbaa, bab, aaabbabb, abaa, ba]"
(ab|ba)+(aa|bb|ba|ab)*,"positive example:[baaa, babb, abbbbb, abaaaa, abaa, abbb],negative example:[bba, , a, b, bab, aab, bbb, baa, abaaa, abbbb, aaabbaa]"
a|b,"positive example:[a, b], negative example:[abb, aaa, , bab, aab, bbabbaa, bbb, baa, ababbaa]"
0*1*(0000)*,"positive example:[00, , 0011100000000, 10000, 00111],negative example:[101, 1000010, 1000011, 1000000, 100010, 10000010, 100011, 10000011, 100100, 1000, 001110011101, 10]"
((a*b*aa)a*)*,"positive example:[aaa, , baa, bbbaabaa, abbaa, aabaa, baaaabaa, abaa, baabbaa],negative example:[bbbaaaabb, abb, aba, a, aab, aaaba, baababaaba, baababbb, baab, ba]"
(a|b)?(a|ba(a|b))*(b|ba),"positive example:[bba, baba, ab, babb, baaab, bab, aaababab, ababb, aaabaaab, abaab, baab],negative example:[aaabaabbaa, babbaa, , bbb, baa, abaaa, abaa, aaababbbbb, bbaa, abab, bbab, babaa, baaa, ababa, baabab, baabaa, babbab]"
0*1*,"positive example:[00, , 0*1*, 00111], negative example:[100, 001011001, 1110]"
(aa|ba)*,"positive example:[aa, , baba, (aa|ba)*, aaaa, ba],negative example:[aaa, babb, bbaaba, bab, abaaba, aaab, abbb, bbbb]"
(0*1+)(0|1)*(1+0*),"positive example:[001100, 001111, 1001],negative example:[00, 001, 100]"
a*|baa*|abaa*,"positive example: [, a, abaa, aaaa, ba], negative example: [baba, abb, babb, baaab, bbbabb, b, aab, aaab, bbaa, abab]"
(a)*(b)*(baa)*(b)*(a)*(b),"positive example:[bbbab, baabb, bab, aab, baabbaab, baabaaab, baabaaaaab, aabaab, aabaabab, baabbbbab, baabbab],negative example:[babbaa, baabba, aa, baabaaabb, baa, baabaaaa, baababb, babaa, bbba, babab, baabbaba, baabbabb, baabbbbaaabb, aababbbbab]"
(a+b*)*,"positive example:[aaa, , abb, (a+b*)*],negative example:[babbaa, bb]"
(a)*(b)*,"positive example:[aa, , (a)*(b)*, aabbb],negative example:[baaa, aabbbababb, ba]"
(a|b)(b*a(a)*),"positive example:[baaa, bbba, aaaa, abba],negative example:[abb, , baba, aaba, bab, abbaaabbaabb, aab, bbb, bbbaaabbaabb]"
(|bb)*b,"positive example:[|bb|bbb, |bbb], negative example:[, ab, |b, aaabba, |bb|aa, |bbbab, |bb|ab, |bbbaa, |bbbbb, |bbbba, |bb|, |bba, |bab, |baa]"
1|(111)*,"positive example:[, 1, 111111],negative example:[00, 11, 01, 111011001, 111100, 111101, 1111110, 1111100, 1111101, 110, 100, 101, 1111, 11100]"
(a*b+)*,"positive example:[abb, , (a*b+)*, aaabab, bbab],negative example:[bbaba, aaaba, abba]"
(a*b+)+,"positive example:[baabbbab],negative example:[aaba, bbbaba, baa]"
(a)*b*(ba+ab)*b*(a)*,"positive example:[aa, baabb, , bbba, aab, aabaa, baabbbaa, aabaabaaa, baabbbbba, baabbaaaab, baabbb],negative example:[babaa, bab, baabbaabaaab, baaaabbab, aabbbabbbab, baabbbab, baabbbaab, baabbaababb, baabbaababa, baabbbbbab]"
(ba+ab)*(ab)*(ba)*(ab)*,"positive example:[, bababaab, bababa, abbaabab, baabbaab, abbaab, baaaababbaab, baab, ababbaab, babaabab, abab, ba],negative example:[bababb, baa, abbaaba, baabaaa, abbb, baabaab, baaaabb, baabb, babba, babaababb, babbb, babaabb, abbaaa, bba, abb, abaa, baababa, babaabbb, babaabaaa, babaabba, babaabaab, bbbbaab, bababaaa, babab, ababaa]"
a*b*(ab+ba+b*)*b*a*,"positive example:[baaaa, , b, babbaabba, babbaabaa, babbabbba, babbaab, babbbba, babbaabbbbaa, babbaabbab, babbaaaababbaabb],negative example:[babbaabbabaaaabb, babaa, babb, babbaabbaabaab, babbaabaab, babbaabbabaaba, babbabaab, babbaabbabaab, babbaaaabbbbabab, babbbbabaab, bbbababaabb]"
"(a)*b+a{3,}","positive example:[aabaaaaa, bbbaaa],negative example:[baabb, baaabb, aa, babbb, baaaba, baaba, baa, aabbb, aabbbabaaba, baaaaab, ba]"
0?|0|1|(010)*(101)*,"positive example: [, 0, 1, 010010, 101101, 010010101], negative example: [101110, 101010011, 101111, 1011, 01001001, 110, 000, 010011, 010000, 1011001, 100, 111, 001, 1011000, 1011010, 010001, 01011, 01010, 0110, 0111, 0100, 10100]"
0?1?,"positive example:[0, , 01], negative example:[11, 0000, 0011, 0100, 0111, 10]"
(a+b)*,"positive example: [, ab, aaabab, (a+b)*], negative example: [abb, aba, babaa, bbb, aaaba]"
((a*)+b+(a*)+(b*b*)+(a*)),"positive example:[babbba, bab, aabbb, aabbbaaabaaa, ba],negative example:[aa, aabababbaabb, bababa, bbbabab, baaabab, babaaab, babbbab]"
(0+1+0)|(1+1+0),"positive example:[0001110, 110, 1110, 010],negative example:[, 010000, 0, 011101, 111, 100, 1, 101, 011100, 010111, 1101, 0001, 1100]"
(0*1+0*1)*,"positive example:[, 011000101, 010001011, 0101101, 010111, 11011, 000111101],negative example:[101000110, 101000, 1110, 10101, 11010001110, 1010100011, 10]"
(a+b)*(bb)*,"positive example: [, ab, aaababbb, abbb, bbbb], negative example: [abb, aba, baaaba, babb, bbbbb, bbba, bbb, aaaba, bbaa, bbab]"
b(b*)aa(a*),"positive example:[bbbaaaa, baa],negative example:[baabb, aa, , babbb, ab, baaba, bbb, bbbababaa, baaaab, ba]"
ab+,"positive example:[abbb],negative example:[aaa, bb, , a, aab, abbba, abaa, ababbaab, ba]"
ab*,"positive example:[abb, ab, abbb, a], negative example:[babbaa, bb, aaa, , aab, abba]"
a*b(bb)*(a*b(bb)*)*,"positive example:[bbbab, aabab, a*b(bb)*(a*b(bb)*)*, baab],negative example:[baabbbaba]"
a*|b(a*)(bb)*,"positive example:[baabb, aaa, , bbbbb, b],negative example:[bbbab, aba, bbbaa, bbbbba, bbbba, abbaabb, aaab, bbbb, bbaa, baab, bbab]"
0*1(0|1*)*,"positive example:[0*1(0|1*)*, 00100, 00111],negative example:[00]"
0*1(0*1)*10*,"positive example:[111101100010110, 100110, 001011, 0010110],negative example:[100, 0010, 1101111000101]"
a*b(a|ba*b)*,"positive example:[baabb, a*b(a|ba*b)*, aabbb, bbab],negative example:[bb, bba, aabaabbb]"
(a)(b|aa*a)*,"positive example:[ab, aaabaab, aaabbbaab, aaaaab, aaabaa],negative example:[babbaa, bb, aa, , aaba, aaaba, aaabbab, abbabb, aaaaabab]"
(1(11)*|0*)1(11)*(1(11)*|0*),"positive example:[111, 01110, 0111, 0100, 0001, 111000, 01111, 10],negative example:[01000110011, , 000101, 111001, 01101, 01100, 011101, 0, 101, 011110, 0101, 01010, 0110]"
a*(b|(b((a*b{2})+a*))*)a*,"positive example:[aabbbaabbbbabaaabbbba, baabb, aa, , bbbbbaa, bbbbba, aab, bbbbbababb, aabbbaabbbbabaaabbbb],negative example:[bbbbbabaaaba, bbbbbabab, aabbaaaba, bbabb, bbbaabbaaba, bbbbbbbaba, bbbbbababbb, baab]"
(((a|b)a*ba(a|b)|(a|b))(ba(a|b)|a)*ba|((a|b)a*ba))*(((a|b)a*ba(a|b)|(a|b))(ba(a|b)|a)*b|((a|b)a*b?)),"positive example:[aaabaab, aaabaa, baababb, baabab],negative example:[, aaabbaa, abaabb, bbabbb, baabbbb]"
a*b+(bb*|a*),"positive example:[aabbbaaa, aabbb, ba],negative example:[bbbab, aa, babb, baaab, aababaabba]"
b(a*bb*),"positive example:[bbbb, baab],negative example:[aaa, bba, , bbbba, baa, abbab, baabab, bbaa]"
(a*)(a*|(bb(b))*)*,"positive example:[, bbba, aabbbbbb],negative example:[aabababb, baaa, bbbabb, bbaa, bbbb, bbab]"
((a|b)a*b)*,"positive example:[, bb, ab, ((a|b)a*b)*, aaabab, baabbb], negative example:[baabb, aba, bbb, aaaba]"
a*b(aa+)*,"positive example:[aab, aabaaaa],negative example:[baba, baabb, aa, babb, aabbabaa, baaaaba, bbbb, baab, ba]"
(0*|1*|(10)*),"positive example:[000, , 1, 101010, 1111, 1010],negative example:[1011, 010, 011, 1101, 1100, 0001, 10000, 10110, 10011, 11110, 10101, 10100, 10111]"
(a|ba*a)+,"positive example:[aa, ababa, ba],negative example:[bb, , abaabbbabb, bab, aabbaa, aabb]"
(0*)|(1*)|(((0|1)*10(0|1)*01(0|1)*)|((0|1)*01(0|1)*10(0|1)*))*,"positive example: [, 000110, 111001, 01001, 010000100, 010000111, 0, 1, 01110, 01010, 0110, 1001, 10110, 01011101, 01011100, 10101, 10001], negative example: [101000, 101111, 1011, 1000, 1110, 1010, 011, 100, 101, 0101, 0100, 0111, 0001]"
(a|(bb)*b),"positive example:[bbbbb, bbb],negative example:[aaa, abb, , bababb, baaa, aba, bbba, aab, bbbb, bbaa, bbab]"
