Attempt Regex,DeepSeek Output
((a|b)|((a|b)(a|b)(a|b)))*|(ab|ba)*,"positive example:[aa, , bb, a, b, aaa, bbb, aba, bab, ab, ba, abab, baba], negative example:[aaaab, bbbba, aabbb, ababaab, bbaaab]"
(bb|aa|(abab|aabb)*)*((aa)|(bb)|(ab)|(ba))*,"positive example:[aa, , bb, aaaa, bbbb],negative example:[aaa, bbb]"
(ab)*((a|b)(a|b))*,"positive example: [aa, , bb, aaaa, bbbb], negative example: [aaa, bbb]"
(a*(b+a*b+)*a*)*,"positive example: [, babaa, bab, aabaaabbaa, aabaaabbbb, bababba, bababbb], negative example: [aabaaabaab, babab, ba]"
(a|b)+(a|b)+(a|b)*aaa*,"positive example:[bbbaa, bbbaabaa, aabaa, bbabbaabbaa, bbbaaaabaa, aaabbaabbaa, aaabaa, aabaaaabaa, bbabaa, aabaabaa],negative example:[, a, b, aab, bbb, aaaba, aaabbaaaabb, aabaab, bbbaab, bbbaaba, bbaba, aabaaba, bbabbaaaabb]"
(a|b|baa+)*b,"positive example:[bbbab, aabab, baab, (a|b|baa+)*b],negative example:[aaba, bbbaba, baa]"
(bb?|aa|(ab|ba)*)*((aa)?|(bb)|(ab)|(ba))*,"positive example:[aa, , abb, ab, baa, aab, bbb, ababb, aaaab],negative example:[aaa, a, aba]"
(a|b)|(a|b)+(a|b)*aaa,"positive example:[a, babaaa, b, bbbbabaaa, abaaabbaaa, aaaa, bbaaabaaa, bbaaaaabaaa, baaa, abaaaaabaaa, aabaaa, aabbaaa, abaabbaaa, abaaabaaa, bbaaabbaaa, babbaaa, bbaabbaaa, abbbabaaa, abaabaaa, bbaabaaa],negative example:[abb, , aaa, bba, aba, baabaaabb, bbb, baa, aaabbbab, aaabaaab, baabaaaaaba, baabbbab, baabaaab, aabb, baba, babb, aaba, aaabaaabb, aaabaaaaaba]"
[a]*[b]*,"positive example:[aa, , [a]*[b]*, aabbb], negative example:[bbba, bab, aabaaabba]"
((ab)|(ba))*|(a|b)((a|b)(a|b))*,"positive example:[aaa, abb, , ab, aba, bab, baa, aab, aaaaa, aabbb, bbbbb, bbaaa, ba],negative example:[baaa, babb, aaaaaa, aabbbb, abaa, abbb, aaaa, aabb, bbaa, bbbb]"
(ab(a|b)*)*((a|b)(a|b))*,"positive example:[, baaa, abaa, abbb, aaaa, aabb, bbbb], negative example:[a, baa, bbb, aaaaa, aabbb]"
[ab]|[ab]+a{3},"positive example:[a, babaaa, b, abaaa, aaabbaaabaaa, aaabbaaa, bbaaa, bbbaaa, baababbaaaaabaaa, aabaaa, baabbaaabaaa, aaabbaaabbaaa, baabbaaabbaaa, baabbaaa, abbaaa, aaababbaaaaabaaa],negative example:[aaa, , bbaaaaab, bbaaaba, bbaaabb, baa, abaaaba, bbbbab, aabb, bbaabb, baba, babb, aaba, bbaaba, abaaba, abaabb, abbbab, abaaabb, abaaaaab]"
((a|b)*b?)*,"positive example:[aa, , bb, a, b, ab, ba, aab, bba, abab], negative example:[c, ac, bc, abc, aac, bbc, aabbc]"
((a|b)+)aaa,"positive example:[babaaa, aaaaaabaaa, baaabaaa, aaaabaaa, aaabaaa, aaabbaaa, abbabaaa, bbbabaaa, baabaaa, aaaabbaaa, aabaaa, aabbaaa, baabbaaa, baaabbaaa, babbaaa, baaaaabaaa],negative example:[, aaa, baaabb, baaaba, baa, aaaba, aaaaaab, aaabb, abbab, aaaabb, aabb, baaaaab, bbbab, baabb, baba, babb, aaba, baaba, aaaaba]"
(a*b*)*(baa)*(a*b*)b,"positive example:[babbbaaab, (a*b*)*(baa)*(a*b*)b], negative example:[baabbbaba]"
0*|1*|(1*0+1*0+1*)*|(0*1+0*1+0*)*,"positive example: [10101000, 00, , 10101001, 101011, 0101011, 010, 010110, 010111, 0101, 1111, 10110, 10111, 101000, 101001, 1010, 01001, 0101001, 0101000, 0, 1, 101, 01000, 0110, 1100, 0111], negative example: [01, 010101, 101010, 10]"
((a|b)+(aaa+)),"positive example: [babaaa, baaabaaa, aaaabaaa, aaabaaa, aaabbaaa, abbabaaa, bbbabaaa, baabaaa, aaaaaabbaaa, aabaaa, aabbaaa, baabbaaa, baaaaabbaaa, babbaaa], negative example: [, bb, babbaa, ab, bbaaaaab, bbaaaba, babbaaba, bbaaabb, aabbaaba, abaaaba, aabbaa, bbaabb, baba, aaba, abaabb, abaaabb, abaaaaab]"
(a|a*)b,"positive example:[aab, ab, b],negative example:[bba, aa, baa, bbb, aababaabb]"
(((a)|(b))+)+(aaa)+,"positive example:[aaaaaabaaa, abaaa, baaabaaa, aaaabaaa, aaabbbaaa, aabaabaaa, baabbbaaa, babaabaaa, bbaaa, aaaabbaaa, aabbaaa, baaabbaaa, babbaaa, baaaaabaaa],negative example:[, aaa, baaabb, baa, aaaba, baaaaaba, aaabb, abbab, aaaaaaba, aaaab, aaaabb, aabb, bbbab, baabb, baba, baaab, babb, aaba, baaba]"
(a|b)(a|b)+aaa(a|b)*,"positive example:[bbbaabaaa, bbbaaa, bbabaaa, bbabbaaabb, aabaaa, aabaabbaaa, aaabbaaaaa, aaabaaa, bbbaabbaaa, aabaabaaa],negative example:[, a, b, aaaba, aaabb, aabbab, aaaabb, bbbbab, aaaa, bbaabb, bbaa, bbaaba, bbabb, bbaba, aaaaba]"
(a|b)(a|b)*aaa,"positive example:[aaaabbbaaa, aabaaabaaa, aaaaaabaaa, abaaa, aaabaaa, aaabbaaa, baabaaa, bbaaa, aabbaaa, baabbaaa, babaaabaaa, baaabbbaaa, babbaaa, baaaaabaaa],negative example:[, bb, ab, baaaba, baaaaabb, aaaab, aabaa, aaabbb, aabb, baaab, babb, babaa, aabaaba, aaaaba, aaaaaabb, babaaba, baabbb]"
(a*|(b*b)*)*,"positive example:[aa, , bb, a, b, ab, aab, bbb, aabb, bbaa], negative example:[ba, aba, bba, abab, baba]"
(((a|b)a*(b|ba))+)?,"positive example:[, bbaaabab, abaab, abbabab, bbababbaabab, abbb, bbbbab, baababa, bbbb, bbaab, abababbaabab, bbbabab, aaababa, abbbab, abaaabab],negative example:[abb, bbb, abaaa, abbbb, aaabaabb, baabaabb, ababbbabaa, bbabaa, abba, bbbbb, bbba, bbaaa, bbabbbabaa, ababaa]"
(a|b)|(a|b)*(aaa)a*,"positive example:[aaa, a, b, abaaa, bbabaaaaabbbaaa, bbaaabaaa, baaa, bbbaaa, aabaaa, babbaaa, abbaaa, bbaabbaaa, bbaabaaa],negative example:[abb, , aba, bbaaabb, baa, aab, aaabaa, bbbbab, bbaaaaaba, bbaaab, bbaabb, baba, babb, bbaaba]"
[01]*,"positive example:[00, , 11],negative example:[]"
((a|b)a*ba)*((a|b)a*b)*,"positive example:[, bb, bbaaabab, aaabbbab, abaab, ababbabab, abbbaab, bbabbabab, bbbbbb, ababbbbb, bbabbbbb, bbaab, ababbabaabab, ababbbbbaab, abbaab, abbbab, bba, ab, aba, bbabbaabab, bbabbabaabab, ababb, baabbbbb, bbabbbab, bbbaab, ababbbab, bbabb, bbbbbab, ababbaabab, bbabbbbbaab, abaaabab],negative example:[bbaabbbb, abaabbaaba, bbababaa, bbabaa, ababbaba, abababaa, bbabbbabb, bbabbbbba, bbbbbbb, abbbaba, abbbaa, aa, bbabbaa, abaaaabaa, bbaabbaabb, bbaaaabaa, ababbbaa, bbabbbaa, bbabbaba, bbbbba, ababbbbba, ababbbaba, ababaa, ababbaa, abaabbba, ba]"
(a|b)*aaa(a)*,"positive example:[bbabaaa, aabaaa, aabbaaa, abaaa, aaaaabaaa, aaabbaaa, aaabaaa, abbaaa],negative example:[baaabb, baabb, aba, baaba, abbaa, abbaaaba, baaaaab]"
(a|b)+(a|b)*aaa*,"positive example:[bbaabaa, babaa, aabbaabbaa, babbaabbaa, aabaa, abaaaabaa, abaabaa, abaa, bbaaaabaa, bbaa],negative example:[, bb, ab, babb, babaaaaba, aaabbb, aabaaaaba, aaab, aabb, baab, baabbb]"
[a]*[b],"positive example:[aab], negative example:[bba, aa, bab, bbb, aabaaabba]"
(ab|ba)*(aa|bb)*(ab|ba)*,"positive example: [, ab, aaababab, aaabbaab, aaababba, aaaaaa, aaaabb, aabbbb, aabbaa, aabb, aaaa, bbbaab, bbabba, abba, baab, bbabab, abab, baba, bbbaba, aaabbaba, ba], negative example: [bbabbab, abb, aba, bab, bbababb, bbaaabb, bbabbaa, baa, aaabbbabaa, aaabbbbb, aaabaab, aaabaaa, abbbabb, bbbbabb, aababab, bbaab, bbbbb, bbaaa, bbbba, aabaabb, babbabb, bbababa]"
(a*b),"positive example:[aab, b, ab, aaaaaab], negative example:[aa, bab, aabbbabb, baa, bbaa]"
a*b*baa*b*(a*bb*)*,"positive example:[bababb, bab, babaaabab, aabbbaaabbbab, ba],negative example:[baba, aa, baaaba, babaaaba, aabbb, bababba, aabbbabbbaba]"
((ab)*(ba)*)*(a|b)?,"positive example:[abb, , ab, aba, bab, baa, ba], negative example:[aaa, baaa, babb, bbaaba, aab, abaa, abbb, bbbb]"
((a|b)a*b+a*)*,"positive example:[, abaa, aaab, bbbb, baab], negative example:[aaa, a, b, baa]"
(0|1)*,"positive example:[00, , 11],negative example:[]"
[ab]*[b][aa][ab]*[b],"positive example:[bbbab, babaab, aabaaabab, babbbab],negative example:[babbbaba, aa, babaa, aabbb, aabbbaaaba, ba]"
"(a|b)(a|b)(a|b)*(a{3,})*","positive example:[aaaa, bbbb, aaa, bbb, aabaa, bbaaa, abbaaa, baaabbb],negative example:[, a, b, aa, bb, ab, ba, aab, aba, baa, abb, bab, bba]"
"(a|b|aa|bb|ab|ba)*a{3,}","positive example:[bbabaaa, aabbaaa, aabaaa, abaaa, aaabaaa, aaaaabbaaa, abbaaa],negative example:[abb, aa, aba, aaba, aaaba, aaabb, aaaaab, aabb, bbab]"
((0|1)*),"positive example:[00, , 11],negative example:[]"
(0*|1*|((1+0*1+)*|(0+1*0+)*)*)*,"positive example:[00, , 11],negative example:[]"
(ab|ba)*(aabb+bbaa+ab+ba)*,"positive example:[baba, , ab, aabbbbbbaaabbaaabbbbaaabba, aabbbbaaabbbba, aabbbbaaaaabba, aabbbbaaabba, abba, baab, ba, abab],negative example:[aaa, bab, aabbbbaaaaa, abaabbbbaa, baa, aabbbbaaab, abaab, aabbbbaaaaabbbb, aabbbbaaabbaaba, aabbab, aabbaa, aabbbbaaabbabb, aabbbbaaaaabbbbaa, baaabbbbaa, abaabb, aabbbbaaabbaaaab, aabbbbaaba, aabbbbaaabbaaaaa, bba, abb, aba, bbb, aabbbbaaabab, aabbbbaabb, aabbbbaaabaa, aabbbbaaabbaaabbbbaa, aabbbbaaabbaba, abaa, aabbbbaba, aabbbbabb, aabbbbbba, aabbbab, aabbbaa, aabbbbaaabbaaabab, aabbbbaaaaabbbbaabbaabb, aabbbbaaabbaaabaa, abaabbb, abaabbbb]"
(a*(b))*,"positive example:[, (a*(b))*, abbaaabab], negative example:[bbaba, aaaba, abba]"
(a)+(b)*,"positive example:[aaa, ab, aaabbb],negative example:[, babaa, aba, bbb, aaaba, abbbaa, abab]"
((01+0)|(10+1)|(0*10*)|(1*01*))*,"positive example: [00, , 11], negative example: []"
(0*10*)*,"positive example:[, 11, 01, 000100, 000111, 10],negative example:[000, 0]"
1?|0|1+(0*1*)*1+|0+(0*1*)*0+,"positive example:[1011000101, 11, , 00010, 0100, 0111010],negative example:[110, 001, 101100010, 0101110001]"
(a*b*)+a+a+a,"positive example:[aabbbaaa, aaabbaaa, aaabaaa, aaaaabaaa, abbaaa, abaabaaa],negative example:[abb, aaba, abaaaba, aaabbb, aaaaab, abaa, aabb]"
(a|b)*aaa,"positive example:[bbabaaa, aabbaaa, aabaaa, abaaa, aaabaaa, aaabbaaa, aaaaabaaa, abbaaa],negative example:[abb, aa, aba, aaba, aaaba, aaabb, aaaaab, aabb, bbab]"
a*|((a|b)*bb(a*b*)),"positive example:[aa, , bbabbabaabbab, aabbbbaaabbb, bbabbabababba, babbab],negative example:[bbbbaaabaaaba, baa, bbababbabbbabab, aabab, bbababbabbabab]"
(0*1+)*(1*0+)*,"positive example:[00, , 11],negative example:[]"
1*(0|1)*1*|0*(0|1)*0*,"positive example: [00, , 11], negative example: []"
(a*(bb)*b*a*)*,"positive example:[aa, , bb],negative example:[]"
0*(0*1*)*0*,"positive example:[00, , 11],negative example:[]"
(1|0|1+(0*1*)*1+|0+(1*0*)*0+)*,"positive example:[00, , 11],negative example:[]"
(((a|b)a*b)|((a|b)a*ba))*,"positive example:[, bbabaab, abaab, abbab, abbb, bbaaab, bbabbbab, baababa, ababbbab, bbbb, bbbab, bbaab, aaababa, abaaab, ababaab],negative example:[bbabbaa, abaaa, aaabb, abbbb, ababbbabaa, bbabaa, abba, bbaabb, baabb, bbbbb, bbba, bbaaa, bbabbbabaa, abaabb, ababaa, ababbaa]"
((aa|bb|ab|ba)?)*,"positive example:[aa, , bb, aaaa, bbbb, ab, ba, abab, baba], negative example:[aaa, bbb, aab, bba, aba, bab]"
a*b,"positive example:[aab, a*b],negative example:[aa, bab, aabbabbaa, bbb, baa]"
a*b(ba*b+|a*)*,"positive example:[bbba, bbbabbbaa, bbbabbbbb, aabaabaabaa, aabaabaab],negative example:[bb, aa, bbbabaa, aabaabbaab]"
(a|b)*|(a|bab)*(b|aba)*,"positive example:[aa, , bb, a, b, ab, ba, bab, aba, aab, bba, abab, baba],negative example:[baa, abb, bbba, aaba, abaa, babb]"
1*|0*|1+(0+1+)*|0+(1+0+)*,"positive example:[, 00010, 1000101, 0100, 1011, 11101, 0111010],negative example:[001, 100010, 111010, 10110, 0101110001]"
(a|b)(a|b)*aaa+,"positive example:[babaaa, abaaa, abaaabbaaa, bbaaabaaa, bbaaaaabaaa, bbaaa, abaaaaabaaa, aabaaa, aabbaabbaaa, abaaabaaa, bbaaabbaaa, babbaabbaaa, abaabaaa, bbaabaaa],negative example:[, aaa, baaaba, baa, aaaba, aaabb, baaaaabb, abbab, aaaab, aabb, bbbab, baabb, baba, baaab, babb, aaba, baaba, aaaaba, aaaaaabb]"
(a|b)(a|b)*aaa*,"positive example:[babbaa, babaa, bbbabaa, aaabbaa, aabaa, aaaaabaa, baaaabaa, abbabaa, aaabaa, aabbaa, baabaa, baabbaa],negative example:[, aaaba, abbab, aaaaabb, aaab, aabb, baab, baaaabb, bbbab, baba, babb, aaba, baaba]"
((a|(bb))*b[a]*)*,"positive example:[, bb, abaa, aaab, abbb, ba], negative example:[aaa, a]"
(a|b)*(ab|ba|aa|ab)*,"positive example:[aa, , bb],negative example:[]"
0|(0|1)*|0,"positive example:[00, , 11],negative example:[]"
(ab|ba)*(aa|bb)?,"positive example:[aa, bb, baba, , ab, abba, baab, ba, abab],negative example:[abb, bbaabaa, aaa, bbba, aba, bab, bbabb, aab, baa, bbbb]"
(a*)b+((a*)|(b(a*)b))+(a*),"positive example:[babba, babb, aab, baaabaabbb, aabbaa, aabbbb],negative example:[, aa, aababbb, baaabaabb, babbab]"
a*(b(a*ba*b)*)*a*,"positive example:[bb, aa, , aabaaabaababb, aabaaabaababbbaa, aabaaabaababbbbb, aabaaabaaba],negative example:[babaabaaab]"
0*(1+0+)*|1*(0+1+)*,"positive example:[00, , 11],negative example:[]"
(1+|0+)*,"positive example:[00, , 11],negative example:[]"
(a+|b*a*)+,"positive example:[aa, , bb, a, b, ab, ba, aaa, bbb, aba, baa], negative example:[]"
(aa|ab|ba|bb)*,"positive example:[aa, , bb, aaaa, bbbb],negative example:[aaa, bbb]"
(a|(ba*b))*b+a*,"positive example:[baaabb, babba, bbba, bababa, aabbb, bbaabb],negative example:[bbbab, bab, aabaaaba, bbaabbbab, babbbbab]"
a*b+(bb*|a*)*,"positive example:[aabaa, aabbb, a*b+(bb*|a*)*], negative example:[aa]"
(a*|b*)*(a)(a)(a)(a*),"positive example:[bbabaaa, aabbaaa, aabaaa, abaaa, aaabbaaa, aaabaaa, aaaaabaaa, abbaaa],negative example:[abb, aa, aba, aaba, aaabb, aaaaaba, aaab, aabb, bbab]"
((b(b*))|a)*,"positive example:[aa, , bb, a, b, ab, ba, bbb, aab, aba, bba], negative example:[c, abc, bac, bbac, aabbc]"
(a|b)*a*b,"positive example:[babbbaaab, (a|b)*a*b],negative example:[aaba, bbbaba, baa]"
((a|b)a*ba*)*,"positive example:[, bbbba, bbbaba, abbba, abbaba, aaabaaa, abbb, baababb, bbbb],negative example:[abb, aaa, bbbbb, bbba, bbb, baa, abbbb, abba]"
((bb*)*a*)*,"positive example:[aa, , bb, a, b, bba, bbb, bbaa, abba], negative example:[ab, ba, aba, baba, aab, baa]"
(a|b)(a|b)(a|b)*(aaa)*,"positive example:[aaaa, bbbb, aaa, bbb, abaa, baba],negative example:[, a, b, aa, bb, ab, ba, aab, abb]"
a+b*a*|b*a*,"positive example:[aa, , aabbbaaa, aabbb, ba],negative example:[babb, bab, aabbbaaabaabba]"
(a|b(bb)*)*,"positive example: [aa, , bb, a, b, ab, bbb, abbb, bbba, bbbbb], negative example: [ba, aba, baba, abab, bbaba, aab, bbaa]"
(a*ba*b*)*,"positive example:[, bb, ab, aaabaa, aaabbb, ba],negative example:[aaa, a]"
(ab|ba)*(aa|bb)*,"positive example: [, ab, abaa, abbb, aaaa, aabb, bbaaaa, bbaabb, bbbbbb, bbbbaa, bbbb, bbaa, babb, baaa, ba], negative example: [bbbab, abb, aba, bbbaabbaa, bbabb, bab, baa, bbaba, aabba, aaaaa, aaaab, aabbb]"
(0+0+0)|(1+0+0)|(0+1+0)|(0+0+1)|(1+1+0)|(0+1+1)|(1+0+1)|(1+1+1)|(1+1)|(0+0)|(1+0)|(0+1),"positive example:[110, 011, 001, 101, 111100, 1101, 0000, 1111, 00001110, 0010, 10001, 010],negative example:[, 11010, 1011, 00101, 1010, 01101, 00100, 01100, 0011100, 11110010, 0011101, 0, 1, 11110011, 0101, 10001000, 0100, 10001111, 11011, 0000101, 0000100]"
(b(b*)|a)*,"positive example:[aa, , bb, ab, bba, aab, bbb, aabb], negative example:[baa, aba, baba, c, abac, bbc]"
(a*|(b*bb*)*)*,"positive example:[aa, , bb, a, b, ab, aab, bbb, aabb, bbaa], negative example:[ba, aba, bba, aaab, abab, baba]"
(1*0*1*)*(0*1*0*)*,"positive example:[00, , 11],negative example:[]"
(1*0*1*)+(0*1*0*),"positive example: [00, , 11], negative example: []"
(a)*(b|aa|a*)*,"positive example: [aa, , bb], negative example: []"
(a|b)*,"positive example:[aa, , bb],negative example:[]"
((a|b)(a|b))*,"positive example:[aa, , bb, aaaa, bbbb, ((a|b)(a|b))*],negative example:[aaa, bbb]"
[ab]*[a][b][ab]*,"positive example:[bbaaabaa, ab, bbaaabbb],negative example:[bba, aaa, bb]"
(a|b|bb)+,"positive example:[a, b, aa, ab, ba, bb, aaa, aab, aba, abb, baa, bab, bba, bbb], negative example:[c, abc, aac, bbc, ababac, xyz, 123]"
(0|1)*(0|1)*(0|1)*,"positive example:[00, , 11],negative example:[]"
a(a|b)+a(a|b)*,"positive example:[aaa, aba, aabbaaa, abbbabb],negative example:[aa, , a, ab, baa, bbb, abbb, aabb]"
(bab)*(a|b)*(bab)*,"positive example: [aa, , bb, bab, baba, babab, abab, babbab], negative example: [ba, ab, aab, bba, abba]"
(((b*bb*)|a)?)*,"positive example:[aa, , bb, a, b, bbb, ab, ba, aab, bba], negative example:[abab, baba, aaab, bbba, abba]"
(a)*((b|aa)*a*)*,"positive example: [aa, , bb], negative example: []"
a+b+,"positive example:[ab, aaabbb],negative example:[babbaa, bb, , aaa, aba, abbba, aaabaa, abab]"
(a|b)(a|b)(a|b)*aaa*,"positive example:[bbbaa, bbbaabaa, aabaa, bbabbaabbaa, bbbaaaabaa, aaabbaabbaa, aaabaa, aabaaaabaa, bbabaa, aabaabaa],negative example:[, bbaaaabb, a, b, aaaba, aaabb, aaaab, aabbab, bbbbab, bbaab, bbaaba, bbabb, bbaba, aaaaba, aaaaaabb]"
"(a|b)*(a|b)*a{3,}","positive example:[abaabbbaaa, aabaaa, aaabaaa, aaaaabbaaa, abbaaa],negative example:[baabb, baaaba, aba, baaba, abbaaabb, abbaa, baaaaab]"
b*((a|b)*(a|b)*)*,"positive example:[aa, , bb],negative example:[]"
(1|0)*|(0|1)*,"positive example:[00, , 11],negative example:[]"
(a|ab)*(a|ba)*(b|a)*,"positive example:[aa, , bb, a, ab, aba, abab, b, ba, aab, aaba, aabab],negative example:[abc, aabb, abba, baaab, abababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababab"
a*b+,"positive example:[aabbb, a*b+], negative example:[aa, baaa, aabbbabbab, ba]"
(a|b(aa*))*,"positive example: [baba, , aaba, baa, (a|b(aa*))*], negative example: [bba, baabb, bbbbaab, bab, aababb]"
a*b*,"positive example:[aa, , aabbb, a*b*],negative example:[bbba, bab, aabaaabba]"
0*(1+0+)*1*,"positive example:[00, , 11],negative example:[]"
((ab)|(ba))*|(a|b)(a|b)*,"positive example:[aa, , bb, ab, ba, aba, bab, a, b], negative example:[aaa, bbb, abc, bac, aab, bba]"
(a|(b*bb*))*,"positive example: [aa, , bb], negative example: []"
(ab|ba|b|a)*,"positive example:[aa, , bb, ab, ba, a, b, abab, baba, aab, bba], negative example:[]"
((0|1))*,"positive example:[00, , 11],negative example:[]"
(a|b)*(aaa),"positive example:[baaabaaa, abaaa, baabbaaa, baaabbaaa, baaaaabaaa, abbaabaaa],negative example:[abb, aa, aba, aaba, aaabb, aaaaaba, aaab, aabb, bbab]"
(bb)*(a|b)*(bb)*,"positive example:[aa, , bb],negative example:[]"
(a+b|b+a)*,"positive example:[, ab, bbbaba, aaabab, abba, baab, ba], negative example:[bbbab, abb, aba, baa, aaaba]"
(a|b)*(ab),"positive example:[bbababbaaab, abaab, abbbab],negative example:[bbaaaba, ababb, abbb, abaa, abba]"
(aa|ab|ba|ba)*,"positive example:[aa, baba, , baaa, ab, aaba, aaaa, abba, baab, ba, abab],negative example:[aaa, abb, babb, aba, bab, bbaabba, bbb, aab, baa, abbb, aabb]"
(aa*b)*,"positive example:[, ab, aaabab, (aa*b)*],negative example:[abb, bbbab, baa, aaaba]"
(a|((b|bb)+))*|a*,"positive example: [aa, , bb], negative example: []"
0*(0*1*)*0*,"positive example:[00, , 11],negative example:[]"
(a*)+b,"positive example:[aab, b, ab, aaaaab], negative example:[bba, aa, bab, bbb, aabaaabba]"
(0*(01)*1*0)*|(1*(10)*0*1)*,"positive example:[00, , 11],negative example:[]"
0*(0*1+)*0*,"positive example: [00, , 11], negative example: []"
(a|b)*(aaa)+,"positive example:[abaaaaabbbaaa, aabbaaa, aabaaa, aaabaaa, abbaaa],negative example:[abb, aa, aba, aaba, aaaba, aaaaabb, aaab, aabb, bbab]"
(a|b)*(aaa)*,"positive example:[aa, , bb, aaa, bbb, aabaa, bbaaa],negative example:[aaaa, baaa, aaab, aaba, abaa]"
(bb|aa|(ab|ba)*)*((aa)*|(bb)*|(ab)*|(ba)*)*,"positive example:[aa, , bb, aaaa, bbbb],negative example:[aaa, bbb]"
(ab)*(ab|ba|aa|ab)*,"positive example:[aa, baba, , baaa, ab, aaba, aaaa, abba, baab, ba, abab],negative example:[aaa, abb, aba, bab, aab, baa, bbbbab, bbaa]"
([ab]*(baa)*[ab]*)*b,"positive example:[bbbab, aabab, ([ab]*(baa)*[ab]*)*b, baab], negative example:[aaba, bbbaba, baa]"
0*(1+0+)*|1*(0+1+)*,"positive example:[00, , 11],negative example:[]"
(a|b)*,"positive example:[aa, , bb],negative example:[]"
(a|b)(a|b)+aaa*,"positive example:[bbabaabaa, bbbaa, bbabbaa, aaaaaabaa, aabaa, aaabbaa, aaaabbbaa, bbaabbbaa, aaabaabaa, bbaaaabaa],negative example:[, bbaabbb, bbaaaab, a, b, aab, bbb, aaaabbb, aaaaaab, aaabb, aaabaaba, bbabaaba, bbabb]"
