Regex,Attempt Regex,DeepSeek Output
(a*ba*b)*a*ba*,((a)*b)(((a)*b){2})*,"positive example:[babb, bbb, aabbb, baaabab, bbab],negative example:[baba, bba, bbba, bab, aabb, baaabba]"
(a*ba*b)*a*ba*,(a*ba*)(a*bba*)*,"positive example:[baabb, bbbbb, bbba, aabbb],negative example:[bbabbab, aa, bbaaa, bbbaba, aabaabbba, bbbb]"
a+b,(ab),"positive example:[ab], negative example:[aaa, , babaa, a, bbb, aab, abaa, abbb, abba, abab]"
(a*ba*b)*a*ba*,a*ba*(a*ba*b)*,"positive example:[baabb, bbbbb, bbbabb, bbaabaaabab, aab, aabbbbb, bbbbab],negative example:[aa, bbba, bbbba, bbbaba, bbbabbb, bbbaaab, aabbaabb, bbbbbb, baab]"
(a|baa)*,"(ba{2,})*","positive example:[, baaaabaa, baabaa],negative example:[aa, baba, baabba, bb, babb, abbaab, baaaaba, baab, baabbb]"
(a*ba*b)*a*ba*,a*b(ba*b)*,"positive example:[bbb, aabbb, a*b(ba*b)*, bbab], negative example:[bb, bba, babb, aabaabaa, bbbb]"
(a*ba*b)*a*ba*,a*b(ba*b)*a*,"positive example:[baaa, bbb, aabbb, bbab],negative example:[bb, bbbab, bba, babbb, baaab, aababaaba]"
(a|b)(a|b)+aaa+,(aa|ab|bb|ab)(a*|b*)aaaa*,"positive example:[bbbbaaa, bbaaaaa, aabaaa, abaaa, aaaaa, abbaaa],negative example:[bba, aaa, , abb, bbaaaaab, a, aba, bbaaaba, b, aab, bbaaabb, bbaabb, bbaa, bbbbaba, baaa, babb, bbbbabb, bbaaba]"
(a|b)(a|b)+aaa+,(aa|ab|bb|ba)(a*|b*)(aaa)(a*),"positive example:[bbbbaaa, bbaaaaa, aabbaaa, aaaaaaa],negative example:[aaa, , bba, a, bbaaaaab, b, aabbaaabaa, aaaba, aabbaa, aabb, bbaabb, bbbbaa, bbbb, bbbbaaabbb, bbabb, aaaaba, aaaaaaab]"
(a|baa)*,a*|(baa)*,"positive example:[aaa, , baabaa],negative example:[baba, baabba, baaaa, bb, babb, baaab, b, baaba, ababaa, abbb, aaab, baabbb]"
(a|baa)*,a*(b(aa)+)*,"positive example:[baaaa, aa, , aabaaaa, baabaa],negative example:[bba, baba, baabb, baaaaa, babb, baaa, baaab, aabbbaabb, baaba, aab]"
(a*ba*b)*a*ba*,a*b(a*|(bb)*),"positive example:[bbbbb, aab, aabaaa],negative example:[baba, bbbab, aa, babb, baaab, bbbaa, aabbababb, bbaaa, bbbba, bbbbbb, bbbb]"
(a*ba*b)*a*ba*,b(a*|(bb)*)|a*b(a*|(bb)*),"positive example:[bbbbb, aab, aabaaa],negative example:[bbbab, aa, babb, baaab, bbbaa, bbbbba, bbbba, bbaa, bbbb, aabababbaa, bbab]"
(a*ba*b)*a*ba*,(a*|(bb)*|(bab)*)*b(a*|(bb)*|(bab)*)*,"positive example:[baabba, babb, bbb, aabbba, aabbbaa, baababbb, bbabaa, baababa, bababaa, baaaabb, baabbbb],negative example:[bb, bba, aabaaaabbba, baabaaaa, aabaaaabbbaa, baabaabbab, baababb, baabbabaa, bbbb, baba, babbb, baabababaa, baabbb]"
(a|baa)*,(baa)*a*,"positive example:[baaaaa, , baa, baabaaa],negative example:[baabba, baba, baaab, babb, abbbab, abaa, aaab, baab, baabbb, ba]"
(a*ba*b)*a*ba*,(bb)*b,"positive example:[bbb, bbbbb], negative example:[bb, aaa, bba, bab, baa, ababb, bbbb]"
(a*ba*b)*a*ba*,a*b(a|ba*b),"positive example:[bbaab, aaba, bbb],negative example:[aa, bbbbb, bbbaaa, bbbba, bab, baa, aab, aabbbabbab, bbaabb, aabb]"
(a|b)(a|b)+aaa+,(a|b)(a|b)(aaa)a*,"positive example:[bbaaaaa, aaaaaaa],negative example:[aa, , aaa, bb, bba, a, bbaaaaab, b, bbaaabb, aaaba, aabaa, aaaaaba, aaaa, bbaabb, bbaa, bbbbb, bbabb, aaaaba, aaaaaaab]"
(a|b)(a|b)+aaa+,(a|b)(a|b)a*b*(aaa)a*,"positive example:[bbabaaa, aabbbaaa, aaaaaaabaaa, aaaaa, aaaabaaa, aaabaaa, aaabbaaa, aaaaabaaa, aaaaabbaaa, bbbaaaaa, bbaaabaaa, bbabbaaa, bbaaaaabaaa, aabaaaaa, bbaaa, aaaabbaaa, bbaaabbaaa, bbaabbaaa, bbbbbaaa, bbaabaaa],negative example:[aaa, , bb, bbaaaaab, bbababb, aaaba, aaabbbaa, aaabaaba, aaaabb, aabb, bbabaaaaab, bbaa, bbba, bbaaba, bbabbbaaabbb, aaaaaaab, aa, bba, a, bbaaaba, b, aaabaaaaab, bbaaabb, aaaaabb, aaaaaba, aaaa, bbaabb, bbbb, bbabaabb, bbabbbaa, aaba, bbaba, aaaaba, aaababa, aaabbbaaabaa]"
(a*ba*b)*a*ba*,a*b(a|abb|bab|bba)*,"positive example:[bbaba, bababbababbbbaa, aabababbabaaabbbbababa, aabababbabaaabbbbabab, bababbababba],negative example:[aa, bbababbbbaabaab, aabba, aabbabaaabbbb, bbaa, aabbabaaabbbbbabaa, babbb, aabbabaaab, bbababbbbbbb, bbababbbbab, bbababbabbb, bbababbbbaabaaa, bbababbbbaababb]"
(a*ba*b)*a*ba*,a*b(a|abb|bab|bba|bb)*,"positive example:[bbbbb, bbba, aabbb, bbabbb, baababa],negative example:[bbbab, aa, bba, bbaaa, bbabb, bbaabaabb, aabaabbb, bbbb, bbabab]"
(a*ba*b)*a*ba*,(a*|(bb)*)*b(a*|(bb)*)*,"positive example:[baaabb, babbbb, babba, babb, bbb, aabbb, bbab],negative example:[bb, bba, babaaa, babbb, aabaaabbba, babababb, bbbaba, babbaba]"
(a*ba*b)*a*ba*,a*b(a*ba*b)*a,"positive example:[baabba, babba, bbba, bababa, bbaba, aabbba, baaaabba, baababa],negative example:[bb, baabb, bba, babb, baaba, bbb, baa, aababa, baaaab]"
(a*ba*b)*a*ba*,ba*(a*ba*b)*a*,"positive example:[baabb, bbaabbb, bbba],negative example:[bbbab, , ab, baabaabb, aaabba, bbbb]"
(a|baa)*,"[a]*|[a]*[b][a]{2,}","positive example:[aa, , aabaaaa],negative example:[baba, bba, babb, aaba, baaba, bbb, aab, aabaaaabbbaab, baab]"
(a*ba*b)*a*ba*,[b]{1}([b]{2})*,"positive example:[bbb],negative example:[bb, aa, bba, bab, baa, abbaab, bbbb]"
(a|baa)*,a*|a*baa+|baa+,"positive example:[aa, , aabaaaa],negative example:[baabb, bba, babaa, aaba, baaba, bbb, aab, aababbbab, baaaab]"
a+b,ab,"positive example:[ab],negative example:[bb, , a, aabbab, abbb, abaa, aaaa, abba, abab, ba]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa,"positive example:[bbaaa, aaaaa],negative example:[aa, , aaa, bb, bba, a, b, bbaaabb, aaaba, aabaa, aaaaaaa, aaaa, bbaabb, bbaa, bbbbb, bbabb, aaaaba]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)(aaa)+,"positive example:[bbaaaaaa, aaaaaaaa],negative example:[aaa, aa, , bbaaaab, bba, bb, a, b, bbaaabb, bbaaaaa, aaaaaab, aaaaaaa, aaaaaaaba, aaaaaba, aaabaa, bbabbb, bbaaaaabb, bbbb, aaba]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)+(aaa)+,"positive example:[aabaaaaaaa, aaaaaaabaaaaaa, bbaaaabbaaaaaa, bbaaaaabaaaaaa, bbaaabbbaaaaaa, aaaaaaaaabaaaaaa, bbabaaaaaa, bbbbaaaaaa, aaaaaaaabaaaaaaa, aaabbaaaaaaa, aabaaaa, bbaaaaaaabaaaaaa, aaaaaabaaaaaaa, bbaaaaaabbaaaaaa, aaabaaaaaa, bbaaaaabbbaaaaaa, aaaaabbaaaaaaa, aaaaaaaaa, bbaaaaaaaa, aaaabaaaaaaa, bbaaaaaaa, aaaaaaabbaaaaaaa, bbaaabaaaaaa, bbaabbaaaaaa, bbbbaaa, bbabbbaaaaaa, aaaaabaaaaaa, aaaaaaaaaa],negative example:[, aab, aaaba, aaabb, aaaaaaabb, aaaaaaaba, bbaaaaaabb, bbaaaaaaaaab, bbaaaaaba, bbaaaabba, bbaaaaabb, bbaaaa, bbaa, bbab, aaaaaaaaaaab, bbaaaba, bbb, bbaaabb, aaaaaabaa, aaaaaaaaba, aaaaabb, aaaaaba, bbaaaaaaab, aaaaaa, aaab, aaaa, bbaabb, bbbb, aaba, bbabb, bbaba, aaaaba, aaaaaaaaab]"
(a|baa)*,a*(b(aa)+),"positive example:[baaaa, aabaaaa],negative example:[bba, baabb, baaaaa, aa, babbb, baaab, bbb, baaba, aab, aabaaa, babaaba]"
(a|b)(a|b)+aaa+,a+b+a+b+aaa+a,"positive example:[abbbabbbaaaaaa, aaababaaaa, ababaaaa, abaaabaaaa],negative example:[aaa, , bb, aba, ab, aaabbbaaababaa, aaabbbaaababbb, ababaaabb, ababaaaba, ababbba, ababaaa, ababaaaaba, ababaaaabb, ababaaba, ababaaaaaab, abab, ababaabb, ababaa, ba]"
(a|b)(a|b)+aaa+,(a|b)(a|b)aaaa*,"positive example:[bbaaaaa, aaaaaaa],negative example:[aaa, aa, , bba, bb, a, b, aaaaaaaba, aaabaa, aaaaab, bbabbb, bbaaab, aaaa, bbaaaaabb, bbaabb, bbbb, bbaa, aaba, aaaaba]"
(a|b)(a|b)+aaa+,b+a+(b|a)*aaa,"positive example:[bbbaaaa, baaabaaa, babbabaaa, baaaaaabaaa, baabbaaa, baaabbaaa, baaaabaaa, baabaaa, baaaabbaaa],negative example:[aaa, , abb, baabbaaaba, bab, b, baabbaa, babaaabb, bbba, baaba, babaaaaab, babaabb, babaaba]"
(a*ba*b)*a*ba*,(a|bb|bab)*b(a|bb|bab)*,"positive example:[baabb, baabba, babb, bbb, aabbb, babab, baababbb, baaaababa, bbab, baabbbb, ba],negative example:[baba, bba, bbbaaba, babbaaba, baabaabbaab, baabbaba, baaaababb, baabbba, baabaaa, aabb, baabababa, baabbb]"
(a|baa)*,(a)*(baa)*(a)*,"positive example:[aa, , aabaaaaa, aabaa, baabaaa],negative example:[baba, baabb, babb, baaaba, baaab, baaba, aab, baaaaabb, aabbabaa, bbbb]"
(a|baa)*,(a)*(baa)*(a)*(baa),"positive example:[aabaaaaabaa, baaabaa, baabaa],negative example:[baabba, bb, aa, baaaaa, baaaba, aab, baaababb, baaababa, baaaaabba, baaabbb, aabababbaa, babb, baaab, baaba, baaabaaaa, baaabaabb, baaabaaba, baaabaaab, baabbb]"
(a|baa)*,(a)*(baa)*(a)*(baa)*,"positive example:[aa, , baaaaabaabaa, aabaabaaa, aabaabaa, baaabaa],negative example:[baabba, bb, baaababb, baaababa, baababaa, aabaab, baaabbb, baaaaab, baaabba, aabaababbabb, aabaaba, baaabaabb, baaabaaaa, baaabaaba, baaabaaab, baabbb]"
(a|baa)*,(a)*(baa)*(a)*(baa)*(a)*,"positive example:[aa, , baaabaabaa, aabaa, baaaaabaa, baabaaa, aabaaabaaaaa],negative example:[baaaaabaababa, baaabb, aab, baaabaaaba, baaabaabbb, baaabaabba, baaabaaabb, baaabaaaaab, baaabaababb, bbbb, baba, baabb, babb, baaab, baaba, baaaaabaaba, aabbabaa]"
(a*ba*b)*a*ba*,(a)*(b)(bb)*(a)*,"positive example:[bbba, bbbbba, bbb, aabaaa],negative example:[bbbab, aa, aabaaabbbab, babaa, bab, bbbb, bbaa, bbab]"
(a*ba*b)*a*ba*,(a)*(b)(a)*(bb)*(a)*,"positive example:[bbbbb, bbbaaa, bbb, aabaa, aabaabbbb],negative example:[bb, bbbab, aa, aabaababaabb, bbbabb, bbbba, bbbaaaba, bbbaab, bbbbbb, bbaa, bbbb]"
(a*ba*b)*a*ba*,(a)*(b|ba)(a)*(bb)*(a)*,"positive example:[baabba, bbbbb, bbbaaa, aabbbbba, aab],negative example:[bb, aa, bbbabb, bbbba, bbbaba, bbbaaab, aabaabbb, bbbbbb, bbaa, bbabbaab]"
(a|b)(a|b)+aaa+,[ab][ab]aaaa*,"positive example:[bbaaaaa, aaaaaaa],negative example:[aaa, aa, , bbaabbb, bba, bb, a, b, aaaba, aaaabaa, aaaaaaaba, aaaaab, bbaaab, aaaa, bbaaaaabb, bbbb, bbaa, aaba, bbabb]"
(a*ba*b)*a*ba*,ba*(ba*ba*)*,"positive example:[baabb, bbaabbb, bbba],negative example:[aa, bbbab, , abaabb, bbaabb, baabbb]"
(a|b)(a|b)+aaa+,(aa|bb|ab|ba)aaa,"positive example:[bbaaa, aaaaa],negative example:[aaa, aa, , bba, bb, a, b, bbaaabb, aaaaaaa, aaabaa, bbabbb, aaaa, bbaabb, bbbb, bbaa, aaba, aaaaba]"
(a|b)(a|b)+aaa+,(aa|bb|ab|ba)aaa+,"positive example:[bbaaaaa, aaaaaaa],negative example:[aaa, aa, , bba, bb, a, bbaaaaab, b, bbaaabb, aaaaaba, aaabaa, bbabbb, aaaa, bbaabb, bbbb, bbaa, aaba, aaaaba, aaaaaaab]"
(a|baa)*,(b(aa)+a*)*,"positive example:[, baaaabaa, baabaa],negative example:[aa, bba, baba, baabb, babb, bbb, baaba, abaabb, baaaab]"
(a|baa)*,(b(aa)+)*a*,"positive example:[baaaa, aaa, baaaaa, , baaaabaaa, baabaaa],negative example:[abb, baabba, bb, baaabb, baaaba, aaab, baba, babb, baaba, baaaaaab, abaabba, baabbb, baaaab]"
(a|baa)*,(a)*(b)(aa)(a)*,"positive example:[aabaaaa],negative example:[bba, baba, baabb, aa, babb, aabbbaabb, baaba, aab, baaaab, ba]"
(a*ba*b)*a*ba*,(a)*(bb)*(b)(a)*(bb)*(a)*,"positive example:[babbaa, babbbb, bbbbb, bbba, bbb, aababbbba, babbaaa, baaabba],negative example:[aa, babaaa, babbba, bab, babbaaaba, baaabbb, bbaa, bbbb, bbab, bababbab, bbbaba, aabbbba, babbabb, babbbbab, babbab]"
(a|baa)*,(ba+a+)*,"positive example:[, baaaabaa, baabaa],negative example:[baabbabbaa, bb, aa, ab, baababb, baababa, baabbb, baaaab, ba]"
(a|baa)*,(a)*(baa+),"positive example:[aabaaaa],negative example:[baba, aa, babb, aabbbabb, baaba, aab, bbaa, baab, baaaabb, ba]"
(a|baa)*,(a)*(baa)*,"positive example:[aa, , aabaabaa],negative example:[baaaa, baabb, baaab, aabbabbaa, bbb, aab, baababb, baababa, ba]"
(a|baa)*,((a*)|(baa(a)*)),"positive example:[aaa, , baaa],negative example:[baabb, baba, babb, ab, b, baaba, aab, bbbbab, bbaa, baaaab, ba]"
(a*ba*b)*a*ba*,b(b{2})*,"positive example:[bbb, bbbbb], negative example:[bb, aa, bba, baaa, ab, bbbb, babbab]"
(a*ba*b)*a*ba*,(a)*(b(bb)*),"positive example:[bbbbb, aabbb],negative example:[aa, babb, bbba, aabaabaa, bbaa, bbbb, bbab]"
(a|b)(a|b)+aaa+,(a)(b)(a)*(b)*(aaa+),"positive example:[ababaaa, abaaaaabbaaa, abaabbaaa, abaaabaaa, abbaaa, abbbbaaaaa, abaaaaa, ababbaaa, abaabaaa],negative example:[aaa, , bb, aab, abbb, abba, abaababbb, abaabaaba, abaabaabb, abaabaaaaabb, abaabaa, ababa, aba, ab, a, ababb, abaabaaaaaba, abaa, abaababaa, abaabaaab, abaaaaaba, abaaab, abaaabb, abaabbba, ba]"
(a*ba*b)*a*ba*,(b)(a|bb)*,"positive example:[baabb, bbb, (b)(a|bb)*],negative example:[bb, abb, bba, aabaa, baabbba]"
(a*ba*b)*a*ba*,(a)*(b)(a|bb)*,"positive example:[bbbbb, bbba, bbb, aabaabb],negative example:[baabababb, bbbab, aa, bbaaa, aabbbb, bbbb]"
(a*ba*b)*a*ba*,(a|bb)*(b)(a|bb)*,"positive example:[baaabb, babbbb, babba, bbb, aababb, bbab],negative example:[bba, babbba, babbb, bbbaba, babab, babbaba, aabb, baaabaabbaa]"
(a|b)(a|b)+aaa+,"ab{2,}a{3,}","positive example:[abbbbaaa, abbaaaaa],negative example:[aaa, , ab, a, baa, bbb, aab, abbbbaaaba, abbbb, abbaba, abbaabb, abbaaba, abbbbaa, abbaaaaab, abaa, abba, abab, abbabb, abbbbaaabb]"
(a*ba*b)*a*ba*,(a|bb|bab)*(b)(a|bb|bab)*,"positive example:[baabb, baabba, aaba, bbb, baaaababbb, aababb, babab, baababa, bbab, baabbbb],negative example:[bb, bba, babbaabaa, baabaaaabba, aabaabbbaa, baababb, aabaabbba, baabbabaa, baabaab, baba, bbbaabaa, baaaabababaa, baabbb]"
(a*ba*b)*a*ba*,(a)*(bb)*(bab)*(b)(a)*(bb)*(bab)*,"positive example:[babbaabb, babbaabab, baa, aabbb, babbaaaabab, baabbbab, bbbbab, bbab, baabbbb, babbbbbab, bbba, babb, babbabab, babbbabbab],negative example:[babbba, babbaabbb, baab, bbaa, babbaabaabb, bababba, babbaababbbb, babbaababbba, babbbbab, aababbaabaaabaa, bba, aa, babbbbaa, babbaaaab, babbaababbabba, aabab, baabbbbb, baabbba, bbbaab, bbabba, bbbb, babaa, babbaababb, babbaababbaa, babbaababab, babbaababaa]"
(a|baa)*,a*(baa(a)*)a*,"positive example:[aabaaaa],negative example:[baba, bba, aa, babb, aaba, bbb, aab, aabaaaabaaba, baab, baabbb]"
(a|baa)*,(b?aaa*)*,"positive example:[aa, , baaaabaa, baabaa],negative example:[bb, ab, aabaabba, aaaababbbab, aababaa, aaaab, aabaabbb, ba]"
(a|baa)*,((b?aaa*)*)|a*,"positive example:[aaa, , a, aabaa, baaaabaa, baabaa],negative example:[aababbbaab, abb, bb, aba, aabaaaabba, aababa, aabaab, aaab, aabaabbb, ba]"
(a|b)(a|b)+aaa+,aba{3},"positive example:[abaaa],negative example:[, bb, a, ab, aba, ababb, abaa, abbb, aaaa, abba, aabb, abaaba, abaabb, ababa, abaaaaa, abaaabb, ba]"
(a|baa)*,(baa+),"positive example:[baaaa],negative example:[bba, aa, , babaa, ab, b, baaba, bbb, baab, babbbab, baaaabb, ba]"
(a|baa)*,"(a*[b]?a{2,})*","positive example:[aaa, , aabaa, baaaabaa, abaa, baabaa],negative example:[bb, a, aab, ababb, abbaa, abaab, aaabb, abbbbab, abaabb, ababa, abaaaaba, ba]"
(a*ba*b)*a*ba*,(a)*b(a|ba*b),"positive example:[bbaab, aabbb, ba],negative example:[aababbbaab, baba, aa, bb, baaa, bbba, aab, bbaabb, baab, bbbb]"
(a*ba*b)*a*ba*,a*(bb)*b,"positive example:[bbbbb, aabbb],negative example:[bba, aa, bbba, baa, aababaabb, bbbb, bbaa, bbab]"
(a*ba*b)*a*ba*,a*(bb)*ba*,"positive example:[bbba, bbbbba, bbb, aabaaa],negative example:[aababbbaab, baba, bbbab, aa, baaab, bbbba, bbaa, bbbb, bbab]"
(a|baa)*,a*(baa)*,"positive example:[aa, , aabaabaa],negative example:[baaaa, baabba, bb, aaba, aab, aabaaabaabb, baababb, baababa, baabbb]"
(a|baa)*,(baa+)*a*(baa)*,"positive example:[, a, baaaabaa, abaabaa, aaabaa, baabaa],negative example:[abb, ab, bbabbaa, bbb, aaabaaba, baababb, baababa, baabb, abaaaa, abaabbb, abaaab, abaabba, aaabaababa, baaaab, abaababb, ba]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa+,"positive example:[bbaaaaa, aaaaaaa],negative example:[aa, , aaa, bb, bba, a, bbaaaaab, b, bbaaabb, aaaba, aabaa, aaaaaba, aaaa, bbaabb, bbaa, bbbbb, bbabb, aaaaba, aaaaaaab]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)a*b*aaa+,"positive example:[bbabaaa, aaaaaaabaaa, aaaaa, aaaabaaa, aaaaabaaa, aaabbaaa, aaabaaa, aaaaabbaaa, bbaaabaaa, bbabbaaa, aaaabbbaaaaa, bbaaaaabaaa, bbbbaaa, bbbaaa, bbaaa, aabaaa, aabbaaa, bbaaabbaaa, bbaabbbaaaaa, bbaabaaa],negative example:[aaa, , bb, bbaaaaab, bbaaabaa, aaaba, aaabb, aaaabb, bbaaabaaabbb, aabb, bbaa, bbba, bbaaba, bbaaabaabb, aaaaababa, aaaaaaab, aaaaabaa, aa, bba, a, b, aaaaabbba, aaaaabaaba, bbaaabaaaaab, aaaa, bbaaababb, bbaaabbba, bbaabb, bbbb, aaba, bbabb, bbaba, aaaaba, aaaaabaaabaa, aaaaabaaaaab]"
(a|b)(a|b)+aaa+,(a|b)(a|b)a*b*a*b*aaa+,"positive example:[bbbabaaaaa, aababbbaaa, bbbaaabbaaa, bbaaaaa, aaaabaaa, aaaaaaa, aaabbaaa, aaaaabaaa, bbaaabaaa, bbbabbbaaa, aabaabbaaa, bbaaabbaaa, bbaabaaa, aabaaabaaa, aabaaaaabaaa, bbabaaa, aabbbaaa, aaaaaaabaaa, aaabaaa, bbbaabbaaa, aaaaabbaaa, aabaabaaa, bbbaaaaabaaa, aababaaaaa, bbabbaaa, bbaaaaabaaa, bbbaabaaa, bbbaaabaaa, aabaaabbaaa, bbbbbaaa],negative example:[, aaa, bbbaaabbbaa, bb, aabaaababa, aaaba, aaabb, aaaaaaaba, bbbaaaba, bbaaaaaba, bbaaab, aabaaabaaaba, aabaaaaab, bbaa, aabaaabbbaabaa, bbbaaaaab, bbaab, bbbaa, aababb, aabbba, bbbaaababb, aababa, bbbaaabaaabb, aa, bba, a, b, bbaaabb, aabaaabaaaaab, aaaab, aaaaabb, aabaa, aaaaab, aaaa, bbbaaabbbaabbb, bbbaaba, bbbaabb, bbbabb, bbbbba, bbabb, aabaaaba, bbbaaabaaaaab, bbbaba, bbaba, aabaaba, aabaaabbbaa, aabaabb]"
(a|baa)*,"a*b(a{2,})","positive example:[aabaaaa],negative example:[baba, baabb, aa, babb, aabbbabb, baaba, aab, bbaa, baaaab, ba]"
(a*ba*b)*a*ba*,b(bb)*a*,"positive example:[baaa, bbb],negative example:[bb, aaa, baaabb, baba, bbbab, bba, bab, ababb]"
(a*ba*b)*a*ba*,(bb)*a*b,"positive example:[ab, bbb, aaab, bbab],negative example:[bb, abb, bba, babb, bbba, aaabbb, abaa, abba, baabaa, abab]"
(a*ba*b)*a*ba*,b(bb|a),"positive example:[bbb, ba],negative example:[aa, bb, , ab, bab, b, baa, bbbbaa, bbaa, bbab, bbbab, bbbaa, bbbbbabb]"
(a*ba*b)*a*ba*,a*b(a*|bb),"positive example:[bbb, aab, aabaaa],negative example:[bbbab, baba, aa, aabbabaabb, bbbaa, bbbbb, babb, baaab, bbbba, aabb, bbaa]"
(a*ba*b)*a*ba*,a*ba*(ba*ba*)*a,"positive example:[babba, bbba, bababa, bbaba, aabbba, baaabba],negative example:[baba, bba, babb, baaab, bbb, aabb]"
(a*ba*b)*a*ba*,a*b(bb|a)*,"positive example:[baabb, bbbbb, bbba, aabbb],negative example:[aa, bbbaba, aabbbba, baababaabb, bbaa, bbbb]"
(a*ba*b)*a*ba*,ba*(bb|a)*|a*b(bb|a)*,"positive example:[bbbbb, bbba, bbb, aabaabb],negative example:[baabababb, bbbab, aa, bbaaa, aabbbb, bbbb]"
(a|baa)*,(a|(baa+))+,"positive example:[aa, baa, abaaaabaa, abaabaa],negative example:[bb, , aaba, abbbaabb, ababb, abaab, abaaaab, ababa, abba, ba]"
(a|baa)*,(a*baaa*)*,"positive example:[, baa, abaaaabaa, aaabaabaa, abaa],negative example:[baabba, bb, aaa, babaa, aba, ab, aaabb, babbabb, baaaaba, baab, baabbb]"
(a|b)(a|b)+aaa+,[ab]{2}a{3},"positive example:[bbaaa, aaaaa],negative example:[aaa, aa, , bba, bb, a, bbaaabbb, b, aaaba, aaaa, bbaabb, bbbb, bbaa, aaba, bbabb, aaaaba, aaaaaaaa]"
(a|baa)*,"ba{3,}","positive example:[baaaaa],negative example:[abb, baaabb, bba, , b, bbb, baa, baaaaaba, aabaa, baabb, baba, baaab, babb, baaba, ba]"
(a|b)(a|b)+aaa+,(a|b)(a|b)(aaa),"positive example:[bbaaa, aaaaa],negative example:[aaa, aa, , bba, bb, a, b, bbaaabb, aaaaaaa, aaabaa, bbabbb, aaaa, bbaabb, bbbb, bbaa, aaba, aaaaba]"
(a*ba*b)*a*ba*,a+b(a*ba*b)*a*,"positive example:[abbab, abaabb, aaabbb],negative example:[abb, , babaa, bbb, aaabaabbb, abba]"
(a|baa)*,[a]*([b]{1}a{2}),"positive example:[aabaa],negative example:[baba, baaaa, baabb, aa, babb, baaab, aabbaabba, bbb, baaba, aab, ba]"
(a|baa)*,([a]*([b]{1}a{2})),"positive example:[aabaa],negative example:[baba, baaaa, baabb, aa, babb, baaab, baaba, aab, aabbaaba, bbbb, ba]"
(a*ba*b)*a*ba*,b((a*)(bb))*,"positive example:[baaabb, babb, bbb],negative example:[bb, babaabaa, bba, bababb, bbba, bab, baaabba]"
(a*ba*b)*a*ba*,(a)*b((a*)(bb))*,"positive example:[baaabb, aababbbb, bbbabb, bbb],negative example:[bba, aa, babaabbaa, babbb, baaab, bbba, babab, aabbbb]"
(a*ba*b)*a*ba*,(a)*b((a)|(bb))*,"positive example:[bbbbb, bbba, bbb, aabaabb],negative example:[bbbab, aa, baababbaab, aabbbb, bbaa, bbbb]"
(a|baa)*,a*(baa)+,"positive example:[aabaabaa],negative example:[baaaa, baabba, bb, aa, babbb, baaab, baaba, aab, aabababaa, baabbb]"
(a|baa)*,a+|(baa)+,"positive example:[aaa, baabaa],negative example:[abb, bba, , ab, b, bbb, baba, baaaa, baabb, babb, baaab, baaba, aaabaabba]"
(a|baa)*,(baa)|a*,"positive example:[aaa, , baa],negative example:[abb, aba, b, bbaabba, bbb, aaab, baba, baabb, baaaa, babb, baaab, baaba, ba]"
(a|baa)*,a*b(aa)|a*,"positive example:[aa, , aabaa],negative example:[baaaa, baba, bba, baaab, babb, aaba, bbb, aab, aabaabbabb, baabaa]"
(a|baa)*,a+(baa)*|a+,"positive example:[aaa, aaabaabaa, abaa],negative example:[abaababa, bb, , ab, aaabbabbaa, abaaba, abaabb, abaaaa, abaaab, abbb, abaababb, ba]"
(a|baa)*,a+(baa)*|a*,"positive example:[, a, abaabaa, aaabaa],negative example:[baabba, bb, ab, ababb, abaaba, abaaaa, abaabb, aaabba, abaaab, ababa, abbb]"
(a|b)(a|b)+aaa+,b+a+(aaa)|a+b+(aaa)|b+b+(aaa)|a+a+(aaa),"positive example:[bbaaaaa, aaaaaaabaaa, abaaa, aaaaa, aaaabaaa, aaaaabaaa, aaabaaa, aaabbaaa, aaaaabbaaa, abbbaaa, baaaa, bbbbaaa, aabaaa, aabbaaa, aaaabbaaa],negative example:[, aaa, bbaaaaab, bbbbaabb, aaaaaaabb, aaaabb, aabb, baab, baba, babb, abaaba, abaabb, ababbb, abaaaaa, bba, aa, a, bbaaaba, b, bbaaabb, abbba, aaaaaba, aaaaab, aaab, abaa, aaaa, bbbb, baaa, aaba, bbabb, bbaba, aaaaba, ababaa, abaaabb, bbbbaaba, ba]"
(a|b)(a|b)+aaa+,(a+)(b+)(aaa)|(b+)(a+)(aaa)|(a+)(a+)(aaa)|(b+)(b+)(aaa),"positive example:[aaaaaaabaaa, bbaaaaa, abaaa, aaaaa, aaaabaaa, aaaaabaaa, aaabaaa, aaabbaaa, aaaaabbaaa, abbbaaa, baaaa, bbbbaaa, aabaaa, aabbaaa],negative example:[, aaa, aaaba, baaaaaabbb, aaabbbaaaa, aaaaaaabb, aaabbbaa, aaabbbaaab, aaabaabb, aaabaaba, aaababb, aaaabb, aabb, bbab, baba, baabb, babb, baaba, bba, abb, aa, baaabb, baaaba, aba, a, b, baaaaaabaa, aaaaaba, aaaaab, bbbbaa, aaaa, bbbb, aaba, aaaaba, aaababa, baaaab, ba]"
