attempt_id,attempt_regex,RE_id,question_description,regex,positive_strings,negative_strings,user_id
887,(a|b)(a|b)a(a|b)*,12,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[bbabb, aaaaa]","[aa, bb, a, bbbbb, b, aabaa, <empty>]",419
896,b*(ab*ab*)*b*,13,Even number of a’s.,(b|(ab*a))*,"[aab, abbaaa, bbaa]","[bbaaa, aaba, abbaa]",419
898,b*(abb*abb*)*b*,14,Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,"[ababb, bbabababab, abbbab]","[bba, ababaaa, abbba, abaabb, ababaab, bbabaaabaa, ababbab]",419
914,b*(abbb*)*ab*|b*ab*|b*|b*(abbb*)*b*,15,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"[abbb, bbabba, bbab]","[abbaab, abbbaa, abbaaa, bbabaaabba, abab]",419
924,(a|ba)*(aa|ab)*(bb|ab)*(ba|b)*,18,At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,"[bba, aaba, bab, bbaba, bbbbab]","[babbaa, abbbaaaa, baabbabbaabbab, abbbaa, bbabaa]",344
925,(ab|b)*aa(ba|b)*,17,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,"[aabbbab, abbaaba, abaa]","[aba, aabbbabaa, aabaa, aaabbaab, <empty>, aaaa, bbab]",344
928,b*(a|b*)b*(a|b*)b*,16,Contains less than three a’s.,b*a?b*a?b*,"[bba, bb, bbaabb, abba]","[bbaabbaaabba, aaa, abbaa, aaab]",344
944,(b*ab*ab*)?|(b*ab*)?|b*,16,Contains less than three a’s.,b*a?b*a?b*,"[aa, bb, bbabb, bbabbabb]","[bbaabbaaabba, aaa, abbaa, aaab]",342
1005,(b*(ab)*b*)*aa(b*(ba)*b*)*,17,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,"[aabbbab, abbaaba, abaa]","[aba, b, aabbbabaa, aaabbab, aaaaa, aabaa, <empty>, abaabaa]",342
1013,^[ab]{2}a[ab]*$,25,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[^aaaaa$, ^bbabb$, ^aaa$, ^bba$]","[aaa, ^a, bbb, ^bbbb, ^b, ^aaba, <empty>, ^aaa, ^bba, ^bbabb$b, ^aaa$aa, ^aaaaa$a, ^bba$bb, ^, ^aa, ^bb]",352
1014,^([ab]{3})+$,24,Length is a multiple of 3.,((a|b)(a|b)(a|b))*,"[^aaaaaa$, ^bbbbbb$, ^bbb$, ^aaa$]","[aa, ^bbb$bbb, bb, ^aaaa, ^bbbb, ^bbb, ^aaa$aaa, <empty>, ^, ^bbbbb, ^aaaaa, ^aaa]",352
1015,"^(aa){2,}(bb){2,}$",23,anbm where n ≥ 3 and m is even,aaaa*(bb)*,"[^aaaabbbbbb$, ^aaaabbbb$, ^aaaaaabbbb$]","[^aaaabbbb$aa, ^aaaabbbb$ab, baa, ^a, ^aaaabbaa, ^aaaabbab, ^aaaabbbbb, ^aaaabbbbbb, <empty>, ^aaaabb, ^aaaba, ^aaabb, ^aaaabab, ^aaaabaa, ^ba, ^, ^bb, aa, ^aaaabbbb$bb, ab, ^aaaabbbb$ba, ^aabb, ^aaba, ^aaaabbbab, ^aaaabbbbab, ^aaaab, ^aaaabbbaa, ^aaaabbbbaa, ^aaaaaa, ^aba, ^aaaaa, ^abb, ^aaaabbb, bbabb, ^aa]",352
1016,^(a+|a+ba*|a*ba+)$,22,Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),"[^a$, ^ab$, ^abaa$, ^baa$, ^aaa$, ^ba$]","[aa, bb, ^ba$b, ab, ^b, ^ab$b, ^bbb, ^bab, <empty>, ^a$a, ^a$b, ^aaaba, ^bba, ^abb, ^aaa, ^ba$ab, ^baaabbabb, ^ba$aa, ^ba$bb, ^ab, ^, ^babaa, ^ba$ba, ba]",352
1017,^b[ab]*b$,21,Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,"[^bbaab$, ^baabab$, ^bb$, ^bbbb$, ^bbab$]","[^bbaab$aa, aa, ^bbaab$bb, bb, ^babbbab$b, <empty>, ^ba, ^, ^bbaab, ^aaa, ^babbbab$a, ^abb]",352
1027,(ab|b)*,20,Every odd position is b.,(a?b)*,"[bbab, abab]","[aaaa, abaababb, ba]",342
1062,(ba|a)*(bb)?(ab|a)*,19,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,"[aa, babaa, bbaaaba, abaabbab, ba, abab]","[babbb, bbabb, bab, aaababbb, bbbaabba, ababbb, abbb, bbbb, abbaaababb]",342
1079,(ba|a)*(b|ba)*,18,At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,"[bba, aaba, bab, bbaba, bbbbab]","[bbaab, abbaa, bbaaabbaa, bbabaa, babbbbabaa]",342
1080,b(a|b)*a,11,Begins with b and ends with a.,b(a|b)*a,"[bba, babbaaaba]","[bbbab, aa, babb, abbaab, baaabab, <empty>]",325
1081,(a|b)(a|b)a(a|b)*,12,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[bbabb, aaaaa]","[aa, bb, a, bbbbb, b, aabaa, <empty>]",325
1082,(b*(ab*a)*)*,13,Even number of a’s.,(b|(ab*a))*,"[aa, aab, bbabbaaa]","[bbaaa, aaba, abbaa]",325
1083,(b*(abb*ab)*)*,14,Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,"[ababb, bbabbbababab, abab]","[bbababbab, abaaa, abbba, abaab, ababaababb, ababaaaa, bbababba]",325
1107,b*(abbb*)*(ab*|b*),15,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"[abbb, bbabba, bbab]","[abbaab, abbbaa, abbaaa, abaa, bbababbaab]",325
1108,baba,16,Contains less than three a’s.,b*a?b*a?b*,[baba],"[babaab, aa, bababb, babaaa, ab, bababa, b, bab, <empty>, bbaa, baab, babba, babbb, baaa, bbbabb, ba]",335
1113,((.*a){3}),16,Contains less than three a’s.,b*a?b*a?b*,"[buffffabuffffbuffffaa, aaabuffff",[,343
1115,^(?![^a]*aa[^a]*aa[^a]*$)[^a]*aa[^a]*$,17,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,"[^?!aaaa$aa$%buffff$, ^?!\uffff`aaaa$aa#$, ^?!\uffff`aa``aa$aa$, ^?!\uffff`aaaa$aa\uffff``$\uffff\uffff$, ^?!buffff","[^?!aaaa\uffff\uffff#`$\uffffaa$$$`$a, ^?!aaaa",343
1122,^bufffbb,22,Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),[^bufffbb],"[bb, ^b, ^baa, ^buab, ^bufffb, ^bab, <empty>, ^buaa, ^buffbb, ^buffba, ^bufbb, ^bufff, ^bufba, ^bufffbbaa, ^bufffbbab, ^, aa, ab, ^bufffbaa, ^bufffbab, ^aabaa, ^bbb, ^buba, ^bubb, ^buff, ^abb, ^bba, ^bufffaa, ^bu, ^bufffab, ^buffaa, ^bufab, ^bufaa, ^buffab, ^buf, ^bufffbbba, ^bufffbbbb, ba]",354
1125,^bba,23,anbm where n ≥ 3 and m is even,aaaa*(bb)*,[^bba],"[aa, ab, ^bbbb, ^b, ^bbba, ^baa, ^bab, <empty>, bbbaab, ^bbaba, ^bbaaa, ^bbabb, ^bbaab, ^ab, ^, ba, ^aa, ^bb]",354
1128,^bbaaa,24,Length is a multiple of 3.,((a|b)(a|b)(a|b))*,[^bbaaa],"[aa, bb, ^b, ^bbaa, ^bbbb, ^bbba, ^baa, <empty>, ^bab, ^bbaabb, ^bbaaba, ^aaa, ^bba, ^abb, ^bbaaaaa, ^bbaaabb, ^bbaba, ^bbabb, ^, ^bb]",354
1131,^bbbb,25,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,[^bbbb],"[aa, bb, ^bbaa, ^b, ^bbab, ^baa, ^bbb, <empty>, ^bab, ^bbbbbbb, ^bbbbaaa, ^bbbaa, ^, ^ab, ^aa, ^bb, ^bbbab]",354
1133,^(?!.*a.*a.*a),16,Contains less than three a’s.,b*a?b*a?b*,"[^?!aaaaa\uffffa, ^?!\uffff`\uffff\uffffaaa, ^?!a`\uffff\uffff``aa, ^?!abuffffaa, ^?!aaa\uffff`a, ^?!aaaaabuffffa, ^?!aaabuffffbuffffa, ^?!aa\uffff\uffff`\uffffa\uffffa, ^?!","[^?!``a``a`a``, baa, <empty>, ^?!``aa, ^?bb, ^?!aaa",339
1142,^(?!.*aa.*aa).*aa.*,17,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,"[^?!aa\uffffaaaa, ^?!aabuffffaaaa, ^?!aaaaa\uffff\uffff`\uffffa``aa\uffff\uffff, ^?!a",[^?!aaaaa,339
1146,abba,19,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,[abba],"[aaa, abb, ab, a, bbb, aab, abbba, abbbb, abbaba, <empty>, abaa, abab, babaa, abbaab, abbabb, abbaaa]",339
1152,bbabb,20,Every odd position is b.,(a?b)*,[bbabb],"[abb, bbabbab, bba, bb, bab, bbabbba, b, baa, bbabbaa, bbabbbb, aabaa, <empty>, bbabaa, bbbb, bbabab, bbab, bbaab, bbba, bbaaa]",339
1153,(b|(ab*a))*,19,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,"[aa, aab, bbabbaaa]","[aaa, aaba, bbabbaa]",343
1160,^b(.b)*.$,21,Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,"[^b\uffffb\uffff$, ^b\uffff$, ^b","[aa, ^b\uffffb, bb, ^b\uffffb\uffff, ^b",353
1162,^[^b]a[^b],22,Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),"[^\uffffa\uffff, ^cuffffacuffff, ^cuffffa","[bb, ^aa\uffffb, ^aa\uffffa, ^a, ^",353
1163,"^a{3,}(bb)*$",23,anbm where n ≥ 3 and m is even,aaaa*(bb)*,"[^aaaaabbbb$, ^aaabb$, ^aaabbbb$, ^aaa$]","[aaa, bb, ^a, ^aaab, abbab, ^aaaaabbb, <empty>, ^aaa$b, ^aaa$ab, ^aaa$aa, ^aaabab, ^aaabb$b, ^aaabb$a, ^aaabbbb, ^ba, ^, ^bb, ^aabb, ^aaba, ^aaabaa, ^aba, ^abb, ^aaaaa, ^aaabbab, ^aaa$bb, ^aaa$ba, ^aaabbaa, ba, ^aa]",353
1164,^(?:.{3})*$,24,Length is a multiple of 3.,((a|b)(a|b)(a|b))*,"[^$, ^?:\uffff\uffff\uffff?:\uffff\uffff\uffff$, ^?:","[aaa, ^?:\uffff\uffff, ^?:\uffff, ^?, ^a, bbb, ^b, <empty>, ^?:\uffff\uffff\uffffbb, ^$aa, ^$bb, ^?:\uffff\uffff\uffff$b, ^?:",353
1165,^..a.*$,25,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,[^,"[aa, bb, ^\uffff\uffffa$$$\uffff$#, ^\uffff\uffff, ^\uffff\uffffa#, ^\uffff\uffffa\uffff##\uffff\uffff$#$\uffff, <empty>, ^\uffff\uffffbbb, ^\uffff\uffffa$\uffff#, ^",353
1166,bA*a,11,Begins with b and ends with a.,b(a|b)*a,"[bAAa, ba]","[baba, bba, aa, baaa, babb, ab, bab, b, bbb, baabaabb, <empty>, bAAb]",330
1167,(A+A+a)*,12,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[AAa, AAAAaAAa]","[AA, AAba, AAb, AAaaa, AAabb, AAaAaaa, AAaAbbb, AAAAaA, AAbb]",330
1168,(a|b)*aa(a|b)*,17,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,"[bbabaa, abaa, aaaa, aabb]","[aba, b, <empty>]",336
1169,aa(a|b)*bb(a|b)*,18,At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,"[aababb, aaaababb, aabbaa, aabbbb]","[abb, bb, a, aab, aaaaba, aabab, <empty>, ababbaa, ba]",336
1173,(a|b)*abb*,20,Every odd position is b.,(a?b)*,"[bbabaabbbab, aab]","[aa, bb, <empty>, bbababbbaaa]",336
1176,^b[a|b]*a$  ,11,Begins with b and ends with a.,b(a|b)*a,"[^bbb||ba|aba$  , ^bab|a$  , ^babba$  , ^baaa$  , ^ba$  , ^b|a$  ]","[^ba||a$ ab, ^ba||a$ aa, ^baba||b|aaa$ , ^ba||a$ab, ^ba||a$aa, <empty>, ^ba||a$  ab, ^ba||a$  aa, ^baba||b|aaa$ bb, ^ba||a$  ba, ^ba||abbb, ^ba||a$, ^ba||a$ba, ^ba|b, ^ba||ab|, ^ba||a$ ba, ^, ^bb, aa, ab, ^ba||a$bb, ^ba||a$  bb, bbbaab, ^ba||a|a, ^b|, ^ab, ba, ^aa]",323
1178,^[ab]{2}a[a|b]*$  ,12,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[^bba|$  , ^aaa$  , ^bbabb||b$  , ^bba$  , ^aaa|$  , ^aaaaa||a$  ]","[aa, bb, ^aaaa$  aa, ^a, ^b, ^aaaa$ aa, ^aabaa, <empty>, ^bbab$ bb, ^aaaa$, ^bba||bb|$bb, ^bbab$ , ^aaaa$ , ^bba||bb|, ^aaa||aa|$aa, ^aaa$, ^aaa||aa|, ^bbab$  bb, ^bba$, ^, ^bbbbb, ^aa, ^bbab$, ^bb]",323
1186,((b*)|(b*)a(b*)|(b*)a(b*)a(b*)),16,Contains less than three a’s.,b*a?b*a?b*,"[bba, bb, bbaabb, abba]","[aaa, aaabb, abbaa, bbaabbaaaba]",340
1188,(b|ab)*aa(b|ab)*,17,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,"[baaab, aaabab, abbaabbab, abaa]","[aba, aaaba, aaaababb, <empty>, aabbabaa, aaaaaa, bbab]",340
1189,(b*ab*a)*b*  ,13,Even number of a’s.,(b|(ab*a))*,"[abbaaa  , aab  , aa  , bb  ]","[ bb, aa, aa , aab, abbaa, <empty>,   ab,   bb,   aa,   ba,  abb, bb aaaba,  ba]",323
1190,(b*(ab+)*(b*))*  ,14,Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,"[abab  , ab  , bb  ]","[ bb,  aa,  ab, aba, b, aab, abaaabbaa, <empty>,   ab,   aa,   bb,   ba, ab ,  ba]",323
1191,((a|ba)*b?)((b|ab)*a?),18,At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,"[aaba, bab, bbb, bbaba, bbabba]","[babbaa, aababbaa, bbabaaaabba, bbaab, bbbaa]",340
1192,"b*(ab{2,}a)*b*  ",15,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"[  , abbbba  , abbab  , bbabba  , abbabbb  , abbaabba  ]","[ aa, aaa, bb,  ab, aab, abbab, abbab , <empty>, abba  b, abbab a, abbab b, abba,   bb, bb babbaa, abbab  b, abbaab, abbaaa,  bb, abbbba b, a, abbbb, abbabab, abbabaa, abbabbba, abaa,   ab,   aa, abab,   ba, abba a]",323
1195,(a|ba)*(bb)?(a|ba)*b？,19,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,"[bbb？, bbbab？, bab？, aabab？, b？, bbaabab？]","[bba, bab, bbbab？b, <empty>, b？abbaab, bbbab, bbbbb, aaba, bbbba, bbb？a, b？ba, b？aa, b？bb]",340
1197,(b|ab)*,20,Every odd position is b.,(a?b)*,"[bbab, abab]","[aaa, aba, bbaba, aabbaab]",340
1198,^(b*ab*ab*|b*ab*|b*)$,16,Contains less than three a’s.,b*a?b*a?b*,"[^a$, ^$, ^aabb$, ^aa$, ^abb$, ^bbaa$]","[aa, bb, ^aa$a, ab, ^a, ^aaaa, ^bb$b, ^aa$b, ^aabb$b, <empty>, ^$ab, ^a$a, ^$bb, ^a$b, ^$ba, ^aaa, ^abbaab, ^, ^$aaabba, ^aa, ba]",341
1199,^[^a]*(aa)[^a]*$,17,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,[^buffffbuffffaa,"[^aabuffffbuffffab, ^aa$`#, ^aa\uffff\uffff`$##, ^aabuffffbuffff%",341
1200,b*a,11,Begins with b and ends with a.,b(a|b)*a,[bba],"[aaa, bb, aab, <empty>, bbababaa, abbb]",332
1210,^b.*a$,12,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,[^b,"[bb, ^babuffff",332
1222,b*a?b*a?b*,16,Contains less than three a’s.,b*a?b*a?b*,"[bba, bb, bbaabb, abba]","[aaa, bbabbabbaaaba, aaabb]",394
1238,(ab|b)*aa(ba|b)*,17,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,"[aabbbab, abaaba, aabb, baab]","[aba, b, aabaa, <empty>, aabbaa, aaaa, abaaabaabb]",394
1239,(ba|a)*(bb)?(ab|a)*,19,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,"[aa, babaa, bbaaaba, ababbab, ba, abab]","[babbb, bbbbb, bbabb, bab, bbbabaa, aaababbb, ababbb, abbb, abbaaababb]",394
1240,(ab|b)*,20,Every odd position is b.,(a?b)*,"[b, abab]","[aba, bbaba, aab, aaabbaa]",394
1243,(a|ba)*(b|ba)*,18,At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,"[aaba, bab, bbb, bbaba, bbabba]","[babbaa, aababbaa, bbbbabaa, bbabaa, bbaaaa, bbaababb]",394
1256,aabaabb,18,At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,[aabaabb],"[bb, aab, aabba, aabbb, <empty>, aabaab, abbb, aabaabbba, aabaabbbb, aababb, aababa, aabaaab, aabaaaa, abaaba, aa, a, aabaa, aabaabab, aaab, aabaabaa, aaaa, aabaabbab, aabaabbaa, aaba, ba]",337
1257,abba,19,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,[abba],"[bb, abb, a, ab, abbba, abbbb, abbaba, <empty>, abaa, aabb, abab, aaaaba, abbaab, abbaaa, abbabb, ba]",337
1261,bbabb,20,Every odd position is b.,(a?b)*,[bbabb],"[bbabbab, aa, bba, bb, ab, bbabbba, bab, b, bbabbaa, bbabbbb, baa, <empty>, bbabaa, bbbb, bbab, bbaab, bbba, bbaaa, bbababaabb]",337
1278,b(a|b)*a,11,Begins with b and ends with a.,b(a|b)*a,"[babba, baaaba, bbbaba]","[bb, aaa, ababb, <empty>, babbaaabab]",329
1347,(ab*)|(aab*)|(b*a)|(b*aa)|(ab*a)|(b*)|b*aab*|ab*ab*|b*ab*|b*ab*a|b*ab*ab*,16,Contains less than three a’s.,b*a?b*a?b*,"[bba, bb, bbaabb, abba]","[aaa, aabba, aaab, bbabbaaaabba]",337
1398,^b*((ab+b*){2})*b*$,14,Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,"[^ababbbabab$, ^b$, ^$, ^abababab$, ^abab$, ^abbbab$]","[baabba, bb, aa, ab, ^b, ^aab, <empty>, ^abab$ba, ^abab$ab, ^abab$bb, ^abab$aa, ^ababa, ^abaaa, ^abbba, ^aaa, ^abaab, ^ababbb$b, ^$b, ^ab]",327
1417,((a|(b|ba)*)*b)*aa(b|ba)*,17,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,"[aabaaabbaaba, aababa, aabbbab, aabaaabaaba, aaabaaba, aabaaaaabaaba, abaaba, aabaab, bbabaa, bbabaaba]","[aaa, aba, aabbaaaba, aababbaabbaaab, aabbaaabb, aabbaaaaab, <empty>, bbab, aababaaab]",337
1427,[ab]{2}a[ab]*,12,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[bbabb, aaaaa]","[aa, bb, a, bbbbb, b, aabaa, <empty>]",329
1431,b*(ab*ab*)*,13,Even number of a’s.,(b|(ab*a))*,"[aa, aab, bbabbaaa]","[aaa, aaba, bbabbaa]",329
1434,b*(ab+ab+)*,14,Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,"[ababb, bbabbbababab, abab]","[aba, abaaa, abaab, bbabbbabaaabaa, ababbaa, bbabbb, ababaabb, bbabbbaba]",329
1445,"b*(ab{2,})*a?b*",15,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"[abbb, bbabba, bbab]","[abbaaaa, abbaabbab, abaa, bbabbbaa, abab]",329
1449,"b*(ab{2,})*a?b*",15,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"[abbb, bbabba, bbab]","[abbaab, abbbaa, abbaaa, abaa, bbababaabb]",327
1450,b[ab]*a,11,Begins with b and ends with a.,b(a|b)*a,"[babba, baaaba, bbbaba]","[aa, bbbab, babb, abbaab, baaabab, <empty>]",327
1451,b*(ab*ab*)*,13,Even number of a’s.,(b|(ab*a))*,"[aab, abbaaa, bbaa]","[aaa, aaba, bbabbaa]",327
1453,[ab]{2}a[ab]*,12,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[bbabb, aaaaa]","[aa, bb, a, bbbbb, b, aabaa, <empty>]",327
