Short Description,regex,Attempt Regex,ChatGPT Output
Every b followed by two or more a's,(a|baa)*,(a|(b*a(a)*))*,"Sure! Here are the examples:

Positive example: [ """", ""a"", ""aa"", ""ba"", ""baa"", ""bba"", ""bbaa"", ""bbaaa"", ""aaaa"", ""bbbaaa"" ]  
Negative example: [ ""b"", ""babab"", ""bbaab"", ""abb"", ""ab"", ""baaaaab"" ]  "
Every b followed by two or more a's,(a|baa)*,((a)*(b+aa+))+|[a]*,"Positive example: ['a', 'b', 'aa', 'aaa', 'bb', 'aab', 'aaaabaa', 'aabaa', 'ababaa', 'ab', 'aaab', '']
Negative example: ['ba', 'aba', 'bba', 'bbb', 'aabb', 'bab', 'bbaa', 'abba', 'aaabb', 'abbb']"
Odd number of 1s,0*10*(10*10*)*,(0*(10*1)*0*10*)*|(11),"Positive example: [ """", ""11"", ""0"", ""10"", ""101"", ""110"", ""111"", ""010"", ""0010"", ""0101"", ""100"", ""101001"", ""1010"", ""010010"" ]  
Negative example: [ ""1"", ""111"", ""01"", ""011"", ""000"", ""0001"", ""1001"", ""1110"", ""1101"", ""0110"", ""00000"", ""10111"" ]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*(b|ba))*)?,"positive example: ["""", ""aba"", ""abab"", ""b"", ""aab"", ""bab"", ""bababa"", ""abababa"", ""abaaabab"", ""bababababa""],  
negative example: [""aa"", ""aaa"", ""ab"", ""bb"", ""baa"", ""bba"", ""a"", ""ababbb"", ""baabab"", ""bbb""]  "
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aa*,"Positive example: [aa, baa, aba, abaa, bbaa, aaaa, bbaaa]  
Negative example: [a, b, ba, abb, bab, bb, bbb]  "
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)+(a*a+a+),"Positive example: [aaa, bbaaa, ababaaa, aaaa, bbaaabaa, abbaaa]  
Negative example: [aaab, aaba, bab, baa, bbaabab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(a|b)*(aaa)*,"Positive example: [ ""aaa"", ""a"", ""b"", ""ababaaa"", ""bababaaa"", ""aaaaaa"", ""baaabaaa"" ]  
Negative example: [ ""aa"", ""bbb"", ""abab"", ""abaa"", ""bbaab"", ""bbbbbbbb"" ]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b|baa+)+b,"Positive example: [ ""ab"", ""bb"", ""baab"", ""bab"", ""baaaab"", ""baaaabb"", ""abbb"" ]  
Negative example: [ ""a"", ""baa"", ""bbaa"", ""baaaa"", ""aaa"", ""bbbaa"", ""b"" ]"
Every b followed by two or more a's,(a|baa)*,(a*)+(a*|b+a+a)+(a*),"Positive example: [ ""aaa"", ""aaaaaa"", ""aaabba"", ""aaaaabaabaaa"", ""baaa"", ""aaaabaa"", ""baaaaa"", ""aaaaaabaaaa"", ""aaa"", ""a"" ]  
Negative example: [ ""b"", ""bb"", ""abba"", ""baaab"", ""bab"", ""abab"", ""bbbaaaa"", ""bbb"", ""ababaa"", ""bbaa"" ]  "
even prefix,(ab|ba)*,(ab(ab)*|ba(ab)*)*((a|b)(a|b))*,"Positive examples: [""ab"", ""ba"", ""abab"", ""baba"", ""ababa"", ""ababab"", ""baabab"", ""baababab"", ""abba"", ""bbaa"", ""ababaa"", ""babaaa"", ""aabbab"", ""ababbb""]

Negative examples: [""a"", ""b"", ""abbaab"", ""babba"", ""abbb"", ""baaa"", ""aaaa"", ""bbbb"", ""aba"", ""babbaab""]"
At least one a followed by one b,a+b,[ab]*(ab)[ab]*,"positive example: [ab, ababab, babab]  
negative example: [a, b, aa]"
non isolated 'b',(a|(b*bb))*,(a|(b)*)*,"positive example: [a, b, aa, abba, bbaaa]
negative example: [c, acb, bbac, abbc, x]"
At least one a followed by one b,a+b,(a|b)*(b),"Positive example: [""b"", ""ab"", ""bb"", ""aab"", ""abab""]
Negative example: [""a"", ""aa"", ""aaa"", ""aba"", ""baaa""]"
Odd number of b's,(a*ba*b)*a*ba*,(a*(ba*ba*)*ba*)*,"Positive example: [ """", ""a"", ""aa"", ""b"", ""ab"", ""ba"", ""aba"", ""bab"", ""aab"", ""abba"", ""aabba"", ""baab"", ""baabba"", ""bbaba"", ""abab"", ""baa"", ""baababa"", ""aaa"" ]  
Negative example: [ ""bb"", ""bbb"", ""bba"", ""aabb"", ""baaa"", ""aaab"", ""babab"", ""abbaaa"", ""ababaa"", ""bbaa"", ""baabab"", ""babaa"", ""aabab"", ""bbbb"" ]  "
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*,"Positive example: [ ""a"", ""b"", ""aa"", ""bb"", ""ab"", ""ba"", ""aab"", ""bba"", ""abab"", ""aaa"" ]  
Negative example: [ ""c"", ""ac"", ""bc"", ""abc"", ""cba"" ]  "
Odd number of b's,(a*ba*b)*a*ba*,a*b|(a*ba*(bb)*a*)*,"Positive example: [ ""b"", ""ab"", ""aab"", ""aaab"", ""abab"", ""aba"", ""abba"", ""aaabba"", ""abbba"", ""aaabbba"" ]  
Negative example: [ ""a"", ""bb"", ""baa"", ""ababab"", ""abb"", ""aaabbab"", ""aaaaa"", ""bbaa"", ""bab"", ""abbbaa"" ]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|(0+1+)+0+|(1+0+)+1+,"Positive example: [ ""0"", ""1"", ""000"", ""111"", ""01"", ""10"", ""001"", ""110"", ""010"", ""101"", ""0010"", ""1101"" ]  
Negative example: [ ""00"", ""11"", ""0001"", ""1110"", ""0110"", ""1001"", ""0101"", ""1010"", ""00101"", ""11010"" ] "
Odd number of b's,(a*ba*b)*a*ba*,a*b+(a|b(a)*b)*,"positive example: [ ""a"", ""ab"", ""abb"", ""aab"", ""aabb"", ""ababb"", ""aabab"", ""bbb"", ""aaabab"", ""bbbbab"" ]  
negative example: [ ""b"", ""ba"", ""aa"", ""bba"", ""bab"", ""aba"", ""abba"", ""baaa"", ""bbab"", ""aaaa"" ]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*(0|1)*0*,"Positive example: [ ""0"", ""00"", ""10"", ""01"", ""110"", ""001"", ""100"", ""010"", ""000"", ""1110"" ]  
Negative example: [ ""1"", ""11"", ""101"", ""111"", ""0001"", ""0101"", ""1101"", ""1010"", ""0111"", ""1111"" ]  "
even prefix,(ab|ba)*,((aabb|abab|abba|bbaa|baba|baab)*(aa|ab|ba|bb)*)+((ab)?),"Positive example: [ ""aabb"", ""abab"", ""abba"", ""bbaa"", ""baba"", ""baab"", ""aabbaababab"", ""aabbaabbaab"", ""abbaab"", ""abbaabbab"", ""ababab"", ""bbaaab"", ""ab"", ""ababaababab"", ""abbaab"", """" ]  
Negative example: [ ""aabbc"", ""bcab"", ""a"", ""bbbaa"", ""abbab"", ""bab"", ""abc"", ""aaa"", ""aabbaa"", ""bbbb"", ""abababac"", ""aaaaab"", ""baaba"", ""aabbabbbb"", ""aabbbaabbaa"" ]  "
non isolated 'b',(a|(b*bb))*,(a*|(bb*))*,"Positive example: ["""" , ""a"", ""aa"", ""b"", ""bb"", ""bbb"", ""ab"", ""abb"", ""aabb"", ""bbbb"", ""aaa"", ""abba""]
Negative example: [""ba"", ""bbaaa"", ""bab"", ""aabbb"", ""bbbba"", ""abaa""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*a{2}aa*,"positive example:[aaaa, baaaa, aaabaaaa]
negative example:[aaa, baa, bbaa]"
even prefix,(ab|ba)*,(ab|ba|aabb|bbaa)*(aabb+bbaa+ab+ba)*,"Positive example: [ ""aabb"", ""bbaa"", ""abab"", ""abba"", ""ababaabb"", ""bbaabbaa"", ""ababbaa"", ""aabbaabbaabb"" ]  
Negative example: [ ""aab"", ""bba"", ""aaabbb"", ""abb"", ""baab"", ""aabab"", ""bb"", ""aabbbaa"" ]"
even prefix,(ab|ba)*,((a|b)|((a|b)(a|b)(a|b)))*|(ab|ba)*,"positive example: ['a', 'b', 'aaa', 'bbb', 'aba', 'bab', 'ab', 'ba', 'abab', 'baba', 'aaabbb', 'abba', '']
negative example: ['aaaab', 'bbbaa', 'abababx', 'aab', 'bbc', 'abbba', 'c', 'cb', 'abc', 'baaa']"
even prefix,(ab|ba)*,(bb|aa|(abab|aabb)*)*((aa)|(bb)|(ab)|(ba))*,"Positive example: [`aa`, `bb`, `abab`, `aabb`, `aaaabbab`, `ababbb`, `aabbaa`, `abababab`, `abaab`, `bbbb`]

Negative example: [`aaaa`, `bbaa`, `abababababbbbb`, `abba`, `aaba`, `aabbabababababab`, `aaaaaabb`, `babab`, `baab`, `bbaaab`]"
even prefix,(ab|ba)*,(ab)*((a|b)(a|b))*,"Positive example: [ """", ""ab"", ""abba"", ""abab"", ""ababba"", ""abababab"", ""aba"", ""ababab"" ]  
Negative example: [ ""a"", ""b"", ""abb"", ""ba"", ""baba"", ""aab"", ""bbb"", ""bb"", ""aababb"" ]"
non isolated 'b',(a|(b*bb))*,(a*(b+a*b+)*a*)*,"Sure! Here are some examples:

```
positive example: ["""", ""a"", ""aa"", ""b"", ""ab"", ""ba"", ""aab"", ""bba"", ""aaaa"", ""aba"", ""bab"", ""abba"", ""aaba""]
negative example: [""bb"", ""abbb"", ""babba"", ""babab"", ""aaabbb"", ""aaaabb"", ""baab"", ""bbbabb"", ""abbab"", ""bbb""]
```"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)+(a|b)*aaa*,"positive example: [ ""aaaa"", ""bbaaaa"", ""ababaaa"", ""bbbba"", ""aaabaaa"" ],  
negative example: [ ""ba"", ""aabbaa"", ""babab"", ""aaba"", ""bbb"" ]  "
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b|baa+)*b,"positive example: [ ""b"", ""ab"", ""bb"", ""baab"", ""baaab"", ""abaab"", ""baabbb"" ]  
negative example: [ """", ""a"", ""ba"", ""bbaa"", ""baa"", ""abaa"", ""baaabb"" ]  "
even prefix,(ab|ba)*,(bb?|aa|(ab|ba)*)*((aa)?|(bb)|(ab)|(ba))*,"
Positive example: ['aa', 'bb', 'ab', 'ba', 'aabb', 'abba', 'bbaa', 'ababab', 'babab', 'abaa', 'bbab', 'aaaa', 'bbbb']
Negative example: ['a', 'b', 'aaa', 'bbb', 'abababa', 'baabbb', 'aab', 'babaaa', 'abbaaaab', 'baaaa']"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)|(a|b)+(a|b)*aaa,"Positive example: [a, b, aaa, baaa, abaaa, babaaa, aaaa, baaabaaa, ababaaa, bbaaa]  
Negative example: [aaaaa, aa, bbb, aabaaa, bb, aaaab, aba, abb, bbbbb]"
At least one a followed by one b,a+b,[a]*[b]*,"positive example: ["""", ""a"", ""b"", ""aa"", ""bbb"", ""aab"", ""abb"", ""aaaa"", ""abbb""],  
negative example: [""abbaa"", ""ba"", ""abab"", ""baba"", ""abbba"", ""bbab"", ""abba""]"
even prefix,(ab|ba)*,((ab)|(ba))*|(a|b)((a|b)(a|b))*,"Positive example: ['ab', 'ba', 'abab', 'baba', 'a', 'b', 'aaa', 'bbb', 'ababba', 'aaaa']
Negative example: ['aa', 'bb', 'ababababa', 'bba', 'abb']"
even prefix,(ab|ba)*,(ab(a|b)*)*((a|b)(a|b))*,"Positive example: [""ab"", ""abab"", ""abaa"", ""ababab"", ""ababaa"", ""abababba"", ""abababbab"", ""ababababaa""]
Negative example: [""a"", ""b"", ""aba"", ""bab"", ""abbab"", ""babab"", ""aaaab"", ""abbaab""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ab]|[ab]+a{3},"Positive example: [a, b, aa, bbbaaa, abaaa]  
Negative example: [aaa, ba, ababaaa, baaa, bbb]  "
non isolated 'b',(a|(b*bb))*,((a|b)*b?)*,"Positive example: [`"""", ""a"", ""b"", ""aa"", ""ab"", ""ba"", ""aaa"", ""aab"", ""bba"", ""abab"", ""bb"", ""bbbb"", ""aabb"", ""abba""`]  
Negative example: [`""bbbba"", ""aabbab"", ""ababab"", ""cb"", ""abc"", ""babaa"", ""c"", ""ac""`]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)+)aaa,"positive example: [aaaaa, bbaaa, abaaa]  
negative example: [aaa, baaa, aabaaa]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)*(baa)*(a*b*)b,"Positive example: [ ""b"", ""ab"", ""aabbaaab"", ""baaab"", ""babab"", ""aaabaaab"", ""baab"" ]  
Negative example: [ ""baa"", ""aaaab"", ""abab"", ""abbaa"", ""bab"", ""baba"", ""aabaa"" ]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1*0+1*0+1*)*|(0*1+0*1+0*)*,"Positive examples: ['0', '1', '000', '111', '', '1010', '0110', '001100', '1110110110', '0101', '1001', '0010110', '00011', '1100']
Negative examples: ['01', '10', '0001', '1110', '1101', '101', '0011', '011', '0100', '1000', '01101', '1101', '10101', '0001101']"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)+(aaa+)),"Positive example: [aaaaa, bbaaa, aaaaaa, abaaaa, bbbbbaaa]  
Negative example: [aaa, abba, bab, aba, aababaa]"
At least one a followed by one b,a+b,(a|a*)b,"Positive example: [ab, aab, aaab]  
Negative example: [b, aa, abb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(((a)|(b))+)+(aaa)+,"Positive examples: [ ""aaa"", ""aaaaaa"", ""baaaaa"", ""ababaaa"", ""bbaaabaaa"", ""ababbababaaa"" ]  
Negative examples: [ ""a"", ""b"", ""ab"", ""aa"", ""bbaaa"", ""ababab"" ]  "
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)+aaa(a|b)*,"Positive example: [""baaabaaa"", ""abaaaaa"", ""bbbaaabaaaa"", ""abaaabbaaaa"", ""baaaa"", ""aaaabaaaabaaa""]  
Negative example: [""a"", ""b"", ""aaaa"", ""babaab"", ""abababba"", ""bbabaaab""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa,"Positive example: [aaa, abaaa, bbaaa, aaaa, baba, baaab]
Negative example: [aaab, bbbaaa, abba, baa, abab]"
non isolated 'b',(a|(b*bb))*,(a*|(b*b)*)*,"Positive example: ["""", ""a"", ""aa"", ""bbb"", ""abab"", ""bbba"", ""aaaaabbbbb"", ""b"", ""bbbbbb""]
Negative example: [""abbbba"", ""baaa"", ""ababab"", ""bbbaaab"", ""aaaaabbababb"", ""babab"", ""ab""]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*(b|ba))+)?,"Positive example: ['ab', 'aaab', 'aabab', 'babab', 'abab', 'babaab', 'ababa']  
Negative example: ['a', 'ba', 'b', 'aaa', 'bb', 'aabb', 'baaa']"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)|(a|b)*(aaa)a*,"Positive example: [ ""a"", ""b"", ""aaa"", ""aaaa"", ""baaa"", ""abaa"", ""aabaa"", ""aaabaaa"", ""bbaaaa"" ]  
Negative example: [ ""c"", ""ab"", ""baab"", ""aaaaa"", ""bbaa"", ""abab"", ""abb"", ""aa"", ""bab"" ] "
Length 1 or More,(0|1)(0|1)*,[01]*,"positive example:[0,1,01,10,001],negative example:[2,12,abc,0012,1102]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*((a|b)a*b)*,"Positive example: ['b', 'ba', 'aba', 'bab', 'abaa', 'abab', 'aaba', 'ababaa', 'babba', 'babab']
Negative example: ['bb', 'aa', 'bbb', 'a', 'abb', 'bba', 'babbb', 'baaa', 'aaa', 'abbab']"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*aaa(a)*,"Positive example: [aaaa, baaa, bbaaa, aaa, aaaabb, bbaaabaaaaa]  
Negative example: [aab, bbbaa, aaab, aaaaab, bbbbb, abba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)*aaa*,"Positive example: [aaa, aaaa, baaa, abaaa, ababaaa, bbaaa, babaaa, abababaaa]  
Negative example: [aa, a, b, aba, bab, abba, abaa, bbb]"
At least one a followed by one b,a+b,[a]*[b],"positive example: [b, ab, aaab]
negative example: [a, aaa, aaaa]"
even prefix,(ab|ba)*,(ab|ba)*(aa|bb)*(ab|ba)*,"positive example: [abbbaa, baaabbab, abbaabab, bb, abababaa]  
negative example: [a, b, abababa, abaaabbaa, aaaabb]  "
At least one a followed by one b,a+b,(a*b),"positive example: [b, ab, aab, aaaab, aab, aaaaaab]  
negative example: [a, ba, bab, aaba, aa, bbaa] "
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*baa*b*(a*bb*)*,"Positive example: [`""baa""`, `""baab""`, `""abba""`, `""baaaabb""`, `""baaabbabbb""`]  
Negative example: [`""ab""`, `""bbb""`, `""aab""`, `""bababa""`, `""baaaaab""`]  "
even prefix,(ab|ba)*,((ab)*(ba)*)*(a|b)?,"Positive example: ["""", ""a"", ""b"", ""ab"", ""ba"", ""abab"", ""baba"", ""ababa"", ""ababba"", ""ababbaba""]  
Negative example: [""aa"", ""bb"", ""aba"", ""bab"", ""aab"", ""bba"", ""abba"", ""baab"", ""aababa"", ""babab""]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b+a*)*,"positive example: [ """", ""a"", ""b"", ""aa"", ""bba"", ""abba"", ""abbb"", ""baa"", ""bab"", ""babab"", ""aaabb"" ]  
negative example: [ ""bb"", ""aba"", ""abb"", ""bbb"", ""bbaa"", ""aaaab"", ""abab"", ""bbaab"", ""bbab"", ""aabba"" ]"
4 | #0,1*(01*01*01*01*)*,(0|1)*,"positive example: [0, 1, 01, 0011, 1100]
negative example: [2, 10a, 3, 10.0, 01b]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*[b][aa][ab]*[b],"Positive example: [ ""bbaaab"", ""babaaab"", ""bbbbabaaabb"" ]  
Negative example: [ ""baa"", ""aabbb"", ""aaaabbb"" ]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(a|b)(a|b)(a|b)*(a{3,})*","Positive example: [ ""aaa"", ""bbaa"", ""ababaaa"", ""aaaaa"", ""baaabaa"", ""bbb"", ""bbbaaaaa"" ]  
Negative example: [ ""aa"", ""b"", ""bbbbb"", ""abab"", ""aaaaaaaab"", ""baaaaab"", ""abba"" ]  "
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(a|b|aa|bb|ab|ba)*a{3,}","Positive example: [ ""aaa"", ""baaaa"", ""ababaaa"", ""bbaaaa"", ""aaaaabaaa"" ]  
Negative example: [ ""baab"", ""ababaa"", ""bbba"", ""abba"", ""aab"" ]"
Odd number of 1s,0*10*(10*10*)*,((0|1)*),"Positive example: [ ""0"", ""1"", ""01"", ""10"", ""0011"", ""1100"", ""111"", ""000"", """" ]  
Negative example: [ ""2"", ""12"", ""01a"", ""0 1"", ""1,0"", ""01#"", ""0@1"" ]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*|1*|((1+0*1+)*|(0+1*0+)*)*)*,"Positive example: [ """", ""0"", ""00"", ""1"", ""11"", ""101"", ""010"", ""110"", ""0110"", ""1001"", ""110011"", ""10101"", ""01010"", ""001"", ""111000"", ""1010101"" ]  
Negative example: [ ""102"", ""01a"", ""1112"", ""00110b"", ""1011c01"", ""11100102"", ""xyz"", ""123"", ""0a1"", ""1b0"", ""10cat0"", ""0dog1"" ]"
even prefix,(ab|ba)*,(ab|ba)*(aabb+bbaa+ab+ba)*,"positive example: [ab, ba, abab, baba, abba, baab, abaabb, babbaa]  
negative example: [a, b, aaaa, ababab, babbab, abb]"
At least one a followed by one b,a+b,(a*(b))*,"Positive examples: `["""", ""b"", ""ab"", ""aab"", ""aaab"", ""abab"", ""babab"", ""aabab"", ""abbbbb"", ""aaaabaaaaab""]`  
Negative examples: `[""a"", ""bb"", ""ba"", ""abba"", ""aabba"", ""baab"", ""aaa"", ""bbb"", ""abbbba"", ""baa""]`"
At least one a followed by one b,a+b,(a)+(b)*,"positive example: [a, aa, aaa, ab, aab, aaab, abb, aabb, aaaabb, abbb]  
negative example: [b, bb, ba, aba, aabbaa, bab, bbb, aabba, abbba]  "
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01+0)|(10+1)|(0*10*)|(1*01*))*,"Positive example: ['010', '10001', '0110', '1100', '0', '1', '010101', '10101', '001100', '1010010']  
Negative example: ['011', '1101', '001', '111', '00011', '1011001', '100', '01101', '10010', '010110']  "
Odd number of 1s,0*10*(10*10*)*,(0*10*)*,"positive example: ["""" , ""0"", ""1"", ""010"", ""0010"", ""0101"", ""1010"", ""1001"", ""00100""]

negative example: [""11"", ""000"", ""110"", ""101"", ""011"", ""111"", ""1000"", ""0110"", ""00101""]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1?|0|1+(0*1*)*1+|0+(0*1*)*0+,"Positive example: [ ""1"", ""0"", ""10"", ""110"", ""1110"", ""1011"", ""1001"", ""000"", ""0001"", ""111"", ""11101"", ""010"" ]  
Negative example: [ ""11"", ""0000"", ""01"", ""001"", ""1010"", ""00"", ""0111"", ""1000"", ""0101"", ""1 1"", ""0010"" ]  "
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b*)+a+a+a,"Positive example: [aaa, aaab, aaaa, abaa, aababaaa]  
Negative example: [abba, aa, aabbb, ab, b]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*aaa,"Positive example: [aaa, baaabaaa, aaaaaa]  
Negative example: [aab, bbbab, baaab]  "
non isolated 'b',(a|(b*bb))*,a*|((a|b)*bb(a*b*)),"```plaintext
positive example: ["""", ""a"", ""aa"", ""bba"", ""bbaa"", ""bb"", ""abbb"", ""abb"", ""abbba"", ""bbbbaa""]
negative example: [""b"", ""ab"", ""ba"", ""babab"", ""ababb"", ""bbbab"", ""bbb"", ""abab"", ""aab"", ""aabbba""]
```"
Length 1 or More,(0|1)(0|1)*,(0*1+)*(1*0+)*,"Positive example: [""1"", ""0001"", ""110"", ""01"", ""10001"", ""1100"", ""111000"", ""0011000"", ""0"", ""10"", ""0010""]  
Negative example: [""11"", ""00"", ""101"", ""000111"", ""00101"", ""1111"", ""0000"", ""1010"", ""011"", ""1101"", ""00011""]  "
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*(0|1)*1*|0*(0|1)*0*,"Positive example: [101, 111, 000, 1001, 1100, 1, 0, 10, 0110]  
Negative example: [010, 0011, 11001, 00010, 01001, 01111, 00100, 10110, 0001]"
non isolated 'b',(a|(b*bb))*,(a*(bb)*b*a*)*,"Positive example: [ """", ""a"", ""b"", ""bb"", ""abb"", ""bbba"", ""aabbb"", ""abba"", ""abbbabb"", ""bbbb"", ""aaabbbaaa"" ]

Negative example: [ ""ba"", ""bab"", ""aaababb"", ""bbbba"", ""abab"", ""bbaa"", ""abbab"", ""aabbabb"", ""babb"", ""baaa"" ]"
even number of 1's,(0*10*10*)*|0*,0*(0*1*)*0*,"Positive example: ["""" ,""0"", ""1"", ""00"", ""01"", ""001"", ""000"", ""011"", ""010"", ""0000"", ""0011"", ""0110"", ""0101"", ""00011"", ""00110"", ""01111"", ""01000""]  
Negative example: [""111"", ""101"", ""1001"", ""110"", ""1010"", ""1111"", ""1100"", ""100"", ""10101"", ""11110"", ""10011""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1|0|1+(0*1*)*1+|0+(1*0*)*0+)*,"Positive example: [ """", ""1"", ""0"", ""11"", ""100"", ""101"", ""111"", ""001"", ""1111"", ""000"", ""1010101"" ]  
Negative example: [ ""10"", ""01"", ""110"", ""0001"", ""1110"", ""0101"", ""10100"", ""0000"", ""1101"", ""00010"" ]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)|((a|b)a*ba))*,"Positive examples: [ """", ""a"", ""b"", ""ab"", ""ba"", ""aa"", ""aba"", ""baba"", ""aab"", ""baab"", ""abab"", ""aabaa"", ""bababa"" ]

Negative examples: [ ""bb"", ""aaa"", ""bbaa"", ""abb"", ""aabb"", ""bbab"", ""babbb"", ""ababaa"", ""baaba"" ]"
even prefix,(ab|ba)*,((aa|bb|ab|ba)?)*,"positive example: ["""", ""aa"", ""bb"", ""ab"", ""ba"", ""aabb"", ""abab"", ""bbaa"", ""abba"", ""aaab"", ""bbaaab""],  
negative example: [""a"", ""b"", ""aaa"", ""bbb"", ""ababbb"", ""baaa"", ""aabba""]  "
At least one a followed by one b,a+b,a*b,"positive example: [""b"", ""ab"", ""aab"", ""aaab"", ""aaaaab""]  
negative example: [""a"", ""ba"", ""aa"", ""bb"", ""aabb""]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(ba*b+|a*)*,"**Positive example:** [b, ab, abb, abab, ababab, aaaab, bb, bab, aababa, aaaaaaa]  
**Negative example:** [a, ba, abbbab, aabbb, bbaa, aaa, abba, bbab] "
contains 'bab',(a|b)*(bab)(a|b)*,(a|b)*|(a|bab)*(b|aba)*,"**Positive examples:**  
`["""", ""a"", ""b"", ""aa"", ""bb"", ""ab"", ""ba"", ""aba"", ""bab"", ""aaa"", ""babab"", ""abbab"", ""abababa"", ""bababa"", ""abababab""]`

**Negative examples:**  
`[""aaaab"", ""abba"", ""baaab"", ""babbb"", ""ababbbb"", ""aabba"", ""bababbb"", ""ababaaba""]`"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*|0*|1+(0+1+)*|0+(1+0+)*,"positive example:[1, 0, 11, 00, 111, 000, 1101, 0110, 10101, 01010]  
negative example:[10, 01, 11100, 00011, 10110, 01001, 11101, 00010]  "
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa+,"Positive example: [aaa, baaaa, abaaaa, bbaaa, aabaa, bbbaaaa]  
Negative example: [a, aa, abab, aba, bba, aabbaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa*,"Positive example: [ ""aaa"", ""baaaa"", ""abaaa"", ""ababaaa"", ""aa"", ""aabaaa"", ""bbaaa"", ""bababaaa"" ]  
Negative example: [ ""bbb"", ""abbb"", ""baaab"", ""aabb"", ""bbabaa"", ""abba"", ""a"", ""bbbaa"" ]"
Odd number of b's,(a*ba*b)*a*ba*,((a|(bb))*b[a]*)*,"positive example: [b, ab, bbb, bba, abb, bbbbb, bbaa, abbba, bbbaa, bbaaa]  
negative example: [aa, ba, baa, bbbbbb, bab, aaab, bbab]"
even prefix,(ab|ba)*,(a|b)*(ab|ba|aa|ab)*,"positive example: [ ""a"", ""b"", ""aa"", ""ab"", ""bb"", ""ba"", ""aab"", ""bbaab"", ""ababaa"", ""baab"", ""aaaab"", ""abba"" ]  
negative example: [ ""abc"", ""abaa"", ""babab"", ""baaaa"", ""bbaaa"", ""aaaabb"", ""bbbb"", ""abbaa"", ""baaaaa"" ]"
