Short Description,regex,Attempt Regex,ChatGPT Output
even prefix,(ab|ba)*,(ab+ba)*,"positive example: [ab, ba, abba, ababba, baabba]

negative example: [a, b, abb, bab, ababab]"
even prefix,(ab|ba)*,(ab+aa|bb+ba)*(a+b)*,"Positive example: ['abba', 'abaa', 'bbbaa', 'abbaab', 'abbbba']

Negative example: ['aaaa', 'bbbbbb', 'aabb', 'abab', 'baab']"
even prefix,(ab|ba)*,((ab|ba)(ab|ba)*(aa|ab|bb|ba)*)+(ab?),"Positive example: ['ab', 'ba', 'abab', 'baba', 'abba', 'baab', 'ababa', 'babaa', 'ababab', 'bababa']

Negative example: ['a', 'b', 'aaa', 'bbb', 'ababaa', 'baaba', 'abb', 'baaa', 'ababbb', 'baabb']"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+b+)|(b+a+)(aaa)+a*,"positive example: [abaaa, aaaabaa, baaabaaa, baaaa, aaaaabaa]

negative example: [abb, bbaa, aaab, baab, abba]"
even number of 1's,(0*10*10*)*|0*,0*(0+1+)*0*,"positive example: [ ""0"", ""01"", ""10"", ""111"", ""0000"", ""01010"", ""001"", ""010"", ""1100"" ], negative example: [ """", ""1"", ""1111"", ""110"", ""0011"", ""1000"", ""10101"" ]"
non isolated 'b',(a|(b*bb))*,(a+ab+b)*(ba+a)*,"Positive example: ['abaa', 'bba', 'aa', 'ababa', 'abbaaa', 'b', 'ababaa', 'ababaaaab', 'ba', 'aaaab']

Negative example: ['bab', 'aaaaaab', 'baab', 'bb', 'abba', 'bbb', 'aba', 'baabab', 'abab', 'baa']"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*(0+1+0+)*1*|1*|0*,"positive example: [‘1’, ‘0’, ‘111’, ‘0000’, ‘1101’, ‘10101’, ‘1110’, ‘00001’, ‘10101’, ‘0101010’],  
negative example: [‘0111’, ‘0001’, ‘010’, ‘11110’, ‘10001’, ‘0011010’, ‘1011’, ‘010’, ‘1110111’, ‘0101001’]"
even number of 1's,(0*10*10*)*|0*,0*1(0*1)*,"positive example: [1, 01, 001, 101, 1101, 10101]  
negative example: [0, 10, 0010, 111, 10001, 100]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(b+)*(a+)*(b+)*(aaa+),"Positive examples: [ ""baaabaaa"", ""bbbaaaaa"", ""abaaa"", ""bbaaabaaa"", ""aaa"" ]

Negative examples: [ ""baa"", ""aba"", ""aab"", ""bbbb"", ""aaaaab"" ]"
contains 'bab',(a|b)*(bab)(a|b)*,(bab)*,"positive example: [ """", ""bab"", ""bab"" * 5, ""bab"" * 10 ]

negative example: [ ""ba"", ""abba"", ""babab"", ""babba"" ]"
even number of 1's,(0*10*10*)*|0*,(0*1+0*1+0*)*,"positive example: [ ""1010"", ""111"", ""000110"", ""1001"", ""0101010"" ], negative example: [ ""10002"", ""1101100"", ""1201"", ""1110a"", ""00110b"" ]"
even prefix,(ab|ba)*,(ab)*(ba)*(ab?)|(ba)*(ab)*(ba?),"Positive example: ['abab', 'ba', 'abba', 'baba', 'ab', 'bab', 'ababab', 'bababa']

Negative example: ['a', 'b', 'aa', 'bb', 'aba', 'babba', 'abbaabb', 'babaab']"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*b*aaa,"positive example: [aaa, aaaa, aabaaa, aaaaa, abaaa]  
negative example: [a, aa, baa, ab, babaaa]"
Every b followed by two or more a's,(a|baa)*,((a|b)|[b]*aa),"Positive example: ['a', 'b', 'aa', 'bbbaa', 'ababaa']
Negative example: ['ba', 'bb', 'bbb', 'ab', 'baba']"
even prefix,(ab|ba)*,(aabb)*,"positive example: [aabb, aabbaabb, aabbaabbaabb]

negative example: [aab, abb, aabbab]"
Odd number of 1s,0*10*(10*10*)*,(1(11)*)*0*1(11)*0*(1(11)*)*,"positive example: [ '1', '111', '11', '1101', '1011101', '1100111', '111110' ], negative example: [ '0', '011', '001', '1010', '1110', '0101', '101011' ]"
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(ba*b)(a*b*)*,"Positive examples: ['b', 'ab', 'baab', 'abbab', 'ababbaaab', 'aaabba', 'baaba']

Negative examples: ['aa', 'bb', 'aab', 'ababa', 'bba', 'aaa', 'ba']"
even number of 1's,(0*10*10*)*|0*,0*1+0*(1+)*0*,"Positive example: ['10', '110', '1110', '101', '10110', '11110', '110110']

Negative example: ['0', '00', '01', '001', '111', '000', '0101']"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(10*1)*|(01*0)*|0*|1*,"Positive example: [ ""101"", ""010"", ""11"", ""00"", ""1"", ""0"", ""10101"", ""01010"", ""111"", ""000"" ]

Negative example: [ ""1001"", ""0110"", ""1100"", ""0011"", ""11010"", ""00101"", ""10100"", ""11011"", ""00100"", ""01101"" ]"
non isolated 'b',(a|(b*bb))*,(a+b(b*))*,"Positive examples: [ """", ""a"", ""ab"", ""abb"", ""abab"", ""abbb"", ""aabb"", ""abba"", ""ababbb"", ""abbbbb"" ]

Negative examples: [ ""b"", ""ba"", ""bb"", ""aba"", ""bab"", ""bbab"", ""bba"", ""bbbb"", ""baab"", ""baa"" ]"
Every b followed by two or more a's,(a|baa)*,b*ab*ab*,"Positive example: ['ab', 'aab', 'abb', 'abab', 'aabab', 'baaab']

Negative example: ['a', 'b', 'bb', 'ba', 'aba', 'bba']"
even prefix,(ab|ba)*,(ab+ba)*(a+b+b?)+(a+b)?,"Positive example: [ ""aba"", ""bba"", ""ababbaa"", ""abbaa"", ""ab"", ""a"", ""bb"", ""abba"" ]

Negative example: [ ""abbb"", ""abb"", ""baab"", ""aa"", ""bbbb"", ""bab"", ""bbab"", ""abbbba"" ]"
Odd number of b's,(a*ba*b)*a*ba*,(a|bb)b*(a|bb)b*,"Positive example: [ ""aba"", ""abba"", ""bba"", ""bbba"", ""abbaa"", ""abbabba"", ""bbaa"", ""abbbba"" ]  
Negative example: [ ""aa"", ""bbb"", ""b"", ""ab"", ""bab"", ""abbaab"", ""aab"", ""abbb"" ]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|ba*b*aaa,"positive example: [ ""a"", ""baaa"", ""bbaaa"", ""baaaa"", ""bbbaaa"", ""baabaa"" ]  
negative example: [ """", ""b"", ""bb"", ""ab"", ""ba"", ""babab"" ]"
Odd number of b's,(a*ba*b)*a*ba*,((a+ab+ba+bb)*b)*,"positive example: [b, bb, abab, abb, baaab]

negative example: [a, aaa, baa, aba, aa]"
non isolated 'b',(a|(b*bb))*,a|b*,"positive example: [ ""a"", ""b"", ""bb"", ""bbb"", ""bba"", ""bbba"" ], negative example: [ """", ""ab"", ""ba"", ""c"", ""bbac"" ]"
Odd number of b's,(a*ba*b)*a*ba*,a*b+a*(bb)*,"positive example: [ ""b"", ""ab"", ""aab"", ""abb"", ""aabbb"", ""aabb"", ""aaaaabb"", ""aabbbb"", ""abbb"" ]  
negative example: [ ""a"", ""ba"", ""bbb"", ""bab"", ""aabbba"", ""bba"", ""abba"", ""abab"" ]"
Odd number of b's,(a*ba*b)*a*ba*,a*ab*(ab*ab*)*,"Positive example: [a, aa, aab, aababb, ab, abab, aababaab]

Negative example: [b, ba, baa, abb, abaa, bab, aaabb]"
Odd number of 1s,0*10*(10*10*)*,1+,"Positive example: ['1', '11', '1111']
Negative example: ['', '0', '01']"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*(baa)[a]*b*,"Positive example: ['baa', 'abaa', 'babaa', 'abaaab', 'abbbaaa', 'baaab', 'aaabaaa', 'baaa']

Negative example: ['a', 'b', 'ab', 'aab', 'abbb', 'ba', 'baab', 'aa']"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|b+a|b+a|b*a+a+a+a*,"Positive example: ['a', 'bba', 'abaaa', 'bbbaa', 'aaaa', 'baaa']

Negative example: ['c', 'bb', 'aa', 'aabbaa', 'bab', 'bbbb']"
even prefix,(ab|ba)*,(ab+ba)*(a+b)*,"Positive example: [ab, ba, abab, baba, abbab, ababab, bababa, a, b, aa, bb, abba]

Negative example: [aba, bbb, aaab, bbba, abbbaa, baab, ababaaa, babaaba, abbb, baa, abaa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0+)*(0+1+)*,"positive example: [ ""10"", ""1101"", ""101010"", """", ""111000"" ]  
negative example: [ ""2"", ""012"", ""1012"", ""001a"", ""111001b"" ]"
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)(a*ba*ba*ba*)*,"positive example: [ ""ba"", ""baba"", ""aabaa"", ""aababaa"", ""abaa"", ""baabba"" ],
negative example: [ ""b"", ""aa"", ""aaa"", ""bb"", ""aab"", ""abba"" ]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((b)+(aaa+)),"positive example: [baa, baaa, baaaa, bbaaa, bbaa, bbaaaa]

negative example: [aaa, b, bb, aaaaa, baaab, bab, abaa]"
An even number of 1's,(0|10*1)*,(0+1)*11(0+1)*,"Positive example: [11, 011, 110, 0110, 1011, 1100, 011011, 101110]

Negative example: [1, 0, 10, 01, 000, 111, 0010, 01101, 101010]"
Odd number of b's,(a*ba*b)*a*ba*,b|(a*b?),"positive example: [ ""b"", ""a"", ""ab"", ""aa"", ""aaa"", ""aab"", ""aaaa"", ""aaab"" ], negative example: [ ""bb"", ""ba"", ""aaaabb"", ""abba"", ""baaa"", ""aabb"", ""bbba"" ]"
Odd number of b's,(a*ba*b)*a*ba*,a*|(bb)*b,"positive example: ['a', 'aa', 'aaa', 'b', 'bb', 'bbbb']  
negative example: ['ab', 'ba', 'bba', 'bbb', 'bab']"
Odd number of b's,(a*ba*b)*a*ba*,a*b(ba*(b|a)a)*,"Positive example: [ ""b"", ""ab"", ""ba"", ""baba"", ""abab"", ""babaa"", ""abbaa"", ""bababaa"" ]

Negative example: [ ""a"", ""aa"", ""baa"", ""aba"", ""baab"", ""aabb"", ""abb"", ""bbbb"" ]"
Every b followed by two or more a's,(a|baa)*,a*|(?:a*|b([a]{2})+)*,"positive example: ['a', '', 'aa', 'aaaa', 'baaa', 'baaaa', 'b', 'baa', 'baaaaa']
negative example: ['bab', 'baba', 'ab', 'aaba', 'ba', 'abab', 'bbaa']"
Three Choices (Regex),001|1010|110,(0|1)*01+(0|1),"Positive example: ['01', '001', '0110', '101', '1110', '010']

Negative example: ['0', '1', '00', '10', '111', '011']"
Every b followed by two or more a's,(a|baa)*,(a|b)*(baa)+(a|b)*,"Positive examples: ['baa', 'abaa', 'bbaa', 'baaab', 'babaa', 'abaaabbaa']

Negative examples: ['a', 'b', 'ab', 'ba', 'aaa', 'bb', 'abab', 'baba']"
Every b followed by two or more a's,(a|baa)*,"(a*b+a{2,})*","positive example:[abb, aab, aaaaa, ababa, aabbaa]  
negative example:[bab, aaab, baaa, baaab, abaa]"
non isolated 'b',(a|(b*bb))*,(b+a)*(bb)*(b+a)*,"Positive examples:  
- ["""", ""ba"", ""ab"", ""bb"", ""abab"", ""bbba"", ""aabb"", ""bbb"", ""babab"", ""abba""]

Negative examples:  
- [""aa"", ""a"", ""abbba"", ""aaa"", ""bbbbba"", ""aba"", ""bbbaba"", ""baba"", ""baa"", ""ababab""]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|ba*ba)*|(a|ba*b),"Positive example: [ """", ""a"", ""b"", ""ba"", ""bab"", ""baab"", ""baabaab"", ""abab"", ""baaa"", ""baaaaab"", ""abaaa"", ""baba"" ]

Negative example: [ ""bb"", ""abb"", ""aaab"", ""abba"", ""babba"", ""aab"", ""baaaabb"", ""bbaa"", ""aaaa"", ""baaaaba"", ""baabaaa"" ]"
non isolated 'b',(a|(b*bb))*,a*(b+)*,"positive example: [""a"", ""b"", ""aa"", ""ab"", ""aab"", ""bbb"", ""aabb""]

negative example: [""ba"", ""bab"", ""abaab"", ""abab"", ""baaa"", ""babab"", ""aaaaaabaaa""]"
At least one a followed by one b,a+b,ab*b,"positive example: ['ab', 'abb', 'abbb', 'abbbb']

negative example: ['a', 'b', 'ba', 'bb', 'aa', 'aaa']"
non isolated 'b',(a|(b*bb))*,a+b*,"Positive example: [ab, aab, aaab, abbb, aabbbbb]

Negative example: [b, bb, ba, aba, baa]"
even number of 1's,(0*10*10*)*|0*,(0+1)*,"positive example: ['01', '0011', '', '000111', '1101']  
negative example: ['00', '111', '101', '0000', '11111']"
Odd number of 1s,0*10*(10*10*)*,(0*1|(11)*|(101)*|111|10),"positive example: [ ""1"", ""11"", ""111"", ""10"", ""101"", ""0"", ""001"", ""011"", ""010"", ""10101"" ], negative example: [ ""1111"", ""1001"", ""1101"", ""1010"", ""110"", ""10111"", ""1100"", ""1110"", ""1000"", ""11111"" ]"
4 | #0,1*(01*01*01*01*)*,(1*0)*,"Positive example: [ """", ""0"", ""10"", ""110"", ""1110"", ""11110"", ""111110"", ""1111110"" ]

Negative example: [ ""1"", ""01"", ""11"", ""101"", ""1101"", ""11111"", ""111"", ""10101"" ]"
Every b followed by two or more a's,(a|baa)*,a|b*b(aa+),"Positive example: [aaa, bbaa, bbbaa, bbaaa, aaaa, abbbaaa]  
Negative example: [ab, ba, bbb, bab, b, aa, bba]"
Every b followed by two or more a's,(a|baa)*,a*|a*baa*|baa*,"Positive example: ['a', 'aa', 'ba', 'baa', 'baaa', 'aaaa', 'baaa']

Negative example: ['b', 'ab', 'aba', 'abab', 'aaaab', 'aaaaba', 'ababaa']"
non isolated 'b',(a|(b*bb))*,(b)*(a+b)(b)*,"positive example: [ ""ab"", ""bbab"", ""ba"", ""bab"", ""a"", ""bbbbba"", ""abbbb"" ]  
negative example: [ ""b"", ""bb"", ""aaa"", ""bba"", ""aa"", ""baab"", """"]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)|((a|b)a*ba)*|((a|b)a*ba(a|b)a*b)*)?,"positive example: ["""", ""a"", ""b"", ""aa"", ""ab"", ""ba"", ""aba"", ""baba"", ""abaa"", ""baa"", ""bba"", ""ababa""]

negative example: [""bb"", ""aaa"", ""bab"", ""abb"", ""baabab"", ""ababaa"", ""abba"", ""aab"", ""bbbb""]"
non isolated 'b',(a|(b*bb))*,(bb)*(ab)*(bb)*,"positive example: [ ""bb"", ""ab"", ""bbbb"", ""abab"", ""bbab"", ""bbabb"" ]

negative example: [ ""a"", ""b"", ""abb"", ""bab"", ""abaa"", ""bbb"" ]"
Odd number of 1s,0*10*(10*10*)*,((0*)1(0*))|0*,"positive example: [ ""1"", ""01"", ""10"", ""0010"", ""000"", ""0001"", ""100"", ""0"" ]

negative example: [ ""11"", ""101"", ""110"", ""1110"", ""1100"", ""0111"", ""0101"" ]"
Odd number of b's,(a*ba*b)*a*ba*,bb*b,"Positive example: [b, bb, bbb, bbbb]  
Negative example: [a, ba, aa, aba]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0(0*(0*1+0+))*|1(1*|1*0+1+)*)?,"Positive examples: ['0', '00', '000', '0001', '011', '111', '10', '101', '001', '1101', '1110', '11111']

Negative examples: ['01', '0010', '00011', '11101', '1001', '1010', '0110', '0010', '1100', '0101', '10110', '111011']"
non isolated 'b',(a|(b*bb))*,(a+(bb))*a*(bb*)(a+(bb))*,"Positive example: ['abb', 'abba', 'bbbaa', 'aabb', 'aabbaa', 'abbb', 'bbbbaa', 'aaa']

Negative example: ['b', 'aaaaa', 'bbbb', 'ab', 'aab', 'bba', 'ba', 'bbab']"
non isolated 'b',(a|(b*bb))*,b*a*(b?)*a*b*,"Positive example: [""a"", ""b"", ""ba"", ""ab"", ""baa"", ""bb"", ""bab"", ""aab"", ""bba"", ""abab"", ""aabb""]

Negative example: [""aaabb"", ""bbba"", ""aaaab"", ""abbba"", ""baaab"", ""bbbb"", ""aaaa"", ""baaa"", ""babbab"", ""abbaa""]"
Odd number of b's,(a*ba*b)*a*ba*,(ba*(bb)*)*,"positive example: ["""", ""b"", ""ba"", ""babb"", ""baabb"", ""baa"", ""bbaabb"", ""babbbb""]

negative example: [""a"", ""bbba"", ""ab"", ""bbaba"", ""abba"", ""baba"", ""aaa"", ""bbbbba""]"
even number of 1's,(0*10*10*)*|0*,0*1(0*10*11)*,"positive example: [ ""1"", ""010"", ""011"", ""1011"", ""110"", ""1001011"", ""001011"" ]

negative example: [ """", ""0"", ""00"", ""10"", ""1100"", ""111"", ""101010"" ]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*aab+(a|b)*b,"Positive examples: ['aabab', 'baaabb', 'aaaabbb', 'baabab', 'aababbb']

Negative examples: ['aab', 'abab', 'baaa', 'ababba', 'bbabaa']"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*0|1*0*,"Positive example: ['0', '10', '0000', '110', '100000', '1110']

Negative example: ['1', '11', '111', '101', '1001', '1111']"
At least one a followed by one b,a+b,a(b)*,"Positive example: [a, ab, abb, abbb]  
Negative example: [b, ba, aab, bb]"
non isolated 'b',(a|(b*bb))*,(a|b)*b*b(a|b)*|(a|b)*bb*(a|b)*,"Positive examples: ['abb', 'bba', 'aba', 'bbb', 'baab', 'bab', 'aab']

Negative examples: ['aa', 'aaa', 'aabb', 'b', 'abaa', 'ba', 'abbba']"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)*(baa)+(a*b*)b*,"Positive example: ['baab', 'aaabbaaab', 'baa', 'baaaabb', 'baaaabaaab']
Negative example: ['aabbb', 'abaa', 'bbbaa', 'ab', 'aab']"
Three Choices (Regex),001|1010|110,1*0*,"positive example: ['1', '0', '10', '100', '111110000', '111', '000', '111000'], negative example: ['01', '101', '0001', '001', '11101', '1101', '10a', 'a']"
non isolated 'b',(a|(b*bb))*,(a*b(b+)*a*)*,"Positive examples: ["""" , ""abba"" , ""aa"" , ""ababba"" , ""bb"" , ""abbbba""]

Negative examples: [""bba"" , ""abbab"" , ""ba"" , ""aabbb"" , ""bbaa"" , ""aaab""]"
Odd number of b's,(a*ba*b)*a*ba*,(a)*(b(bb)*)+,"Positive example: [ ""ab"", ""abb"", ""abbb"", ""aaaab"", ""aabbb"", ""abbbbb"", ""aabb"" ]

Negative example: [ ""a"", ""b"", ""aaa"", ""bbbb"", ""abba"", ""aba"", ""aaabbb"" ]"
Odd number of b's,(a*ba*b)*a*ba*,(a*(b)((a)*bb)*(a)*(a*(b))*),"Positive example: ['ab', 'abb', 'aab', 'aabba', 'aaabb', 'aaabbba']

Negative example: ['aaba', 'abbb', 'aba', 'bb', 'aabb', 'ba']"
Every b followed by two or more a's,(a|baa)*,a|b*b(aa*),"Positive example: [ ""a"", ""baa"", ""bba"", ""bbaa"", ""bbbaaa"" ]  
Negative example: [ ""b"", ""bab"", ""bbb"", ""ba"", ""abaaa"" ]"
At least one a followed by one b,a+b,a(ab)*,"Positive example: [ ""a"", ""aab"", ""aabab"", ""aababab"", ""aababaabab"" ]  
Negative example: [ """", ""b"", ""ab"", ""aa"", ""aba"", ""aabba"" ]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)*baa(a*b*)b*,"Positive example: [baa, abaabaa, aabaaaaab, aababbaa, aaabbaab, baaabba]

Negative example: [ba, aaaaa, abbab, abaaa, baab, bbaaaa]"
Every b followed by two or more a's,(a|baa)*,"[a-b](b)?a{2,}","positive example:[abaa, abaaa, aaa, baaa, abaaa, abaaaa]  
negative example:[a, b, aba, ab, baa, abaaab]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)+(0|1),"positive example: [ ""000"", ""101"", ""1110"", ""0101"", ""110"" ]  
negative example: [ ""0"", ""1"", ""00"", ""11111"", ""01110"" ]"
Every b followed by two or more a's,(a|baa)*,(a|b)*b*aa+,"Positive example: [ ""aa"", ""aaa"", ""baa"", ""bbaa"", ""ababaa"", ""aabaa"", ""bbabaa"" ]

Negative example: [ ""a"", ""b"", ""ab"", ""ba"", ""aab"", ""bb"", ""abb"" ]"
Every b followed by two or more a's,(a|baa)*,(a)*(b)*(a)*(a),"positive example: [aaaa, abaa, baa, aabaaa]

negative example: [b, a, baba, abba, aaab, aabb, bbaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*baaa)*,"Positive example: ['baaa', 'abaaa', 'aabaaa', 'aabaaabaaa', 'aaaabaaabaaabaaa']

Negative example: ['baa', 'aba', 'aaaba', 'ababaa', 'baaaa']"
Odd number of 1s,0*10*(10*10*)*,1+(11*)+0,"positive example: [110, 1110, 11110, 111110, 111110, 1111111110]  
negative example: [10, 111, 0110, 11101, 1111111, 1010]"
Odd number of b's,(a*ba*b)*a*ba*,a*(b|bbb)*,"positive example: [ """", ""a"", ""b"", ""bb"", ""bbb"", ""ab"", ""abb"", ""abbb"", ""aab"", ""aabb"" ]

negative example: [ ""ba"", ""baab"", ""bbbb"", ""aabba"", ""ababa"", ""abab"", ""bbaaa"", ""baa"", ""babb"" ]"
non isolated 'b',(a|(b*bb))*,(a+b)*b*bb*(a+b)*,"Positive examples: ['abbbb', 'bbbb', 'bab', 'baabbbb', 'aaabbb']

Negative examples: ['aaa', 'bbaa', 'ab', 'bbbba', 'ababaa']"
non isolated 'b',(a|(b*bb))*,b*|a*,"Positive example: ["""" , ""b"", ""bb"", ""aaa"", ""a"", ""aaaaa""]

Negative example: [""ab"", ""ba"", ""aab"", ""bba"", ""abab""]"
Every b followed by two or more a's,(a|baa)*,b*a+,"Positive examples: [""a"", ""ba"", ""bba"", ""bbaa"", ""baaa""]
Negative examples: [""b"", ""bb"", ""bab"", ""bbab"", ""abaa""]"
Odd number of b's,(a*ba*b)*a*ba*,(a|b)(ba|bb)*,"positive example: [ab, abba, abbb, abbabb, abababba, b, bba, bbbabba]  
negative example: [a, bbb, baa, bab, aaaa, bbbb]"
even number of 1's,(0*10*10*)*|0*,0*10*01*,"Positive example: [101, 1001, 10001, 11001, 1011, 100011]

Negative example: [100, 111, 001, 010, 0110, 0000]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*(aaaa*)*,"Positive examples: [ """", ""a"", ""aaaa"", ""aaaaa"", ""aaaaaaaa"", ""aaaaaaaaaa"", ""aaaaaaaaaaaa"" ]

Negative examples: [ ""aa"", ""aaa"", ""aaaaaa"", ""aaaaaaa"", ""aaaaaaaaa"", ""aaaaaaaaaaa"" ]"
Odd number of b's,(a*ba*b)*a*ba*,(a*ab*ab*)*,"Positive example: ["""", ""a"", ""aa"", ""ab"", ""aab"", ""abb"", ""aabab"", ""abab"", ""aaabab""]

Negative example: [""b"", ""ba"", ""aba"", ""bba"", ""bb"", ""aabb"", ""ababaa"", ""babab""]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(bb)*a*(b(bb)*)*a*,"Positive example: [ ""a"", ""b"", ""abb"", ""bba"", ""bb"", ""abbb"", ""aab"", ""bbbaa"", ""aaabb"", ""abbbbaa"" ]

Negative example: [ ""bab"", ""babab"", ""bbb"", ""abab"", ""babba"", ""baabb"", ""bbab"", ""ababbb"", ""aabba"" ]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((?:)(a+)+)|((b+))+((a*)+),"Positive example: ['aa', 'b', 'aaa', 'bbba', 'aaaaaaa', 'baaaa']

Negative example: ['ab', 'bbaab', 'c', 'abba', 'bbbba', 'abab', 'bac']"
Odd number of b's,(a*ba*b)*a*ba*,(a|(ba*b)*b(a|(ba*b))*),"Positive example: ['a', 'baba', 'babab', 'b', 'babaa', 'babba', 'babaabab', 'babbbabab']

Negative example: ['aa', 'bba', 'ab', 'baabab', 'bbb', 'abababa', 'ba', 'bbbab']"
non isolated 'b',(a|(b*bb))*,(b)*,"positive example: ["""", ""b"", ""bb"", ""bbb"", ""bbbb""]

negative example: [""a"", ""ba"", ""abb"", ""bab""]"
non isolated 'b',(a|(b*bb))*,b*a*b*a*b*,"Positive example: ['babab', 'aa', 'bbaabb', 'bbb', 'aba']

Negative example: ['baaa', 'aabbb', 'ababaa', 'bbab', 'ba']"
a or b followed by As,(a|b)a*,a*,"positive example: ["""", ""a"", ""aa"", ""aaa"", ""aaaa""], negative example: [""b"", ""ab"", ""ba"", ""aab"", ""bba""]"
non isolated 'b',(a|(b*bb))*,(a+b)*|(bb)*,"positive example: [ab, aba, bb, bba, ababab, bbbb]  
negative example: [baa, aa, baab, abbab, abbb, b]"
Every b followed by two or more a's,(a|baa)*,"[a-b]b?a{2,}","positive example: [aa, aaa, baaa, aba, ababaa]  
negative example: [a, b, ab, abaa, baa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1+0+1+0*)*|(0+1+0+1*)*,"Positive example: ['0', '1', '01', '10', '1100', '0011', '1110', '0001', '1010', '0101']
Negative example: ['11', '00', '1001', '0110', '110101', '010010', '10101', '001100', '111', '000']"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*|((a|b)a*ba(a|b)a*b)*)?,"Positive example: ['ab', 'abaab', '', 'ababaaab', 'abaaababbab']
Negative example: ['a', 'aa', 'b', 'ba', 'aaa', 'bbbb', 'babab', 'aaab']"
non isolated 'b',(a|(b*bb))*,(a*((bb*)+(bbb)*)a*)*,"positive example: ['a', 'aa', 'abba', 'abbbbbba', 'ababba', 'abbba', 'abbbba']

negative example: ['b', 'ab', 'ba', 'abb', 'bb', 'bbb', 'bba']"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|ba)*(aaa)*,"positive example: [ """", ""ab"", ""ba"", ""abab"", ""baab"", ""abaaa"", ""baaa"", ""ababaaa"", ""baabaaa"", ""aaaaaaaa"" ]

negative example: [ ""a"", ""b"", ""aba"", ""aa"", ""abba"", ""ababa"", ""aaaab"", ""babab"", ""baa"", ""aaaa"" ]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|b*aaa,"positive example: [‘aaa’, ‘baaa’, ‘bbbaaa’, ‘bbaa’, ‘ba’]  
negative example: [‘aa’, ‘baa’, ‘b’, ‘baba’, ‘abaa’]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a+)|(b*))*a,"positive example: [ ""a"", ""aa"", ""bba"", ""bbba"", ""abba"", ""ababba"" ]

negative example: [ ""b"", ""bb"", ""ab"", ""abb"", ""bbb"", ""bbbb"" ]"
Odd number of b's,(a*ba*b)*a*ba*,(a*|b+),"positive example: [ """", ""a"", ""aa"", ""aaa"", ""b"", ""bb"", ""bbb"" ], negative example: [ ""ab"", ""ba"", ""aab"", ""abb"", ""bab"", ""abab"" ]"
even prefix,(ab|ba)*,(ab+ba+aa+bb)*,"Positive examples: [ ""ab"", ""ba"", ""aa"", ""bb"", ""abba"", ""baab"", ""aabb"", ""bbaa"", """" ]

Negative examples: [ ""aba"", ""bab"", ""aab"", ""abb"", ""bba"" ]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,((a*)(b*)baa(a*)(b*))*b,"Positive example: [""""b"""", """"baab"""", """"baaab"""", """"baabbaaab"""", """"baa"""", """"baaaabb"""", """"baaabb"""", """"baabbaaabb""""]

Negative example: [""""a"""", """"bb"""", """"abab"""", """"bbbaa"""", """"ab"""", """"bab"""", """"aab""""]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)*(abb)(a*b*)*b,"Positive example: [ ""abb"", ""aabbbabb"", ""bbaabb"", ""aaaaabbab"", ""ababbb"" ]

Negative example: [ ""ab"", ""abbabb"", ""aabab"", ""bbb"", ""abcab"" ]"
