Short Description,Regex,Attempt Regex,ChatGPT Output
Odd number of b's,(a*ba*b)*a*ba*,(aa|bb|(ab|ba)(aa|bb)*(ba|ab))*(b|(ab|ba)(bb|aa)*a),"positive example: [b, abba, ababba, baab, aaabbaa, bbabbaa]

negative example: [aaa, bbbb, ababab, babab, aaaa, bbba]"
Every b followed by two or more a's,(a|baa)*,a*(baa)*a*(baa)*a*(baa)*,"positive example: [ ""baabaa"", ""aabaabaa"", ""baaabaaabaa"", ""aaaaaabaaabaa"", ""baaabaaabaaaa"" ]  
negative example: [ ""baab"", ""aaaabaaa"", ""abaabaa"", ""baaaabaa"", ""aabaabaaaaa"" ]"
Every b followed by two or more a's,(a|baa)*,(a|baa),"Positive example: [a, baa, baaa]  
Negative example: [b, aa, baaaa]"
even number of 1's,(0*10*10*)*|0*,0*|(11)+0*|0*(11)+|10*1,"Positive example: [00, 1111, 101, 011, 110, 11110, 1, 0]

Negative example: [010, 1001, 1100, 1010, 0011, 100, 1110]"
Every b followed by two or more a's,(a|baa)*,(a*(baa)*a*),"Positive example: [ ""a"", ""aa"", ""baa"", ""abaa"", ""baaa"", ""aabaa"", ""aabaa"", ""aabbaaa"", ""aaa"", ""baabaa"" ]  
Negative example: [ ""b"", ""ab"", ""ba"", ""bba"", ""bab"", ""abaaa"", ""baaab"", ""aab"", ""bb"", ""aabba"" ]  "
even number of 1's,(0*10*10*)*|0*,0*(10*1)*0*(10*1)*,"positive example: [1001, 10101010, 010110, 101000101, 0101010]
negative example: [101, 00101, 10010010, 101101, 110011]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|bb|ba)(a*|b*)(aaa)(a*),"Positive example: [aaaaaa, abaabaaa, bbbaaaaa, baaaa, abaaaabaa, bbbbaaaa, aaabaaaaaaa]  
Negative example: [aabaab, abbaabaa, bbbaaaaab, baaabab, aaabbbaaa, aabaaaaaa, bbbbbbaaaa]  "
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(ab|ba|bb|aa){2,}a{3,}","Positive example: [bbaaabbbbaaaa, aabbaaabbbaaaa, bbaabbaaaaaa]  
Negative example: [bbabbaaaa, aabbaaa, bbaba]  "
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)*0)*|(101)*,"positive example: [ε, 0, 01, 001, 010, 0101, 101, 101101]  
negative example: [1, 11, 100, 011, 1010, 1001, 1101]  "
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100),"```plaintext
positive example:[1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011, 100000, 110001, 110010, 110111, 110100, 111011, 111000, 111101, 111110, 000001, 000010, 000111, 000100, 001101, 001110, 001011, 001000, 011001, 011010, 011111, 011100]

negative example:[0, 11, 101, 1111, 000, 110, 0011, 0101, 1001, 0110, 0000, 10010, 10100, 11101, 01010, 00011, 00000, 1011111, 1100101, 1001110, 111001, 010010, 011000, 1111001]
```"
Odd number of 1s,0*10*(10*10*)*,(0*1|1(11)*0*|10*|1(101)*|0*10*|01(11)*|10*(11)*),"positive example: [010, 11, 101, 11000, 1001, 11100, 0100, 0111]
negative example: [100, 0110, 1111, 0001, 1010, 110, 0011, 1101]"
Odd number of b's,(a*ba*b)*a*ba*,b(b{2})*,"Positive example: [b, bbb, bbbbb, bbbbbbb]  
Negative example: [bb, bbbb, bbbbb, bbbbbbbbbb]"
even number of 1's,(0*10*10*)*|0*,0*(10*10)*,"Positive example: [1010, 10, 11010, 10010010, 101010, 0, 01010]  
Negative example: [110, 1001, 1110, 10010, 001100, 010101]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01+0)*|(10+1)*,"Positive example: [010, 01110, 1001, 10001, 010010, 1001001, 0111010, 10011001]  
Negative example: [011, 0010, 101, 1100, 0101, 10010, 10101, 011001]"
non isolated 'b',(a|(b*bb))*,(a*(bb+bbb)a*)+(a*),"positive example: [aabbaa, aaabbbaaaa, bbbaa, aaa, aabbbbaa, bb, bbb]
negative example: [abab, baab, bbaa, abba, aaabbbba, bbab, bbbba]"
contains 'bab',(a|b)*(bab)(a|b)*,(b+a)*(bab)(b+a)*,"Positive examples: [bab, abab, babbab, bababab, ababbabab, bbabbab, babaa, abbababaa, bbbbabab, abaabab]
Negative examples: [ba, ab, baba, baaab, bbabb, babababab, aaba, abbab, bbaabab, abababa]"
Odd number of b's,(a*ba*b)*a*ba*,b(abb|bab|bba|a)*|(abb|bab|bba|a)*b|(aba|baa|aab|bbb),"Positive example: [ ""b"", ""abb"", ""bab"", ""bba"", ""a"", ""babba"", ""bbabb"", ""ababb"", ""bbb"", ""aba"", ""baa"", ""aab"", ""bbbabb"", ""aabbba"" ]

Negative example: [ ""bb"", ""aaa"", ""aaaa"", ""abab"", ""bbaa"", ""ba"", ""abbabb"", ""ab"", ""babaa"", ""babab"" ]"
Odd number of 1s,0*10*(10*10*)*,(0*(11)*0*10*)|1011,"positive example: [1011, 110, 110110, 100, 0, 10110, 10, 110110110]  
negative example: [111, 1010, 0110, 1110, 11110, 0011, 010, 00]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(010|0110)*0*|1*(101|1001)*1*,"Positive examples: [010, 0110, 010010, 01100110, 0, 1001, 101, 11101101, 0000100110100, 1111001]

Negative examples: [0010, 0101, 1010, 011, 100, 1110, 00001101, 1011010, 010100, 01110]"
Every b followed by two or more a's,(a|baa)*,"ba{2,}","positive example: [baa, baaa, baaaa]  
negative example: [b, ba, a, aaa]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|abb|bab|bba|bb)*,"Positive example: [ ""ab"", ""abb"", ""ababb"", ""abababb"", ""ababbab"", ""aabb"", ""abbbbb"", ""ababba"", ""abbab"", ""abba"" ]  
Negative example: [ ""a"", ""b"", ""ba"", ""bb"", ""aabbab"", ""babba"", ""ababbb"", ""abbabb"", ""aaabb"", ""bbb"" ]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011, 100000, 110001, 110010, 110111, 110100, 111011, 111000, 111101, 111110, 000001, 000010, 000111, 000100, 001101, 001110]

negative example: [0, 11, 1111, 1001, 000, 1100, 110, 1010, 01110, 00101, 111111, 10010, 1011110, 0101, 111001, 111010, 1111110, 000000, 1111111, 101000, 011000, 01001, 110011, 1111001, 0000010, 011100, 101011, 0101111, 101101, 1001111, 110101, 001011, 1010011, 010001, 0000001, 0110010]"
contains 'bab',(a|b)*(bab)(a|b)*,bab,"positive example: [baba, babb, babc]  
negative example: [ba, bab, abab]"
Odd number of b's,(a*ba*b)*a*ba*,a*(b(a*b{2})*)a*,"Positive example: [ ""a"", ""b"", ""baabb"", ""aaa"", ""abbb"", ""aabbaabb"", ""ababbb"", ""aaaabbaaabb"", ""aba"", ""aabaabbb"" ]  
Negative example: [ ""bb"", ""bbaa"", ""abba"", ""aaab"", ""abbbba"", ""baa"", ""aaabb"", ""abb"", ""bab"", ""bbba"" ]"
non isolated 'b',(a|(b*bb))*,a((a*bb*ba*)+(a)*)*,"
```plaintext
positive example: ['a', 'aa', 'abba', 'aabb', 'aabbba', 'aba', 'aaabbba', 'aabbaa']
negative example: ['b', 'ab', 'ba', 'aab', 'abb', 'bb', 'aabba', 'bba']
```"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(baa)+b+,"Positive example: [baab, baaabb, baabaabbb]  
Negative example: [aab, babb, baaa]  "
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001),"```json
{
  ""positive example"": [
    ""1"",
    ""111"",
    ""11111"",
    ""10"",
    ""1110"",
    ""01"",
    ""100"",
    ""001"",
    ""010"",
    ""1011"",
    ""1000"",
    ""1101"",
    ""0001"",
    ""0010"",
    ""0111"",
    ""0100"",
    ""10101"",
    ""10110"",
    ""10011"",
    ""10000"",
    ""11001"",
    ""11010"",
    ""11100"",
    ""00001"",
    ""00010"",
    ""00111"",
    ""00100"",
    ""01101"",
    ""01110"",
    ""01011"",
    ""01000"",
    ""101001"",
    ""101010"",
    ""101111"",
    ""101100"",
    ""100101"",
    ""100110"",
    ""100011"",
    ""100000"",
    ""110001""
  ],
  ""negative example"": [
    ""0"",
    ""11"",
    ""000"",
    ""101"",
    ""110"",
    ""0000"",
    ""1111"",
    ""0011"",
    ""0110"",
    ""1001"",
    ""0101"",
    ""1010"",
    ""1100"",
    ""00000"",
    ""11110"",
    ""00101"",
    ""01111"",
    ""01010"",
    ""101101"",
    ""110000"",
    ""100001"",
    ""001001"",
    ""010010"",
    ""101000"",
    ""101011"",
    ""110011"",
    ""011101"",
    ""010001"",
    ""100010"",
    ""111110"",
    ""000000"",
    ""1011010"",
    ""1000011"",
    ""1100001"",
    ""0111100"",
    ""0010001"",
    ""0100110""
  ]
}
```"
even prefix,(ab|ba)*,((ab)|(ba))?,"Positive example: ["""", ""ab"", ""ba""]  
Negative example: [""a"", ""b"", ""aa"", ""bb"", ""aba""]  "
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(ba*ba*)*a,"Positive example: [""aba"", ""ababa"", ""aabaa"", ""aababaa"", ""aababbabaa"", ""ba"", ""abaa""]
Negative example: [""a"", ""b"", ""ab"", ""abb"", ""baba"", ""abab"", ""aabba""]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(10)|(01)|(111)|(000)|(101)|(011)|(010)|(001),"Positive example: [10, 01, 111, 000, 101, 011, 010, 001]  
Negative example: [110, 100, 0111, 0001, 1010, 1100, 0000, 1111]  "
Odd number of b's,(a*ba*b)*a*ba*,a*(b)a*(bb)*a*,"positive example: [ ""a"", ""b"", ""ab"", ""ba"", ""aab"", ""abb"", ""bba"", ""abbaa"", ""aabbbaa"" ]  
negative example: [ ""bb"", ""aaaaaa"", ""abab"", ""babb"", ""aabb"", ""bbbaa"", ""bbaa"", ""bbb"", ""aabbb"" ]  "
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(01))*|(0+(10)*)*,"Positive example: [1, 101, 1101, 0, 010, 0010, 000, 01010]  
Negative example: [011, 100, 1110, 01, 1010, 0001, 00010]  "
Odd number of b's,(a*ba*b)*a*ba*,a*ba*ba*ba*,"Positive example: [babab, aaabaaaabaaa, bbbabaaa, abababaaa, aababab]  
Negative example: [ababab, aaaabbaa, baab, aaa, babaab]  "
Does not contain aba as a substring,b*a*b*|(a*bb+a*)*,a*|b*|(a+bb+)*|ab|ba|(bb+a+)*|(aa*b*)?,"Positive example: [a, b, aa, bb, aaa, bbb, ab, ba, abb, baa, aabbb, bbaaa, bbab, aaaaabbbb, abab, aaabbb, bba]
Negative example: [aba, bab, aabaab, bbaab, abbba, bbbabb, aabbaab, babb, aabbaa, bbaaab]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101),"Positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101]  
Negative example: [11, 0, 1111, 111111, 110, 0011, 0101, 101, 1001, 11101, 101000, 101011, 000, 111000, 00000, 01100, 1010100, 1111111, 1000001]"
Odd number of 1s,0*10*(10*10*)*,(0)*(1)(0)*,"Positive example: [1, 01, 10, 0010, 100, 00100]  
Negative example: [0, 00, 111, 101, 010, 110]"
Every b followed by two or more a's,(a|baa)*,(a*)*baa,"```plaintext
positive example: [baa, abaa, aabaa, aaaabaa, abaaaabaa]
negative example: [aa, aaba, aba, abbaa, aaaa]
```"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(10)*0+,"positive example: [000, 010, 00010, 0001010, 0100, 00010100]  
negative example: [0, 10, 100, 001, 1010, 0001100]  "
Odd number of b's,(a*ba*b)*a*ba*,a*(ba*(ba*b)*)a*,"Positive example: [`a`, `aa`, `b`, `ab`, `ba`, `aba`, `aab`, `baa`, `baba`, `abba`, `aaa`, `aaab`, `baaa`]

Negative example: [`bb`, `abb`, `bbbb`, `baaab`, `bbaa`, `abab`, `babab`, `baabab`, `ababab`]"
4 | #0,1*(01*01*01*01*)*,1*(01*01*01*0)*1*,"positive example: [ ""1"", ""101"", ""1001"", ""1001001"", ""101001"", ""101001001"", ""1001001001"", ""1""*30 + ""0"" + ""1"", ""1""*25 + ""01"" + ""1""*5 + ""0"" + ""1""*4 + ""01"" + ""1""*2 + ""0"" + ""1""*5 ]
negative example: [ ""0"", ""11"", ""010"", ""101010"", ""100101"", ""001"", ""10011001"", ""101101"", ""1""*10 + ""0"" + ""1""*10 + ""01""*3 + ""1"", ""1""*5 + ""01""*4 ]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+|b+a*),"positive example: [aa, b, baa, baaa, aaaaa, ba, aaa]  
negative example: [ab, bb, abaa, bab, bbb, aabaa, abaaa]"
Length 1 or More,(0|1)(0|1)*,0(01)*|1(01)*,"positive example: [ ""0"", ""101"", ""001"", ""10101"", ""00101"" ], negative example: [ ""00"", ""11"", ""010"", ""100"", ""111"" ]"
non isolated 'b',(a|(b*bb))*,a*(bbb*)*,"Positive example: ["""" , ""a"", ""bbb"", ""abbb"", ""abbbbb"", ""aabbb"", ""bbb"", ""bbbbbb"", ""aaabbbbbb""]

Negative example: [""ba"", ""bba"", ""bbba"", ""aabbba"", ""aabab"", ""abab"", ""bbaa"", ""babab"", ""bbab""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+(1+0+)*)|(1+(0+1+)*)),"Positive example: [ ""0"", ""1"", ""01"", ""10"", ""001"", ""110"", ""01001"", ""10010"", ""01"", ""00101"" ]  
Negative example: [ ""00"", ""11"", ""101"", ""010"", ""0010"", ""1101"", ""000"", ""111"", ""1010"", ""0100"" ]"
Length 1 or More,(0|1)(0|1)*,10*|01*,"positive example: [10, 100, 1000, 01, 011, 01111]  
negative example: [11, 00, 101, 010, 1100]"
Every b followed by two or more a's,(a|baa)*,"(b{1}a{2,})|a+","Positive example: [baa, baaa, baaaa, aa, aaa, aaaa]  
Negative example: [b, ba, a, baaab, baab, bba]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,000(0|1)*000,"positive example:[000000, 000111000, 0001011000]  
negative example:[0000111, 0000001, 001000000]"
non isolated 'b',(a|(b*bb))*,(aabbabb)*(aabbaa)*(abba)*(bb)*(a)*(bb+b)*(a)*(bb)*(abba)*(aabbaa)*(aabbabb)*,"positive example:[aabbabbaabbaabbaabbaabbaabbaaabbaabbaabba,aabbaabbaabbaabbaabbaabbaabba,abbaabbabbaabbaabba]
negative example:[aabbaabbaabbaabbaabbaaa,abbaabbaabbaabbbaabbaabba,bbbbabbaabbaabbaabba]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*ba*b)a*,"Positive example: [ ""b"", ""ba"", ""bab"", ""babab"", ""bba"", ""baababa"" ]  
Negative example: [ ""a"", ""ab"", ""aba"", ""abb"", ""baa"", ""bb"" ]"
non isolated 'b',(a|(b*bb))*,a*bbb*a*,"positive example: [bbb, abbb, bbbba, aabbbbaa]  
negative example: [bb, abbba, bbbb, aa]"
Odd number of b's,(a*ba*b)*a*ba*,(a*(bb)*a*)*b(a*(bb)*a*),"positive example: [ ""b"", ""ab"", ""bbab"", ""aabbaa"", ""abbaabb"" ]  
negative example: [ ""a"", ""bbb"", ""aabbab"", ""baab"", ""abbba"" ]"
Odd number of b's,(a*ba*b)*a*ba*,a*(ab)|(b)a*|(a*ba*ba*)*ba*,"positive example: [ab, b, aab, aaab, bb, aba, baa, abab, abba, baba, ababab, aaba, baaab, aaabba]  
negative example: [ba, a, aa, aaa, bbab, bab, abbb, abb, baaaba, bbb, aabba, bbaa, babab]  "
non isolated 'b',(a|(b*bb))*,(a?bb|a?|a?bbb),"Positive example: [ ""bb"", ""abb"", ""aaa"", ""a"", ""bbb"" ]  
Negative example: [ ""b"", ""ab"", ""aabb"", ""aab"", ""bbbb"" ]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*baa+b+,"Positive example: [ ""baaab"", ""baaabb"", ""abaaab"", ""bbaaabb"", ""abababababaaaaabbb"", ""baaabbbb"" ]  
Negative example: [ ""aabb"", ""bababa"", ""bbaa"", ""abaaa"", ""aaaabbb"", ""bbbb"" ]"
non isolated 'b',(a|(b*bb))*,a*b*bb+a*,"Positive examples: [ ""bb"", ""aabbb"", ""abbb"", ""bba"", ""aaaa"" ]  
Negative examples: [ ""b"", ""aabb"", ""abba"", ""ab"", ""ba"" ]"
Odd number of 1s,0*10*(10*10*)*,0*10*(10*1)*0*(10*1)*,"Positive example: [`01110`, `1011`, `011011`, `01011101`, `010110101101`],  
Negative example: [`111`, `000`, `010101`, `1010101`, `01011110`]"
even number of 1's,(0*10*10*)*|0*,(11)*|0*(11)*|(11)*0*|0*|(10*1)*|(1010)*|(0101)*,"Positive example: [11, 0, 1111, 0011, 1100, 101, 1010, 0101, 001111, 00001011, 101010101, 1100110011]  
Negative example: [110, 01010, 1110, 01, 10011, 10101, 01101, 101101, 0001, 110110]"
Odd number of b's,(a*ba*b)*a*ba*,(bb)*a*(b(bb)*)a*(bb)*,"Positive example: [bbbbaabbbbb, bbaaaaaaaabb, bbabbbaabb]
Negative example: [bbbaaab, bbabbbbba, baaabbba]"
non isolated 'b',(a|(b*bb))*,(bb+bbb)*,"Positive example: [bb, bbb, bbbbb, bbbbbb, bbbbbbbbbb]  
Negative example: [b, bbbb, bbbbbbbbb, bbabbb]"
Length 1 or More,(0|1)(0|1)*,1+|0+,"positive example: [ ""1"", ""11"", ""1111"", ""0"", ""00"", ""0000"" ]  
negative example: [ """", ""10"", ""01"", ""1100"", ""0011"" ]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(100)|(10)|(01)|(111)|(000)|(101)|(011)|(010)|(001),"positive examples: ['100', '10', '01', '111', '000', '101', '011', '010', '001']  
negative examples: ['110', '11', '00', '1', '0', '1010', '1000', '0101', '0110', '0001']"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(010)*0*,"positive example: [ ""0"", ""010"", ""00100"", ""000101000"", ""000"", ""010010"", ""0001001000"" ]  
negative example: [ ""1"", ""011"", ""1010"", ""001011"", ""01001"", ""00010"", ""100100"" ]"
Length 1 or More,(0|1)(0|1)*,00*|01*|10*|11*,"Positive example: [ ""0"", ""00"", ""000"", ""01"", ""011"", ""0111"", ""1"", ""11"", ""111"", ""10"", ""100"", ""1000"" ]  
Negative example: [ ""001"", ""010"", ""110"", ""101"", ""0001"", ""0110"", ""1110"", ""1001"" ]"
Every b followed by two or more a's,(a|baa)*,((a*)|(baa(a)*)),"positive example: [ """", ""a"", ""aa"", ""aaa"", ""baaa"", ""baaaa"", ""baaaaa"" ]  
negative example: [ ""b"", ""ab"", ""ba"", ""baaaab"", ""bb"", ""abaaa"", ""baab"" ]  "
even number of 1's,(0*10*10*)*|0*,0*|(11)+0*|0*(11)+|10*1|(1010)*|(0101)*|(0110)*,"Positive example: ["""", ""0"", ""00"", ""11"", ""1111"", ""1110"", ""1010"", ""101010"", ""0101"", ""010101"", ""0110"", ""0110110"", ""101"", ""1001""]
Negative example: [""1"", ""10"", ""1101"", ""001"", ""011"", ""111"", ""010"", ""1011"", ""1100"", ""11100"", ""00011""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((aa)|(bb)|(ab)|(ba))+(aaa)+,"positive example: [ ""aaaaa"", ""abbaaa"", ""bbaaaa"", ""ababaaa"", ""aaabaaa"" ]  
negative example: [ ""aaaa"", ""bbaaaaa"", ""abaa"", ""abaaaab"", ""aaaab"" ]  "
even number of 1's,(0*10*10*)*|0*,(0?10*10*)*,"positive example: ['1010', '10', '', '01010', '010', '101010', '0101010']  
negative example: ['11', '00', '01001', '100', '1110', '0101011']"
Length 1 or More,(0|1)(0|1)*,(00*1*|10*1*),"Positive example: [001, 01, 1001, 101, 00001111, 10, 0001]  
Negative example: [000, 11, 10111, 10a1, 010, 1, 000]  "
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ba|ab)+aaa,"Positive examples:  
[""aaa"", ""aaaaaa"", ""aaabaaa"", ""bbaaa"", ""abbaaa"", ""ababaaa"", ""baaabaaa""]

Negative examples:  
[""a"", ""bb"", ""ababbb"", ""baaaaa"", ""abab"", ""bababaaa"", ""abaaaa""]"
Odd number of b's,(a*ba*b)*a*ba*,[a]*b([a]b{2})[a],"positive example: [aababbba, ababbba, aababba]  
negative example: [aabba, babbba, aaabacab]  "
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0(10)*0|1(01)*1?,"Positive example: [00, 010, 01010, 1, 101, 10101, 11, 1011]  
Negative example: [0, 011, 100, 111, 001, 1010]  "
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+1*(0*1+)*0+)*|(1+(0*1+))*|0*,"Positive example: [ ""00100"", ""110"", ""0"", ""101010"", ""111"", ""00"", ""01"", ""101"", ""100100"", ""0"" ]  
Negative example: [ ""0110"", ""01001"", ""1011"", ""1110"", ""00110"", ""10001"", ""11110"", ""1000"", ""10"", ""001111"" ]  "
Every b followed by two or more a's,(a|baa)*,(baa)|a*,"positive example: [baa, a, aa, aaa, aaaa, ]
negative example: [b, ba, ab, baba, abaaa, baaab]"
Odd number of b's,(a*ba*b)*a*ba*,b(a*ba*b)*,"positive example: [b, bab, baaab, baababb, bababab, baaabaab, bababbaabb]
negative example: [ba, a, abab, baaa, bba, babb, ab]"
first and third,a(a|b)a(a|b)*,aba(a+b)*,"positive example: [abaaa, abab, abaaab, ababab, abaaaa]  
negative example: [aba, ab, ababaa, abaaba, abba]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(01*0)*0*|1*(10*1)*1*,"Positive example: [ ""0"", ""1"", ""00"", ""11"", ""010"", ""101"", ""00100"", ""11011"", ""000"", ""111"", ""0101010"", ""1010101"" ]  
Negative example: [ ""01"", ""10"", ""0011"", ""1100"", ""0110"", ""1001"", ""00011"", ""11100"", ""10100"", ""01001"" ]"
non isolated 'b',(a|(b*bb))*,(a*(bb+bbb)*a*)+(a*),"Positive example: [ ""a"", ""bb"", ""bbb"", ""aaaa"", ""abb"", ""abbb"", ""bbaa"", ""bbbbb"", ""aaabbbaaa"", ""aaa"" ]  
Negative example: [ ""b"", ""bbbb"", ""ab"", ""ba"", ""aaab"", ""babab"", ""babbb"", ""bbab"", ""abba"", ""bbbabb"" ]  "
Odd number of b's,(a*ba*b)*a*ba*,([a]*(b)(bba|abb|bab|bb|a*|baab)*),"Positive example: [ ""a"", ""ab"", ""abb"", ""abbb"", ""abbba"", ""ababbb"", ""abbbbbbaab"", ""abbabab"", ""aaa"", ""aabbba"" ]  
Negative example: [ ""b"", ""bbb"", ""baabb"", ""bbab"", ""abab"", ""babba"", ""abba"", ""aaabbb"", ""abbababab"", ""baabaab"" ]  "
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*b(a|(a(a|b)a*b)*)?,"Positive examples: ['ab', 'aab', 'aaaab', 'aba', 'abaa', 'abaaa', 'abaaaa', 'ba', 'baa', 'babab', 'bababab', 'babababab', 'baabab', 'ba', 'baa', 'baaa', 'bab', 'babaab', 'aaaaab']

Negative examples: ['aaa', 'bba', 'bb', 'bbbb', 'abb', 'baaabba', 'aabab', 'babaa', 'aaaaaba', 'babbb', 'baabba']"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*((b|a)a*b),"Positive example: [ ""baab"", ""babab"", ""ababab"", ""aaab"", ""babbab"" ]  
Negative example: [ ""aab"", ""baa"", ""abb"", ""bbb"", ""abbaa"" ]"
Odd number of 1s,0*10*(10*10*)*,(0*(11)*0*10*(11)*),"Positive example: [ ""110"", ""001100"", ""11011"", ""0110110"", ""0001101110"" ]  
Negative example: [ ""111"", ""000"", ""0011"", ""1010"", ""0111011"" ]"
non isolated 'b',(a|(b*bb))*,(bba*)+(a*bb),"positive example: [bbabb, bbaabb, bbabbabb, bbabbabab, bbabbba]  
negative example: [bbabbbb, bbbba, aabbb, bbbaaabbb, abb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)+aaaa(a)*,"Positive example: [bbbaaaaaaa, abaaaaa, bbaaaaa, abababaaaa, ababaaa, bbaaaa]
Negative example: [aaaa, baba, bbaaabaa, abababab, bbaababaaa, aaaaab]"
An even number of 1's,(0|10*1)*,(0*|(11)*)(0*|(11)*)*,"positive example: [ """", ""11"", ""0"", ""000"", ""110011"", ""001100"", ""111111"", ""000000"", ""1100110011"" ]

negative example: [ ""01"", ""10"", ""1110"", ""0001"", ""11011011"", ""101010"", ""000110"", ""1111100"", ""000101"" ]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(((1+0*1+)*)|((0+1*0+)*))?,"Positive example: ['1', '0', '10', '01', '110', '001', '11', '00', '101', '0101']
Negative example: ['1110', '0001', '1010', '111', '000', '1001', '0110', '01010', '10001', '0010']"
