Regex,Attempt Regex,ChatGPT Output
(a|baa)*,a*b*aa+,"positive example: [aa, aba, aaaaa]  
negative example: [b, abaaa, bab]"
(a|(b*bb))*,((a|b)*(bb)(a|b)*)*,"positive example: [bbaa, bbaabb, aabb, bbababba, bbbb]
negative example: [ab, aa, baa, ba, abab]"
(a*ba*b)*a*ba*,a(ba|bb)*,"positive example: [a, ababb, abb, abba, ababbba, abbba, abababbb, abab, ab, abbab]

negative example: [b, abaaba, baa, aba, abbababba, abaaa, ba, bb, abababbab, abbaabba]"
(0*10*10*)*|0*,0*1(0*10*110*)*,"positive example:[01, 111, 00110],negative example:[1111, 000, 10101]"
(ab|ba)*,(aa)*(bb)*,"positive example:[, aa, aaaabbbb, aaaaaa, aaaaaabbbb, aabbbbbb, aaaa, bbbb, bb],  
negative example:[aaa, b, ab, babb, baa, aabbab, aaaaab, abab]"
(a*ba*b)*a*ba*,(a|b)+(a|b)*b,"positive example: [bb, ab, abb, aab, bbb, baa]  
negative example: [b, a, aa, ba, aba, bab]"
(0*10*10*)*|0*,0*1+(0*1+0*)*,"positive example:[1, 11, 110, 101, 0011, 011101, 011], negative example:[10, 000, 0010, 010, 1100, 10010]"
(0(0*|1+0)*)|(1(1*|0+1)*),(1+0*(10+)*1+)*|((0+1)*0)*|1,"positive example:[00, 101001101, 010, 1, 0111, 100011, 0, 111]
negative example:[10, 1110, 101, 01, 1001, 110]"
(a|(b*bb))*,(a*|(bb)*)b*,"positive example:[aabb, a, bb, ab, abab, aa, aaaa, b, bbb, aabbb], negative example:[aaaab, bab, ba, bbaaa, c, abbbbab, aba, aaabbb]."
(0*10*10*)*|0*,0*10*1*1*0,"positive example:[0110, 1100, 0011, 1011, 0001100],negative example:[00000, 1110, 01010, 11111, 00001]"
(a*ba*b)*a*ba*,((a|bb)(a|b)(a|bb))+,"positive example:[aaabbba, aabbbaa, abbaba, bbabbaa], negative example:[aba, ab, aaabba, bbaba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0|1)*(01)(0|1)*(10)(0|1)*)*|((0|1)*(10)(0|1)*(01)(0|1)*)*,"positive example:[010110, 110110, 00101000110, 101010, 110101, 01010110], negative example:[10, 01, 1100]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(0*1+0*1+0*)|(1*0+1*0+1*),"positive example: [0, 1, 00, 11, 000, 111, 010, 101, 001100, 110011]
negative example: [01, 10101, 0011, 010101, 100110]"
(a|b)(a|b)+aaa+,a|ba|ba|b*aaaa*,"positive example: [aaa, bbaaaaa, a, baaaaa, baaaaaaa]  
negative example: [b, bb, ab, baaa, aaaab]"
(a*ba*b)*a*ba*,(a|ab+|b)+ab+,"Positive examples: [baab, abab, aabab, babab, aaab, bbaab]  
Negative examples: [bba, aabb, bab, bbba, ba]"
0*10*(10*10*)*,0*(1)*,"positive example:[1, 11, 111], negative example:[01, 10, 001]"
(a*ba*b)*a*ba*,(b|(ab|ba)+),"positive example:[b, ab, ba, abba, baba, babab, ababab],negative example:[a, aa, aba, bb, aab, ]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1+0+1+0+1+0+1+0+1+|0+1+0+1+0+1+0+1+0+|1*(0+1+0+)*1*|0*(1+0+1+)*0*|1*|0*|0+1+0+1+0+1+0+|1+0+1+0+1+0+1+,"positive example: [101010, 0110011001, 0101010100, 100101, 0011001001, 110010100, 100110010101, 001, 0101010, 01010011, 010100, 1010101, 101, 010, 1100, 0000]

negative example: [1010101010, 0101010101, 10101010, 101010101, 010101010, 01010101]"
0*10*(10*10*)*,10*(10*)*,"positive example: [10, 100, 1010, 1100, 1000]  
negative example: [1, 011, 1111, 00, 010]"
001|1010|110,(110|10|0*)*,"positive example:[110, 10, 0, 010110, 110110]
negative example:[1, 111, 001, 0101, 101]"
(a|(b*bb))*,(a+b)*(b+bb)*(a+b)*,"positive example:[ab, bb, bba, abbab, aab, ababbbb],
negative example:[bbbabbba, aaabb, baaab, bbbaa]"
(a|(b*bb))*,b*b(a|b)*|(a|b)*bb*,"positive example:[bb, bbb, ba, baab, ab, bbab], negative example:[ababba, aa, aba, aaa]"
0*10*(10*10*)*,((1+)+)*|0*,"positive example:[00, 0, 1, 11, 111, 1111, 110, 100], negative example:[10, 101, 1110, 011, 10]"
(a|baa)*,([b]*aa),"positive example:[aa, aaaa, baa, bbaa, bbaaa], negative example:[a, aaa, aaba, abaa, b]"
(a|(b*bb))*,b*(ab+ba+b)*b*a*,"positive example: [b, ab, ba, bba, bab, abbababbbabbb, bbabbaabaa]

negative example: [a, abbabbabbaba, bbbabbaa, bbababbba]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0+1+0)|(1+1+0)|(1+1)|(0+0)|(1+0)|(0+1),"positive example: [11, 00, 10, 00110, 010, 01]  
negative example: [1, 0]"
((a|b)a*ba)*(((a|b)a*b)?),(a|b)?a*b(a?),"positive example: [b, baab, bab, aab, ab]
negative example: [bbba, baa, abbb, aba, ba]"
0*10*(10*10*)*,(0)*(1*)(0)*,"positive example:[1, 111, 00011000, 010, 01100], negative example:[01010, 110110, 101, 10010, 0101]"
1?(01)*0?,0?|0|1|(010)*(101)*|(01)*|(10)*,"positive example: [0, 1, 010, 101, 0101, 1010, 010010101, 010101, 01010101]  
negative example: [00, 011, 110, 001101, 111]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01*)(010)*|(10)*(101)*,"positive example: [0, 010, 010010, 1010, 10101, 101010]
negative example: [1, 001, 110, 111, 100101]"
(a|baa)*,a*|(b*aa)*a*,"positive example: [a, aa, aaa, aabaa, baa, bbbaa]
negative example: [b, abb, bba, bb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1+))*|(0+(1*0*)0*)*,"positive example: [010, 110, 11, 101, 01, 0]  
negative example: [10101, 10, 1110, 1101, 100]"
(a|(b*bb))*,(a|b)*b+bb+(a|b)*,"positive example:[bbabb, baaabb, abbbba, bababbbb, bbbbb]
negative example:[babba, bbbaaa, ababa, abbab, bbb]"
(a|b)(a|b)+aaa+,a*(b(aa+))*,"positive example: [a, aa, b, baa, baaa, aabbaaa, aaba, aabaa, aabaabaa, aabaaabaa, abaaa, abaaaa]
negative example: [abc, bab, aaaaaaab, aabaaaab, abab, baaab, aabb, baaaab]"
(a|baa)*,b*aa,"positive example: [baa, aa, bbaa, aaa, bbaaa]  
negative example: [a, b, ba, ab, baba]"
(a|(b*bb))*,a*bb*a*bb*a*,"positive example:[bb, abb, aabbabaaabb, bbabbbaa, bbbbaabb], negative example:[a, abbb, baa, bbabbaa, baaaa]"
(a*ba*b)*a*ba*,(a*ba*ba*b)+|b,"positive example:[bbb, baab, abaabb, bbab, b], negative example:[a, aba, aa, ab, baa]"
0*10*(10*10*)*,((1?|11?)|111?)*|0*,"positive example:[11, 100, 000, 111, 01, 0], negative example:[111110, 1111, 00000, 1011, 11011]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)(0|1)((0|1)?),"positive example:[000, 111, 010, 101, 1100, 0111, 0001, 001, 100]
negative example:[11011, 00000, 00, 1110, 2, 00111, 10000]"
(a|(b*bb))*,b*(a+b)*b*,"positive example:[, b, bb, abb, bab, babab, bbabab, abbbb, ab], negative example:[a, abbabb, aa, ababab, aab]"
(ab|ba)*,((a+b)(a+b))*(a+b)*,"positive example: [, ab, abab, ababab, abababab, a, b]
negative example: [abababa, ba, aa, bb, bax, a1, aabb]"
(a|baa)*,(a*)|(a*baa*),"positive example:[, a, aa, aaa, baa, baaa, abaa, aabaa], negative example:[b, ab, bab]"
(a*ba*b)*a*ba*,a*b(bb+|a*)*,"positive example:[aababb, b, abbbbb, abb, abbba, aaaaaababb, babb]
negative example:[bb, ab, aaabab, abab, bbbbbb]"
(a|(b*bb))*,a*b*(bb)*b*a*,"positive example:[bbaabb, abbba, abba],
negative example:[abbab, babba, baa]"
(a*ba*b)*a*ba*,(a*)b((a*)(b(a*b)b))+a*,"positive example:[bbababbba, aabbbbabbaa, abbabbbbbaa], negative example:[ab, bab, bbaa]"
(a|baa)*,"[ab]b+a{2,}","positive example:[bbbaaa, abbaaaa, bbaa, abbbaaa], negative example:[abbab, bbb, aa, baa]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0+1*0+)*|((1+0*)*10+1+)*|1*|0*,"positive example: [0, 11, 010010, 1010011, 1101, 000, 11010, 1, 01, 1001]  
negative example: [01010, 1010, 000010, 110110, 101, 010011]"
(a*ba*b)*a*ba*,(ba*ba*ba*)*a*ba,"positive example:[bbbbbbbbbba, aaba, ba, baba, bababa, baa, baabaa, babababa], negative example:[b, bb, bab, abb, aba, a, aa, abbaa]"
(a*ba*b)*a*ba*,b*ab*(ab*ab*)*,"positive example: [ab, aab, bbabb, abab, abb]
negative example: [aaa, bbb, ba, aa, bba]"
(ab|ba)*,(a|b)b?,"positive example: [a, b, ab, bb], negative example: [aba, bbb, abb]"
(a|b)(a|b)+aaa+,ab|ab+(a|b)*aaa,"positive example: [abaaa, ab, ababaaa, abbaaa, abaaaa, abbbbbbbbaaa]  
negative example: [aaa, a, abab, abaa, abbb]"
(a|baa)*,(a)*baa(a|b),"positive example: [baa, baaa, baaaa, baab, aabaa, aaaabaa]  
negative example: [ba, aaba, abaa, aabaaab, baaabaa]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1*),"positive example: [0, 1, 11, 111, 1111]

negative example: [10, 101, 110, 011, 1110]"
(a|baa)*,[a-b]*[b]+a{2}[a-b]*,"positive example:[bbaa, babbaa, bbaaa]  
negative example:[baaaba, abaa, baabaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*(0+1+0+)*1*|0*(1+0+1+)*0*|1*|0*,"positive example:[110, 1010, 1001, 0111011], negative example:[0001100, 1110, 01010101]"
(ab|ba)*,(ab+ba)*,"positive example: [, abba, abab, abababab, abbabaab]
negative example: [ab, ba, bbaa, aabb, abababa]"
(ab|ba)*,(ab+aa|bb+ba)*(a+b)*,"positive example:[abbba, abaaa, bbaabab, bbaabaa, abaab, bbbbabba]
negative example:[babab, abaaaabba, abbbbb, aaaa, bbbba, abbaabab]"
(ab|ba)*,((ab|ba)(ab|ba)*(aa|ab|bb|ba)*)+(ab?),"positive example: [abab, baab, abababba, babaaa]
negative example: [abaa, abba, bb, aabaa]"
(a|b)(a|b)+aaa+,(a+b+)|(b+a+)(aaa)+a*,"positive example: [ab, baaaa, aaa, aaaabaa]
negative example: [baaa, abab, aaaa, b, babaaaa, aab]"
(0*10*10*)*|0*,0*(0+1+)*0*,"positive example: [0, 010, 1110, 000110000, 00100]  
negative example: [1, 111, 101, 10, 110]"
(a|(b*bb))*,(a+ab+b)*(ba+a)*,"positive example: [aabb, aabbaabbb, baabaa, aba, bbbaa, abba, baa]
negative example: [abaabab, bbaab, ab, bbb, aaab, aabbb, bba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*(0+1+0+)*1*|1*|0*,"positive example: [1, 0, 111, 000, 101, 0101010]  
negative example: [00011, 1010101, 11000]"
(0*10*10*)*|0*,0*1(0*1)*,"positive example: [1, 01, 001, 0011, 101, 111, 01011, 0001, 00101]  
negative example: [0, 10, 1100, 1001, 011, 1110, 0110, 1010, 0000]"
(a|b)(a|b)+aaa+,(b+)*(a+)*(b+)*(aaa+),"positive example: [aaa, bbaaa, baaaabaaa, aaaaabbbbaaa]  
negative example: [aa, babaaaa, ababababaaa, bba, abbaaa]"
(a|b)*(bab)(a|b)*,(bab)*,"positive example:[, bab, babbab, babbabbab, babbabbabbab], negative example:[b, a, ba, abb, baba, bbab]"
(0*10*10*)*|0*,(0*1+0*1+0*)*,"positive example:[, 10, 110, 000, 010101], negative example:[111, 0001, 10010]"
(ab|ba)*,(ab)*(ba)*(ab?)|(ba)*(ab)*(ba?),"positive example: [babaabb, ababb, b, a, babaa, ababbaa, aba, ba, abab, bab, abaab, babaa, baba, ab]
negative example: [abbaabb, baabbaa, abbab, bbab, aa, bb, aabb, bbaa, babb, abba, baabba]"
(a|b)(a|b)+aaa+,a*b*aaa,"positive example: [aaa, aaaa, bbaaa, aaaaa, aabaa, abaaa]  
negative example: [bb, abba, baa, baabaaa, bbabaa, aaab]"
(a|baa)*,((a|b)|[b]*aa),"Positive example: [aa, baa, a, b, bbaa]  
Negative example: [aaa, abab, bb, ba, ab]"
(ab|ba)*,(aabb)*,"positive example:[, aabb, aabbaabb, aabbaabbaabb], negative example:[aab, abb, aa, bb, abbaabb]"
0*10*(10*10*)*,(1(11)*)*0*1(11)*0*(1(11)*)*,"positive example:[110, 010, 1100111110011, 111, 111110, 11101],negative example:[101101, 1001, 101110, 100111]"
(a*ba*b)*a*ba*,a*ba*(ba*b)(a*b*)*,"positive example:[aaabba, baaabbaab, ababbabbbbb, ababbaabb],
negative example:[aabbaa, ab, aaaa, ba]"
(0*10*10*)*|0*,0*1+0*(1+)*0*,"positive example:[010, 1110, 01110, 100100, 01000], negative example:[10, 00110, 100, 111, 00]"
(0(0*|1+0)*)|(1(1*|0+1)*),(10*1)*|(01*0)*|0*|1*,"positive example:[1, 10, 01, 0000, 1111, 110, 010, 0, 111111, 000000]  
negative example:[1101, 0110, 001, 1010, 1110, 0001, 101, 11001]"
(a|(b*bb))*,(a+b(b*))*,"positive example: [ab, abbb, ababbb], negative example: [a, bba, ba]"
(a|baa)*,b*ab*ab*,"positive example:[aa, bba, abb, babb], negative example:[bababa, aab, bbba]"
(ab|ba)*,(ab+ba)*(a+b+b?)+(a+b)?,"positive example:[ababbb, ab, abb, aba, abbba, ababa],
negative example:[a, bbbb, bab, aaa, bba, bbba]"
(a*ba*b)*a*ba*,(a|bb)b*(a|bb)b*,"Positive example: [abbba, abba, bbabb]
Negative example: [aa, aabb, b]"
(a|b)(a|b)+aaa+,a|ba*b*aaa,"positive example:[a, baaa, bbaaa, baabbaaa, baaabaaa],
negative example:[b, bb, babaa, bbabaaa, abaaa]"
(a*ba*b)*a*ba*,((a+ab+ba+bb)*b)*,"positive example: [aabbabbbb, b, abab, baab, aaabbbba]  
negative example: [aaa, abba, bbbb, abbb, aba]"
(a|(b*bb))*,a|b*,"positive example:[, bb, b, a],negative example:[ab, ba, c]"
(a*ba*b)*a*ba*,a*b+a*(bb)*,"positive example: [b, ab, aabbb, aabbbb, bbaa, bababb, aabaabbbb]  
negative example: [a, abb, bababbab, bababaa]"
(a*ba*b)*a*ba*,a*ab*(ab*ab*)*,"positive example: [ab, aab, aabab, aaabab, ababab, abababab, abbaaaa]  
negative example: [b, a, aaab, abb, ba, aabba, abbab]"
0*10*(10*10*)*,1+,"positive example: [1, 11, 111]  
negative example: [0, 10, 21]"
(a|b)*baa(a|b)*b,[ab]*(baa)[a]*b*,"positive example: [baab, abbabaa, aabbaaa]
negative example: [abb, baaab, abbaa]"
(a|b)(a|b)+aaa+,a|b+a|b+a|b*a+a+a+a*,"positive example: [aaa, bbaaa, baaa, a, abaaa, bbaa, baa]  
negative example: [abaaa, b, aa, bb, aab, ab, aba]"
(ab|ba)*,(ab+ba)*(a+b)*,"positive example: ['', 'abba', 'ab', 'ba', 'abbaabbbaabab', 'abbaabb', 'bab', 'a', 'b', 'abbb', 'abab', 'babab']

negative example: ['aa', 'bb', 'bbb', 'aba', 'abbba', 'abababababa', 'abababa', 'bba', 'aab', 'baa', 'abaaa']"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0+)*(0+1+)*,"positive example:[, 1, 01, 0010, 1010, 0101, 10], negative example:[2, 012, 1102, 201, 1100, 0002]"
(a*ba*b)*a*ba*,(a*ba*)(a*ba*ba*ba*)*,"positive example: [aba, aabaabaa, ababababa]

negative example: [aaa, bba, abba]"
(a|b)(a|b)+aaa+,((b)+(aaa+)),"positive example: [baaa, baaaa, bbaaa, bbaaaa, bbbaaa, bbbaaaa]  
negative example: [aaaa, aaa, baa, bb, aa]"
(0|10*1)*,(0+1)*11(0+1)*,"Positive example: [111, 00011, 1011011]  
Negative example: [1010, 001010, 01100]"
(a*ba*b)*a*ba*,b|(a*b?),"positive example: [b, a, ab, aa, aab]
negative example: [bb, aabb, abab, ba]"
(a*ba*b)*a*ba*,a*|(bb)*b,"positive example: [a, aaa, bb, bbbbbbb, bbbb]
negative example: [ab, bab, abab, aab, bba]"
(a*ba*b)*a*ba*,a*b(ba*(b|a)a)*,"positive example: [b, abba, aabbaa, aabbaabba, bb, babbaa]  
negative example: [ba, baba, aba, aaab, aabb, abbba]"
(a|baa)*,a*|(?:a*|b([a]{2})+)*,"positive example:[a, aaaaaa, baaaa, aa, baa, aabaaa], negative example:[b, ab, aaaab]"
001|1010|110,(0|1)*01+(0|1),"positive example:[011, 010110, 101, 00110, 1101, 0101]  
negative example:[00, 10, 010, 1100, 10110, 1001]"
(a|baa)*,(a|b)*(baa)+(a|b)*,"positive example:[baa, abbaaab, abbaa, bbaa, baabaa, aabaaab, baabaaa], negative example:[a, b, ab, abab, aabb, bbb, aaa, abaabab]"
(a|baa)*,"(a*b+a{2,})*","positive example:[b, aab, aabbaa, aabaa]
negative example:[aa, bab, abab, ba]"
(a|(b*bb))*,(b+a)*(bb)*(b+a)*,"positive example: [bbb, babbb, abbabb, bb, babbab]
negative example: [ba, ab, baa, a, aaba]"
((a|b)a*ba)*(((a|b)a*b)?),(a|ba*ba)*|(a|ba*b),"positive example: [baab, bab, bbaa, aba, abb, b]
negative example: [b, baa, bbb, ab, bbba, aaaa]"
(a|(b*bb))*,a*(b+)*,"positive example:[, a, aa, b, ab, abb, aaabbb], negative example:[c, ac, abc, bac, cab]"
a+b,ab*b,"positive example:[ab, abb, abbb]  
negative example:[a, b, aa, bb, ba]"
(a|(b*bb))*,a+b*,"positive example:[a, ab, aa, abb, abbb], negative example:[b, ba, bb, aab]"
(0*10*10*)*|0*,(0+1)*,"positive example:[, 0101, 01, 10, 0011, 011110, 011, 1010],negative example:[11, 111, 000, 110, 1001]"
0*10*(10*10*)*,(0*1|(11)*|(101)*|111|10),"positive example: [1, 10, 101, 101101, 11, 111, 1111, 01, 001]  
negative example: [0, 100, 110, 000, 010, 011, 1010]"
1*(01*01*01*01*)*,(1*0)*,"positive example:[00, , 10, 100, 110, 1000, 11100], negative example:[01, 11, 101, 111, 001]"
(a|baa)*,a|b*b(aa+),"positive example: [baaa, bbbaa, bbaa, a, baaaa, bbaaa, aa]
negative example: [b, ba, bb, abb, abba]"
(a|baa)*,a*|a*baa*|baa*,"positive example: [aabaaa, , aa, aba, baa, baabaa]
negative example: [b, baabaa, ab, abaab]"
(a|(b*bb))*,(b)*(a+b)(b)*,"positive example: [ab, bab, bbbab, aab]
negative example: [ba, bbb, abab, a]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)|((a|b)a*ba)*|((a|b)a*ba(a|b)a*b)*)?,"positive example: [ab, bb, ababba, abaabbbaab, '', b, abab, abbab, ababa, babab, baa, abababab]
negative example: [babab, a, aaa, bbb, ba, abaabba, babbb, abbaa, bababa, aaaa, ababbb, ababababab]"
(a|(b*bb))*,(bb)*(ab)*(bb)*,"positive example:[, bb, bbabab, bbab, ab, bbbbababbbbb, bbbbabbb]
negative example:[abbbabbb, ab, abab, bbababb, babbab, babbababb]"
0*10*(10*10*)*,((0*)1(0*))|0*,"Positive examples: [1, 0, 00, 000, 0001, 10, 00100]  
Negative examples: [11, 101, 110, 011, 0011, 100]"
(a*ba*b)*a*ba*,bb*b,"positive example:[bb, bbb, bbbb], negative example:[b, a, bab]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0(0*(0*1+0+))*|1(1*|1*0+1+)*)?,"positive example: [0, 11, 10101, 010, 101, 111, 1101, 001, 10, 100]
negative example: [00, 1110, 0100, 000010, 11000, 0000]"
(a|(b*bb))*,(a+(bb))*a*(bb*)(a+(bb))*,"positive example: [aabb, aabbabb, abbabba, bbabba, abbabbabb]
negative example: [aaaaa, bbbbaa, abba, abbbab, baabb]"
(a|(b*bb))*,b*a*(b?)*a*b*,"positive example: [bbaaab, baabb, bba, aab]
negative example: [abab, bbb, aaabaa]"
(a*ba*b)*a*ba*,(ba*(bb)*)*,"positive example:[, bab, baa, bbb, baaabb, baab]
negative example:[a, ab, aa, bbba, abb, bba]"
(0*10*10*)*|0*,0*1(0*10*11)*,"positive example: [1, 01, 001, 011, 101011, 0011011011]  
negative example: [11111, 000, 110, 101, 1011]"
(a|b)*baa(a|b)*b,(a|b)*aab+(a|b)*b,"positive example:[aababb, baaabab, abaaabb], negative example:[ab, bb, aa]"
0(0|1)*0,0*0|1*0*,"positive example: [0, 1, 1110, 00, 1000]  
negative example: [011, 10, 0101, 0110, 1011]"
a+b,a(b)*,"positive example: [a, ab, abb, abbb, abbbb]  
negative example: [b, bb, baa, ba, bba]"
(a|(b*bb))*,(a|b)*b*b(a|b)*|(a|b)*bb*(a|b)*,"positive example: [b, bb, abb, bab, bbb, abba, babb, babab, ba, aba, baa, babba]
negative example: [a, aa, aaa, ab, baaa, aaba, bbaaaa, abbaaa, aaabb]"
(a|b)*baa(a|b)*b,(a*b*)*(baa)+(a*b*)b*,"positive example: [baa, babaaaa, baaa, baaaaaaaaaaaabaaaa, baabaaaa, baaabaaaa, baababaaaa]  
negative example: [a, b, ab, ba, aab, bab, aabab, babab, baab, abaabaa]"
001|1010|110,1*0*,"positive example: [1, 1000, 1110, 0, 10, 110]
negative example: [01, 101, 010, 001, 0001]"
(a|(b*bb))*,(a*b(b+)*a*)*,"positive example:[, bab, bbb, abbab, aabbbbbba, baba, bbbaaa]
negative example:[ab, aa, bbbbbab, aabb, baaa, aabaa, bba]"
(a*ba*b)*a*ba*,(a)*(b(bb)*)+,"positive example:[ab, bbb, aabbb, bb, aabbbbb]
negative example:[a, aa, ba, abb, abbb]"
(a*ba*b)*a*ba*,(a*(b)((a)*bb)*(a)*(a*(b))*),"positive example: [b, abbb, abbbba, abbabb, baabb]
negative example: [aaa, bba, ab, aaba, baba]"
(a|baa)*,a|b*b(aa*),"positive example:[a, ba, bba, bbbaaa, bbbba],
negative example:[b, aa, c, bab, bbb]"
a+b,a(ab)*,"positive example:[a, aab, aabab, aababab], negative example:[b, aa, aba, ab]"
(a|b)*baa(a|b)*b,(a*b*)*baa(a*b*)b*,"positive example: [babaaaa, bbaa, baabaa, baaab, baaabb]
negative example: [baabab, aaab, bbbaa, abaaa, babab]"
(a|baa)*,"[a-b](b)?a{2,}","positive example:[baaa, baa, bbaaa, aa, abaaa]  
negative example:[ab, baaab, aabaa, aba, b]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)+(0|1),"positive example: [110, 0110, 1001, 111, 0001]  
negative example: [11, 000, 01, 10, 011]"
(a|baa)*,(a|b)*b*aa+,"positive example:[aa, babaa, ababaa, bbaa, abaa, baa], negative example:[a, b, ab, ba, bba, abb]"
(a|baa)*,(a)*(b)*(a)*(a),"positive example: [aaa, aaaa, baaa, aaba, aa]
negative example: [abba, baa, abaa, bab]"
(a|b)(a|b)+aaa+,(a*baaa)*,"positive example: [abaaa, baaabaaa, aabaaaabaaa, aaaaaabaaaabaaa]  
negative example: [a, b, ba, aaa, aba]"
0*10*(10*10*)*,1+(11*)+0,"positive example: [110, 1110, 111110, 11111111110], negative example: [10, 111, 11111111, 11101]"
(a*ba*b)*a*ba*,a*(b|bbb)*,"positive example:[a, ab, aab, aaabbb, aaaa, bbb, aabbb],  
negative example:[bab, ababab, aabba, babb, aaababa]"
(a|(b*bb))*,(a+b)*b*bb*(a+b)*,"positive example:[abb, bb, babb, abbb, babbb], negative example:[a, bbbba, babba, ababab, bbabab]"
(a|(b*bb))*,b*|a*,"positive example: [b, a, bbb, aaa, ab], negative example: [ba, abab, baab]"
(a|baa)*,b*a+,"positive example: [baa, baaa, aaa, bbaa, aa]
negative example: [ab, bb, aab, b, baab]"
(a*ba*b)*a*ba*,(a|b)(ba|bb)*,"positive example: [abbba, a, bbaba, aba, bba, bbbba]  
negative example: [aa, baa, bbb]"
(0*10*10*)*|0*,0*10*01*,"positive example:[1001, 010101, 0010], negative example:[101, 111, 0001]"
(a|b)(a|b)+aaa+,a*(aaaa*)*,"positive example: ["""" , ""aa"", ""aaaa"", ""aaaaaa"", ""aaaaaaaa""],
negative example: [""a"", ""aaa"", ""aaaaa"", ""aaaaaaa"", ""aaaaaaaaa""]"
(a*ba*b)*a*ba*,(a*ab*ab*)*,"positive example: [aa, aaba, abba, aabab, abab, abaa, aabaa]
negative example: [b, aaab, aaa, baa, bab]"
(a*ba*b)*a*ba*,a*b(bb)*a*(b(bb)*)*a*,"positive example:[bbba, abbbaa, baaabbbbaa], negative example:[bbbab, babbabb, bbbba]"
b*a*,((?:)(a+)+)|((b+))+((a*)+),"positive example: [ba, bba, bbaa, a, b, ?a, aa]
negative example: [bab, aba, bb, aaa, ab, bbb]"
(a*ba*b)*a*ba*,(a|(ba*b)*b(a|(ba*b))*),"positive example:[babab, b, a, ba, bab, babb, bababab]
negative example:[bb, aa, babbb, aba, baaa, bbab]"
(a|(b*bb))*,(b)*,"positive example:[, b, bb, bbb],negative example:[a, ab, ba, c]"
(a|(b*bb))*,b*a*b*a*b*,"positive example:[, bbaa, aa, baab, bbabbaa], negative example:[abab, bab, baaba, abba, aabab]"
(a|b)a*,a*,"positive example:[, a, aa, aaa],negative example:[b, ab, ba, abc]"
(a|(b*bb))*,(a+b)*|(bb)*,"positive example: [bbbb, abab, ab, bb, aab, aaaab]
negative example: [a, bbb, ba, aa, bab, aba]"
(a|baa)*,"[a-b]b?a{2,}","positive example: [aaa, aba, baa, abaa]  
negative example: [aa, abbaa, abab, bba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1+0+1+0*)*|(0+1+0+1*)*,"positive example:[1, 0, 111, 000, 10, 01, 1010, 0101, 1001, 0110, 1100, 0011]  
negative example:[110101, 001010, 10101010, 01010101, 110, 001]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*|((a|b)a*ba(a|b)a*b)*)?,"positive example: [ε, abab, babab, ababba, abaabbbaab, bbaaab, ababbaabba]
negative example: [abaabaab, a, ba, bbaab, abaa, baabab, aabbaa]"
(a|(b*bb))*,(a*((bb*)+(bbb)*)a*)*,"positive example: [a, bba, aa, bbbaa, babbba, bbb, baaa] 
negative example: [ab, bbbab, aba, bbab, babbb]"
(a|b)(a|b)+aaa+,(ab|ba)*(aaa)*,"positive example: [ab, ba, abab, baba, abbaaaaa, baaaa, abbaaaa]
negative example: [bbb, aab, abbaabaa, baaaab, aaaabaaa]"
(a|b)(a|b)+aaa+,a|b*aaa,"positive example: [aaa, baaa, bbaaa, a]  
negative example: [b, ab, bb, bbb, aab]"
b*a*,((a+)|(b*))*a,"positive example: [a, aa, aaa, ba, baa, abaa]  
negative example: [b, bb, ab, bbb, ab, aba]"
(a*ba*b)*a*ba*,(a*|b+),"Positive examples: ["""" , ""a"", ""aa"", ""aaa"", ""b"", ""bb"", ""bbb""]
Negative examples: [""ab"", ""ba"", ""aab"", ""abb"", ""bab""]"
(ab|ba)*,(ab+ba+aa+bb)*,"positive example:[, ab, ba, aa, bb, abba, baba, aabb, abbaaabbabbbaaabb, abbaaabb, bbabbaaa, aabbaabb]
negative example:[abbabaa, ababab, baabba, abbabaaabb, aabbab, abbb]"
(a|b)*baa(a|b)*b,((a*)(b*)baa(a*)(b*))*b,"positive example: [baabb, baabaab, b, baabaaabb, baa, baaaabab]

negative example: [ab, aabbaa, bbaab, abab, aaabaa, bbba]"
(a|b)*baa(a|b)*b,(a*b*)*(abb)(a*b*)*b,"positive example: [abb, aabb, abbabb, babb, aababbb, baaabb]
negative example: [a, ab, bbb, aaabb, abbaa, ababba]"
