Regex,Attempt Regex,ChatGPT Output
(a*ba*b)*a*ba*,(aa|bb|(ab|ba)(aa|bb)*(ba|ab))*(b|(ab|ba)(bb|aa)*a),"Positive example: [bbb, abbb, ababbba, baabaa, aaabbba]

Negative example: [aaaa, bbaa, abab, bbaabb, aaabba]"
(a|baa)*,a*(baa)*a*(baa)*a*(baa)*,"positive example: [baa, aabaabaa, aaabaaabaa, aabaabaaabaa, aabaaabaa, aaaabaaabaa]
negative example: [baaabaa, aabaa, aabaaa, baabaa, baaabaaa]"
(a|baa)*,(a|baa),"positive example:[baa, a, baaabaa, baaa, aaa, baa],negative example:[b, ba, bb, ab, baab, aa]"
(0*10*10*)*|0*,0*|(11)+0*|0*(11)+|10*1,"positive example: [00, , 011, 110, 111100, 101, 1001, 001111]  
negative example: [11011, 1]"
(a|baa)*,(a*(baa)*a*),"positive example: [a, baa, aabaa, abaa]
negative example: [baaa, baaabaa, baa]"
(0*10*10*)*|0*,0*(10*1)*0*(10*1)*,"positive example:[, 101, 01001100, 101010101]
negative example:[111, 001101001, 110110010]"
(a|b)(a|b)+aaa+,(aa|ab|bb|ba)(a*|b*)(aaa)(a*),"positive example:[baaabaaaa, bbbaaaaaa, abaaaaa, abaabaaa],negative example:[aaaa, aaabaa, aaaabaaa]"
(a|b)(a|b)+aaa+,"(ab|ba|bb|aa){2,}a{3,}","positive example: [bbabbbaaaa, abbaaabaaa, baaabaaaaaa, aabaababaaaa]  
negative example: [bbabaa, aaaa, bbaa, abaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)*0)*|(101)*,"positive example:[00, 101101, 101, 0100, 101101101, 10110100], negative example:[1, 111, 001, 100, 011]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100),"positive example:[000111, 00010, 100011, 111000, 10011, 111, 0001, 111101, 00100, 011100, 000010, 000100, 110100, 10101, 111011, 10000, 11010, 100, 001011, 01, 101001, 01110, 010, 1011, 11100, 00111, 100110, 110111, 1101, 10110, 001000, 101010, 01000, 10, 001101, 101111, 0100, 110010, 11111, 1000, 00001, 011001, 011010, 000001, 100000, 110001, 111110, 001, 0010, 001110, 01101, 01011, 101100, 0111, 1110, 11001, 100101, 011111, 1], negative example:[0, 101, 0011, 110, 11110, 000, 011, 10, 1001, 10010]"
0*10*(10*10*)*,(0*1|1(11)*0*|10*|1(101)*|0*10*|01(11)*|10*(11)*),"positive example: [1101101, 1001111, 1111100, 010, 00100, 011111, 10, 101, 1000, 111, 011, 10101]  
negative example: [111011, 0, , 10110, 1110, 10111, 001, 1100]"
(a*ba*b)*a*ba*,b(b{2})*,"positive example: [b, bbbb, bbbbbbb], negative example: [bb, bbbbb, bbbbbb]"
(0*10*10*)*|0*,0*(10*10)*,"positive example: [110, 0011010, 1010, 1110, 00000]
negative example: [11011, 001100, 0111, 110101, 010111]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01+0)*|(10+1)*,"positive example:[010, 1001101, 101, 0100110, 011010, 1001, 10011101]  
negative example:[0, 011, 10, 1100]"
(a|(b*bb))*,(a*(bb+bbb)a*)+(a*),"positive example: [abbba, abbbba, bbbbba, abbbbba, aba, bbba]
negative example: [bbb, bbbbbb, ba, bba, bbbbab, aabb]"
(a|b)*(bab)(a|b)*,(b+a)*(bab)(b+a)*,"positive example: [bab, bbbbababb, abbababaaa]
negative example: [baab, abba, babbaa]"
(a*ba*b)*a*ba*,b(abb|bab|bba|a)*|(abb|bab|bba|a)*b|(aba|baa|aab|bbb),"positive examples: [baa, aba, abba, aab, abbb, bab, babbabb, bba, ab, bbaba, abbabba]

negative examples: [b, aa, nbbaba, abbab, baaab, bbbbab]"
0*10*(10*10*)*,(0*(11)*0*10*)|1011,"positive example:[11, 010, 00110, 1011, 110, 001101, 0011110001011]  
negative example:[00, 1010, 1000, 1100, 111, 010101]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(010|0110)*0*|1*(101|1001)*1*,"positive example:[0, 0110, 010, 1001, 101, 0110010, 000010111000, 111101111, 10011001]
negative example:[110011, 1010101, 0001010, 0011, 101110, 0101010, 010110, 1000111]"
(a|baa)*,"ba{2,}","positive example:[baa, baaa, baaaaa, baaaa], negative example:[ba, b, aa, aab]"
(a*ba*b)*a*ba*,a*b(a|abb|bab|bba|bb)*,"positive example:[ab, aababb, aabbabbb, baab, aabab],
negative example:[b, a, abbb, aa, abb]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110),"positive example:[001, 101010, 01011, 000111, 001101, 110001, 010, 0111, 10101, 00111, 01101, 0001, 01, 00100, 1101, 1110, 111, 1000, 110111, 100011, 11001, 000010, 100000, 01110, 101100, 100101, 0010, 111110, 111000, 110010, 11010, 01000, 11111, 00010, 101111, 10110, 10011, 10, 000001, 10000, 101001, 111101, 100110, 11100, 001110, 000100, 00001, 1011, 110100, 0100, 100, 11001, 000100, 111011, 1],negative example:[0, 11, 00101, 10100, 11110, 00011, 01001, 111111, 011111, 11011, 000000, 100001, 101101, 011100, 111001, 100010, 1111111, 111010, 01001, 110, 001100, 010101, 001111]"
(a|b)*(bab)(a|b)*,bab,"positive example: [bab], negative example: [ba, bbb, aba, bb, a]"
(a*ba*b)*a*ba*,a*(b(a*b{2})*)a*,"positive example: [b, ba, baabb, aabbb, aaabaaabbbaa, aab, abbb]
negative example: [bb, ab, aa, aabb, aaa, baaba, ab, aaaa]"
(a|(b*bb))*,a((a*bb*ba*)+(a)*)*,"positive example: [a, abbb, aa, abba, abbba, aaaa, abbbba, aaaabbbb]
negative example: [b, ba, bbb, bba, bbba, aaabab, aabbbbb, abc, ac, aabb]"
(a|b)*baa(a|b)*b,a*b*(baa)+b+,"positive examples: [bbaab, abbaaab, aabbaaab, baaab, aabbaaabb]

negative examples: [b, baab, baa, ababb, aaabb]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001),"positive example:[00010, 100110, 100011, 1101, 10011, 10110, 111, 101010, 01000, 10, 101111, 0100, 0001, 11111, 1000, 00100, 00001, 10101, 100000, 110001, 10000, 11010, 100, 001, 0010, 01101, 01, 01011, 101001, 101100, 01110, 0111, 010, 1110, 1011, 11001, 11100, 100101, 00111, 1].

negative example:[0]."
(ab|ba)*,((ab)|(ba))?,"positive example: [ba, ab, """"]
negative example: [abab, a, b, aa, bb]"
(a*ba*b)*a*ba*,a*ba*(ba*ba*)*a,"positive example: [aba, aababa, baaaba], negative example: [abab, aaab, bab]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(10)|(01)|(111)|(000)|(101)|(011)|(010)|(001),"positive examples: [10, 01, 111, 000, 101, 011, 010, 001]  
negative examples: [0, 11, 00, 1111, 100, 0101, 0011, 1010]"
(a*ba*b)*a*ba*,a*(b)a*(bb)*a*,"positive example: [aabbbba, abbaa, baa, aabbbbaa]
negative example: [abbbb, babba, bbbaa, aababbb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(01))*|(0+(10)*)*,"positive example: [1, 101, 010, 0110, 01010, 10101]  
negative example: [10, 111, 001, 00, 110]"
(a*ba*b)*a*ba*,a*ba*ba*ba*,"positive example: [babab, abaabab, aabbabaaa], negative example: [aaa, abaa, bab]"
b*a*b*|(a*bb+a*)*,a*|b*|(a+bb+)*|ab|ba|(bb+a+)*|(aa*b*)?,"positive example: [b, bbba, aaabb, ab, baa, bbbbb]
negative example: [aa, bab, aba, aabb, baab, abba]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101),"positive example:[111, 00010, 01, 10011, 001, 1101, 101001, 01011, 11111, 0100, 1, 1110, 010, 101010, 1011, 01110, 0001, 00010, 00111, 11001, 10110, 0111, 01101, 00100, 00001, 11100, 100, 11010, 1000, 10, 10101, 0010, 001],  
negative example:[00, 000, 1100, 011, 1111, 10100, 10001, 00101, 0101, 101101, 1111, 0000, 0010, 10, 111000, 0011, 101, 11110, 100000]."
0*10*(10*10*)*,(0)*(1)(0)*,"positive example: [1, 010, 00100, 0001000, 10]  
negative example: [0110, 1100, 101, 111, 00]"
(a|baa)*,(a*)*baa,"positive example: [baa, abaa, aabaa, aaabaa, aaaabaa, baabaa]  
negative example: [bba, abba, aa, aba, b, bb]"
0(0|1)*0,0+(10)*0+,"positive example:[00, 0010100, 000, 00100, 001010100], negative example:[0, 0100100, 0000, 001, 0100]"
(a*ba*b)*a*ba*,a*(ba*(ba*b)*)a*,"positive example:[a, ba, baa, aabab, aabba, baaab, baaa, ababa, abaabab, aababbaa]
negative example:[bab, bbb, abbb, abab, bbba, abba, bbbab, bbbbaa, abbabb, babbaa]"
1*(01*01*01*01*)*,1*(01*01*01*0)*1*,"positive example: [1, 00010101, 11100110, 10001, 101010, 1011010]  
negative example: [010, 110, 001110, 01010101, 00101]"
b*a*,(a+|b+a*),"Positive examples: [a, b, ba, baa, aaa, aa, baaa]
Negative examples: [bb, ab, bab, aba, abaa]"
(0|1)(0|1)*,0(01)*|1(01)*,"positive example: [0, 10101, 1, 1010101]  
negative example: [00, 11, 010, 110]"
(a|(b*bb))*,a*(bbb*)*,"positive example:[, aaa, bbb, aabbbb, bb, aabbbbbb]  
negative example:[bbbabb, abab, bab, abb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+(1+0+)*)|(1+(0+1+)*)),"positive example:[0, 01010, 10101, 101, 1, 010101010, 10101010, 010, 1010, 010101]  
negative example:[00, 11, 0101, 1010x1, 001, 110, 000, 111, 01011]"
(0|1)(0|1)*,10*|01*,"positive example: [10, 0, 1, 100, 011, 01]  
negative example: [110, 101, 111, 001, 010, 000]"
(a|baa)*,"(b{1}a{2,})|a+","positive example: [baa, baaa, a, aa, aaaa, baaaaa]  
negative example: [b, bb, bbaa, ba, ab, aba]"
0(0|1)*0,000(0|1)*000,"positive example: [0000, 000000, 00001000, 00010000, 0001111000]

negative example: [00101000, 010000, 000011, 00010, 1000000]"
(a|(b*bb))*,(aabbabb)*(aabbaa)*(abba)*(bb)*(a)*(bb+b)*(a)*(bb)*(abba)*(aabbaa)*(aabbabb)*,"positive example:[aabbaa, bbabbaaabbabbaa, bbbbbaabbaaabba, abbaaabbaaabbaaabbaabbabbaa, abbbbabbaaabbbabbbaaababbaabbaaabbbabbbaaabbaabbbaabbaaaabbaabbaa, bbbabbaaabbaa, abbaaabbbaabba, aabbaaabbaaaabbabbaaabaabbababba, abbbaabaaabbaaabbaaababbaaabbabbaaabbaabbaaabbaabbbabb, aabbaaabba]

negative example:[abaabbabbaabbaa, abbaaabbbaaaabbb, bbabbabbaaabbaabbbaaabbabaabba, aaabbaabbabbaabbbaaabbaaabbaa, bbaaabbabb, babbabbaabbaaaabbaaabbaabbaabbaaabb, bbabbaaaba, babbaabbaaaabbaaabbbabbaa, aabbaaabbbaabbaaabbaabbbba, aabbaabbabbbbbabbaa]"
(a*ba*b)*a*ba*,a*b(a*ba*b)a*,"positive example: [baabb, aababb, bbaabaa], negative example: [abaa, abbb, baa]"
(a|(b*bb))*,a*bbb*a*,"positive example: [bbb, aabbb, bbba, bbbaa, aabbbba, abbb]  
negative example: [aaaa, ba, bab, abb, bb, aaaaabbbbaa]"
(a*ba*b)*a*ba*,(a*(bb)*a*)*b(a*(bb)*a*),"positive example:[b, abbba, bbabbbaabbbbaa, babbbaa, ba, bbabaa]
negative example:[babbabba, ab, bba, babbab, a, bbbbb]"
(a*ba*b)*a*ba*,a*(ab)|(b)a*|(a*ba*ba*)*ba*,"positive example: [b, ab, aab, baa, abba, aba, aaabb, bbba, bab]

negative example: [a, aaa, ba, bbaaa, aaaa]"
(a|(b*bb))*,(a?bb|a?|a?bbb),"positive example: [abbb, , bb, a, bbb]  
negative example: [aabb, b, aa, aabbb, abb]"
(a|b)*baa(a|b)*b,(a|b)*baa+b+,"positive example: [abaabaab, abbaaabb, bbaaabbb, baaabbaab, abbaaabbb]

negative example: [abababaa, aaaaabb, babba, baaab, bbabaa]"
(a|(b*bb))*,a*b*bb+a*,"positive example:[abb, bbaa, aabba],negative example:[b, aab, bb]"
0*10*(10*10*)*,0*10*(10*1)*0*(10*1)*,"positive example:[101, 1001101, 1010101, 10101, 10011001101], negative example:[111, 0110, 110110, 010, 110111]"
(0*10*10*)*|0*,(11)*|0*(11)*|(11)*0*|0*|(10*1)*|(1010)*|(0101)*,"positive example: [110101, 001111, 010101, 10101, 111111, 0, 00011100]  
negative example: [011110, 10110, 0000101, 1110, 110010]"
(a*ba*b)*a*ba*,(bb)*a*(b(bb)*)a*(bb)*,"positive example:[b, ba, bba, bbb, bbba, baa, bbbaa, bbbbaab, bbabaab]
negative example:[abab, abba, babba, bbbbaa, baabba, ab]"
(a|(b*bb))*,(bb+bbb)*,"positive example:[, bbbbbb, bbbbb, bbbbbbb, bbbbbbbbbbb, bbbbbbbbbb], negative example:[b, bb, bbbb, bbbbbbbbbb, bb, bbbb]"
(0|1)(0|1)*,1+|0+,"Positive example: [1, 00, 111, 0000]  
Negative example: [10, 01, 1110, 0011]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(100)|(10)|(01)|(111)|(000)|(101)|(011)|(010)|(001),"positive example: [100, 10, 01, 111, 000, 101, 011, 010, 001]

negative example: [0, 11, 110, 01X, 0111, 0010, 1010, 0000]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(010)*0*,"positive example:[010, 0010010, 0000101000, 0100100, 01010010],negative example:[1001, 00100, 0010101, 010101, 100010]"
(0|1)(0|1)*,00*|01*|10*|11*,"positive example:[00, 11, 10, 000, 011, 100, 111, 01, 0000, 0111, 1000, 1111, 001, 110], 
negative example:[010, 101, 1100, 0011, 0101, 1010, 1001, 0110, 1101]"
(a|baa)*,((a*)|(baa(a)*)),"positive example: [baa, , baaaa, aa, baaa, a, baaaaa, aaaa, baaaaaa, aaaaa]
negative example: [b, aab, aba, ab, ba, c, bbaa, abaa, baaab]"
(0*10*10*)*|0*,0*|(11)+0*|0*(11)+|10*1|(1010)*|(0101)*|(0110)*,"positive example: [000, 10101, 1111, 1100, 0011, 11110000, 0101, 0110, 101010, 01010]  
negative example: [11011, 011, 10111, 1010, 00011, 00101, 111, 111110, 100, 01111]"
(a|b)(a|b)+aaa+,((aa)|(bb)|(ab)|(ba))+(aaa)+,"positive example:[aaaabaaa, bbbaaa, ababaaa, babaaaa, aaababaaa],
negative example:[aaa, bbbaa, abaaaabb, baaaab]"
(0*10*10*)*|0*,(0?10*10*)*,"positive example:[, 011, 1111, 010, 1010, 01010]  
negative example:[111, 110, 0011, 1110, 10, 00]"
(0|1)(0|1)*,(00*1*|10*1*),"positive example: [00, 11, 10, 01, 0001, 101, 00011]

negative example: [111, 001, 110, 1000, 010, 000, 1]"
(a|b)(a|b)+aaa+,(aa|bb|ba|ab)+aaa,"positive example: [abaaab, bbaaabaa, baaaab, aaabbabbaaab], negative example: [aaaa, aaa, aabbba]"
(a*ba*b)*a*ba*,[a]*b([a]b{2})[a],"positive example: [aababba, babba, ababba]
negative example: [babbba, baba, bba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0(10)*0|1(01)*1?,"Positive example: [00, 11, 10101, 010100, 0, 1010, 010, 111, 01010]  
Negative example: [1111, 01, 101, 011, 10, 0101, 0010, 110]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+1*(0*1+)*0+)*|(1+(0*1+))*|0*,"positive example: [0, 101101, 010, 101, 1110, 010101, 10010, 0001]

negative example: [1, 10, 10101, 011, 110, 10100, 01, 111]"
(a|baa)*,(baa)|a*,"positive example: [baa, """", aa, a, aaaa, aaaaa]
negative example: [b, ba, aaaab]"
(a*ba*b)*a*ba*,b(a*ba*b)*,"positive example:[b, bb, bbb, bab, baab, bbabb, babbbb], negative example:[a, ab, ba, aba, baa, aabb, abb]"
a(a|b)a(a|b)*,aba(a+b)*,"positive example: [aba, abaabab, abaa, abaaa, abaabb]  
negative example: [abab, baa, abba, aab, bb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(01*0)*0*|1*(10*1)*1*,"positive example:[0, 1001, 110, 1010, 01010, 0110, 111, 00, 10, 01, 1011011, 0110110],negative example:[0100010, 1011101, 011000, 10010, 1011010, 01001, 110110]"
(a|(b*bb))*,(a*(bb+bbb)*a*)+(a*),"positive example:[a, bb, aabbaa, bbb, aabbba, bbbbababbbb, baaabaa, abbbb, abbbaa], negative example:[b, ab, bab, bbba, abba, aaaaabba, bbbbb, aaabb, abab]"
(a*ba*b)*a*ba*,([a]*(b)(bba|abb|bab|bb|a*|baab)*),"positive example: [a, ab, baa, abbba, abababb, aaaabbbba]

negative example: [b, bba, aaa, abababab, bbab]"
((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*b(a|(a(a|b)a*b)*)?,"positive example: [ab, baaabb, aba, aabaa, abb]
negative example: [abaa, a, abb, bb, aaa]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*((b|a)a*b),"Positive example: [ab, ababbabaab, aba, bab, abba, babab, abaaabbab]
Negative example: [aa, baba, aabab, aabb, baaa, baa, ababab, bbaa]"
0*10*(10*10*)*,(0*(11)*0*10*(11)*),"positive example:[10, 1011, 001110, 1110, 0110]

negative example:[111, 110, 1001, 011, 1101101]"
(a|(b*bb))*,(bba*)+(a*bb),"positive example: [bbaabbb, bbbaabb, bbbaabbb]
negative example: [bbaa, abb, baabb]"
(a|b)(a|b)+aaa+,(a|b)+(a|b)+aaaa(a)*,"positive example:[baaaaaa, ababaaaa, bbaaaaaa, aaabaaaa, babaaaaaa]  
negative example:[aaaaaa, aaaaba, bbbaaa, bbaa, aaaa]"
(0|10*1)*,(0*|(11)*)(0*|(11)*)*,"positive example: [0110, 110110, 0011, 111100, 0000]

negative example: [1, 111, 010101, 1011, 10]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(((1+0*1+)*)|((0+1*0+)*))?,"positive example:[101, 0110, 10101, 110, 010, 00100], negative example:[1, 0010100, 1010, 011, 00011]"
(a|(b*bb))*,(a)*(abb+bba+bb)*,"positive example: [abb, aabb, abbbbabb, aaabb, abbabb, abba, bbb, bbbbbb]

negative example: [abab, abbabab, bbaabb, aabbaa, aabbab, abaa, abbbaa, bbab]"
(a|b)*baa(a|b)*b,(a|b)*(baa)+a*b+,"positive example:[baaab, baaabba, baaaab],
negative example:[bbbaa, babaa, ab]"
(a|baa)*,(a)*|(baa)+,"positive example:[, a, aa, aaa, baa, baabaa, baabaabaa],negative example:[b, ab, bab, babaa, aab]"
(a|(b*bb))*,(a(bbb*))*,"positive example: [ab, abbbbbb, abbabbb]  
negative example: [a, bbb, bbbb]"
b*a*,(a+|b+)a*,"positive example: [a, b, ba, bbb, baa, aaa]  
negative example: [ab, bab, abab, abbb, baab]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100),"positive example:[1110, 00110, 101001, 110, 000001, 100000, 10111, 10011, 11001, 00111, 01011, 100, 011010, 110001, 001110, 10110, 010, 1101, 110100, 111101, 0001, 0111, 001101, 11100, 0100, 000111, 01100, 1011, 101101, 001000, 111111, 01001, 1010111, 111000, 011111, 100010, 1010100, 011100, 10101, 00001, 110010, 1, 100110, 010000, 001011, 101010, 111, 100000, 010110, 010101, 010011, 1010010], negative example:[0, 11011, 0101010, 10010, 01001, 1111111, 000000, 1001, 1011110, 00101, 11000]."
(a|baa)*,(a*)baa+(a*),"positive example: [baa, aabaa, baaa, aaaabaa, aabaaa, baaa, aaaabaaa]

negative example: [ba, baabaa, b, aaab, aabb, abaa, aba]"
(a|baa)*,(baa+)*a*(baa)*,"positive example:[, baaabaaa, aabaabaa, baaaba, aaa, baaabaa]
negative example:[abaaabaa, abaa, baaa, aabaaa, baaba]"
(a|b)(a|b)+aaa+,((aaa|bbb)|(aa|bb))+aaa,"positive example: [bbbaaa, bbaaa, aaaaa, aaabbaabbbaaa, aaabbbbaaa, bbbbbbbaaa]

negative example: [aaaa, aaa, aabb, bb, aaabbb]"
(a*ba*b)*a*ba*,(a*ba*ba*)*(ba|ab|b|baa),"positive example: [abbb, bbbbbaa, ab, ba, b, baa, bab, baab]

negative example: [bbbba, aaa, a, bba, bbba]"
b*a*,(a+)|(b*a+),"positive example: [a, aa, aaa, ba, bba, bbbba, bbaa]  
negative example: [b, bb, bbb, aba, baa, ab, bbb]"
(a|b)*baa(a|b)*b,a*bb*aaa*(b|a)*b,"positive example: [bbbaab, baabab, aabbaabab, bbaaab, bbbaaabb]  
negative example: [bb, aaab, baa, abba]"
(a|baa)*,baa|a*,"positive example:[baa, , a, aa, aaa, aaaa],negative example:[b, bb, ba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+(0*1*)*0+)|(1+(0*1*)*1+),"positive example: [0000, 00100, 10110, 1111110, 1001101]  
negative example: [10, 011, 110, 001, 01]"
(a|(b*bb))*,a*|(bb)*|(bbb)*|a*,"Positive example: [a, aa, bbbb, bbb, bbbbbbbb, bbbbb, aaaa, bbbbbbbbbb]
Negative example: [b, ab, bab, bba, abbb, bbba, babbb, abb, aab]"
(a*ba*b)*a*ba*,(a*bab)*b,"positive example: [bab, babbab, aabab, baabab, b]
negative example: [abba, aab, baa, abad, ababab]"
(a|baa)*,(a(baa+)*)*,"positive example:[, aa, abaa, abaaabaa], negative example:[a, ab, aba, abaaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0((0*1*)*)0)|(1((0*1*)*)1)?,"positive example:[0100, 000, 010, 111, 0110, 0000, 000000, 110]
negative example:[1, 0, 10, 01, 00, 11, 1100, 1110]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+1+0+)*,"positive example:[, 010, 0010001100, 010010, 010101010],negative example:[0, 1, 01, 1001, 0110]"
(0|10*1)*,0*(10*10*)0*,"positive example:[101, 10010, 010010, 00100100, 0010100], negative example:[1111, 10110, 1001, 01010, 1100]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+|0(1+0)*)|(1+|1(0+1)*),"positive example:[0, 00, 01, 010, 11, 101, 110, 10010, 111, 001, 01110]  
negative example:[10, 011, 0001, 1010, 0010, 1111, 0111, 1001]"
(a|b)*baa(a|b)*b,a*b*(a*b*(baa)a*b*a*b*(b)),"positive example: [baabaaaabbbbb, abbaababbaaab, aaabbabbbaabb]
negative example: [abababbaaabbb, baaababaaabba, baaabbbaaaabb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(01)*0|1*(10)*1,"positive example:[11, 00, 0, 1010, 010101, 0001010, 111, 1001, 001, 010], negative example:[10, 01, 011, 101, 100, 1100, 0011, 1110, 00011, 11101]"
(a|baa)*,a*(baa+)+|baa+,"positive example:[baa, baaa, baaa, aabaa, baabaa],negative example:[a, ba, aab, b]"
(a|(b*bb))*,(a+bb)*a*(a+bb)*,"positive example:[, abbabbaa, a, bbbaa, abbabba, aa, bbabbbaa], negative example:[abb, bb, aaa, aababbb, aababba, abbaab, bbabba]"
(a|b)*baa(a|b)*b,(a|b)*(baa)+b+,"positive example:[baabb, aabbaab, abbaabbb], negative example:[baaba, aba, baba]"
(a|(b*bb))*,(a|(bb))*,"positive example:[, a, abb, aabb, bb, bba, ab, baa]
negative example:[b, ba, bbb, bab, aba, abba, bbbba]"
(a|baa)*,(a|(baa+)),"positive example:[a, baa, baaa, baaaa, baaaaa],negative example:[b, ba, baaaaaa, ab, bb]"
a(a|b)a(a|b)*,aaa(a+b)*|aba(a+b)*,"positive example:[aaa, aaaab, abaabab, aaaabab, aba, aaab, abaaa, abaab, aabab]
negative example:[a, aa, ab, baa, bab, aab, ba, baaab, abaa]"
0*10*(10*10*)*,(0*1|1(11)*0*|10*|1(101)*|0*10*|01(11)*),"positive example: [110, 0110, 101, 001, 011, 100, 11100]  
negative example: [1111, 1010, 1100, 10, 00001]"
(a|baa)*,"ba{3,}","positive example:[baaaa, baaaaa, baaaaaaaaa]
negative example:[baa, b, ba]"
(a*ba*b)*a*ba*,(a*ba*b)*b,"positive example: [b, bbbbb, ab, abb, aab, aaabb, baab, aabab]
negative example: [a, aaa, abba, ba, aba, aabba, bba, aaabaa]"
(a|b)*baa(a|b)*b,((baa)+)b,"positive example: [baab, baabaab, baabaaab], negative example: [b, baa, baaa]"
0(0|1)*0,(01?)+(1?0)+,"positive example: [00, 001100, 010, 0110, 010100, 0010]  
negative example: [01100110, 0, 111, 10, 01, 0011]"
(a|baa)*,a*(baa)*a*(baa)*a*,"positive example:[baa, aabaabaa, baaaabaa, aaabaabaabaa, abaabaa],negative example:[baabaaa, aabaabaabaa, aaba, baaabaaa]"
(a*ba*b)*a*ba*,b(a|bb)*,"positive example:[b, ba, bab, babb, babba, babbab, baba], negative example:[bb, a, baa, bba, ab, baab, abab]"
(a|b)*baa(a|b)*b,a*b*baaa*b+,"positive example:[baaaab, aaabaaaab, aabaaaabbb], negative example:[baa, bab, abbaaa]"
(a|(b*bb))*,((bb)*(a)*)*,"positive example: [abb, a, bbaa, bbaabbbb, abbba]
negative example: [aba, bbbbb, aaabbb, ba, bab]"
0(0|1)*0,0+((10)*(01)*|(01)*(10)*)0+,"positive example:[00010, 00100, 0010100, 000100010, 0010100100], negative example:[001101, 0010, 101, 0100, 001001]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+1+)*0+)|((1+0+)*1+),"positive example: [0, 1001011, 010, 101, 0101100, 1, 00, 1110, 0100, 1011, 1100, 011]

negative example: [10, 001, 0111, 100, 111, 0010, 0110, 110, 1010, 0011, 1101, 1110]"
