Short Description,regex,Attempt Regex,ChatGPT Output
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|(0+1+)+0+|(1+0+)+1+,"positive example: [11, , 101000111, 0100, 0010, 0111010, 0, 00, 111, 10, 11010, 1010]  
negative example: [001, 100010, 111010, 10110, 010011101, 110, 0011, 1001, 01001, 101101]"
Odd number of b's,(a*ba*b)*a*ba*,a*b+(a|b(a)*b)*,"positive example:[abb, aabbb, abbaab, aabab, abbbb], negative example:[bbbbba, aba, bab, baaa]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*(0|1)*0*,"positive example:[00, 11, 010, 1010, 00100],negative example:[2, 1102, 0101a, a101, 120010]"
even prefix,(ab|ba)*,((aabb|abab|abba|bbaa|baba|baab)*(aa|ab|ba|bb)*)+((ab)?),"positive example:[aabb, abab, abba, bbaa, baba, baab, aa, ab, ba, bb, ababab, baababab, aabbbaa, abababab, abababaa]
negative example:[aba, bab, aaaaa, bbbbb, aaab, abb, baaa, abbb]"
non isolated 'b',(a|(b*bb))*,(a*|(bb*))*,"positive example:[a, aaa, b, bbb, abb, aaabb], negative example:[ab, bba, bab, aab, ba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*a{2}aa*,"positive example: [baaaa, aba, aaaaaa, aabaa, aaabaa, baa, bbaaa, aaa]

negative example: [abaa, aab, bba, aaba, abaaabaa, aaab, ab, baaab]"
even prefix,(ab|ba)*,(ab|ba|aabb|bbaa)*(aabb+bbaa+ab+ba)*,"positive example: [ab, ba, aabb, bbaa, abaabb, babbaa, abbabaab, aabbaaab, babaabbba, baabba, bbaabbaabb]

negative example: [aa, bb, abba, ababab, bbab, abbabaabbb, aabbaabb, abbbbaaa, aaabbb, aabbaaaa]"
even prefix,(ab|ba)*,((a|b)|((a|b)(a|b)(a|b)))*|(ab|ba)*,"positive example:[aa, , bb, aaa, aba, abba, ab, ba],negative example:[a, b, abc, babaa, abb]"
even prefix,(ab|ba)*,(bb|aa|(abab|aabb)*)*((aa)|(bb)|(ab)|(ba))*,"positive example: [aa, bb, ababab, aabb, baba, abab, aaaa, bbbb, aaabab, ababaa, baabab]

negative example: [aaa, bbb, aabba, abaa, babab, aabaa, abba, babaa]"
even prefix,(ab|ba)*,(ab)*((a|b)(a|b))*,"positive example:[aa, bb, abab, abaabb, abba, aabb], negative example:[aaa, bbb, a, b, ab, ba]"
non isolated 'b',(a|(b*bb))*,(a*(b+a*b+)*a*)*,"positive example: [a, ba, aba, aabbaa, abbaa, abbb, baaaa]  
negative example: [bb, abaabab, baa, aaaab, bba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)+(a|b)*aaa*,"positive example:[baaabba, abaa, babaaa, baaabaaa, abbaaa, bbaaabaaaa, abaaaaa, abbabaaa, bbaaa, aabbbbaa],negative example:[aa, abb, baa, ab, aaba, bab, baab, abbaa, bbbabaa, abaaa]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b|baa+)*b,"positive example: [bbab, ab, baaaab, bbbaaab, ab, b]  
negative example: [a, bab, baab, aa, baa]"
even prefix,(ab|ba)*,(bb?|aa|(ab|ba)*)*((aa)?|(bb)|(ab)|(ba))*,"positive example: [aa, , abb, ab, baa, aab, bbb, ababb, aaaab, aabb, baba, ba, bbaa], negative example: [aaa, a, aba, bbba, aaaa, abba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)|(a|b)+(a|b)*aaa,"positive example: [a, b, babaaa, bbbbabaaa, abaaabbaaa, aaaa, bbaaabaaa, bbaaaaabaaa, baaa, abaaaaabaaa, aabaaa, aabbaaa, abaabbaaa, abaaabaaa, bbaaabbaaa, babbaaa, bbaabbaaa, abbbabaaa, abaabaaa, bbaabaaa]

negative example: [abb, , aaa, bba, aba, baabaaabb, bbb, baa, aaabbbab, aaabaaab, baabaaaaaba, baabbbab, baabaaab, aabb, baba, babb, aaba, aaabaaabb, aaabaaaaaba]"
At least one a followed by one b,a+b,[a]*[b]*,"positive example:[, a, aa, aaa, ab, aab, aaab, b, bb, bbb, aabb, aaabb, abbb],negative example:[ba, abba, bbaa, ababa, baa, bba, abab]"
even prefix,(ab|ba)*,((ab)|(ba))*|(a|b)((a|b)(a|b))*,"positive example:[aaa, abb, , ab, aba, bab, baa, aab, aaaaa, aabbb, bbbbb, bbaaa, ba]  
negative example:[baaa, babb, aaaaaa, aabbbb, abaa, abbb, aaaa, aabb, bbaa, bbbb]"
even prefix,(ab|ba)*,(ab(a|b)*)*((a|b)(a|b))*,"positive example:[, ab, aba, abab, baaab, bbab, abba]  
negative example:[ba, abaaa, b, abb, aab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ab]|[ab]+a{3},"positive example:[a, b, baaa, abaaa, babaaa, aaabbaaabbaaa, baaabbaaa, bbbaaa, aabaaa, baabbaaabaaa, aaabbaaa, baabbaaa, abbaaa, baabbaaabaaa, aaababbaaaaabaaa]

negative example:[aaa, bbaaaaab, bbaaaba, bbaaabb, baa, aabb, bbaabb, baba, babb, aaba, bbaaba, abaaba, abaabb, abaaaba, abbbab, abaaabb, abaaaaab]"
non isolated 'b',(a|(b*bb))*,((a|b)*b?)*,"positive example: [aa, , bb, ab, aab, b, a, baa, abab, bbb, abba]  
negative example: [aba, baab, bba, aabb, bab, abaa, abbab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)+)aaa,"positive example:[babaaa, aaaaaabaaa, baaabaaa, aaaabaaa, aaabaaa, aaabbaaa, abbabaaa, bbbabaaa, baabaaa, aaaabbaaa, aabaaa, aabbaaa, baabbaaa, baaabbaaa, babbaaa, baaaaabaaa]

negative example:[, aaa, baaabb, baaaba, baa, aaaba, aaaaaab, aaabb, abbab, aaaabb, aabb, baaaaab, bbbab, baabb, baba, babb, aaba, baaba, aaaaba]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)*(baa)*(a*b*)b,"positive example: [ab, bab, baab, baaab, aabbaaab, abbbaa, aaabbaaab, babbbaaab, baaab, baaab, bbbaaab, abbaab, baaab, baa, b, baaaab, bbbbb]
negative example: [baaa, abaab, abba, aaaabb, baa, baaabb, bbaaaa, aaabbabba, abab, aabab, baabbba]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1*0+1*0+1*)*|(0*1+0*1+0*)*,"positive example:[0, 1, 00, 11, 000, 111, 1010, 10001, 0101010, 110011, 111000, 001, 10101000, 10101001, 1011, 10101, 01010, 000, 0110, 1100, 0111]

negative example:[10, 1101, 0010, 100, 110, 01110, 010101, 101010, 1010010, 0101, 101101]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)+(aaa+)),"positive example:[baaa, abaaa, abbaaa, abaaa, baaabaaa, bbaaa, abbbaaa, bbaaaa, babaaaa, abbaaaa],negative example:[a, bbbaa, ab, aba, baaba, abbaab, bababba, bbaa, aabab, abab]"
At least one a followed by one b,a+b,(a|a*)b,"positive example: [b, ab, aab, aaab]

negative example: [a, ba, aba, bb, aaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(((a)|(b))+)+(aaa)+,"positive example:[aaaaaabaaa, abaaa, baaabaaa, aaaabaaa, aaabbbaaa, aabaabaaa, baabbbaaa, babaabaaa, bbaaa, aaaabbaaa, aabbaaa, baaabbaaa, babbaaa, baaaaabaaa]  
negative example:[, aaa, baaabb, baa, aaaba, baaaaaba, aaabb, abbab, aaaaaaba, aaaab, aaaabb, aabb, bbbab, baabb, baba, baaab, babb, aaba, baaba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)+aaa(a|b)*,"positive example:[ababaaa, abbaabaaa, ababbaaa, baaabaaa, bbaabaaa, aababaaa, babaaa, baabbaaa, abaaa, aaababaaa],negative example:[aab, baa, aaabba, abaaaab, baaa, ababab, a, babbab, abab, aaaabba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa,"positive example:[abbaaaa, bbaaabaaa, abaabbaaa, aabaaa, babaaa, baaabaa, ababbaaa, abaaabaaa]
negative example:[abaaaab, ba, aabbaa, a, bbabab, aa, ababb, baaa, babaa, abaaba, baa]"
non isolated 'b',(a|(b*bb))*,(a*|(b*b)*)*,"positive example: [aa, aaaa, bb, abba, bbbb, abb, baa, aab, bba, bbbbb], negative example: [ab, ba, bbaaa, aba, bab, aabb, bbbbba]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*(b|ba))+)?,"positive example: [a, ba, abba, abaaba, ababab, baa, bbab, aabab, babab, abaabab, bbbaa, babba, babbaabab, bbaaaba, aaababab]

negative example: [abbbbb, baaab, abbabb, abbbabbb, bbababaa, aaabb, aabbaa, bbbbbbb, baaaa, aaaa, bbaaaa, ababaaa, ababbba, abbababba, abaabb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)|(a|b)*(aaa)a*,"positive example: [a, b, aaa, abaaa, baaa, abbaaa, bbaabaaa, bbaabbaaa, babbaaa, bbbaaa, aabaaa, bbaaabaaa, bbabaaaaabbbaaa]  
negative example: [abb, aba, aaabaa, bbaaba, bbaaaaaba, bbaaab, bbaabb, baba, babb, baa, aab, bbaaabb, bbbbab]"
Length 1 or More,(0|1)(0|1)*,[01]*,"positive example:[01, 001, 111],negative example:[2, 012, A]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*((a|b)a*b)*,"positive example: [aa, abaab, abbabab, abbbbab, bab, bbaabab, bbabab, babbab, ababa, aabba, abab, abbb, babab, bba, ba, bb],  
negative example: [bbabbb, ababab, bbbabba, abaabbb, bbba, baabaa, aabbb, aaabab, bbbbb, abaa, babbb, bbababba, aabab, bbaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*aaa(a)*,"positive example:[aaa, baaabaaa, abaabaa, bbbbaaa, abaaaaaa, bbaaabaa, aaabaa, bbaaa, baaaaba],negative example:[baaa, baaaaa, ab, aaab, bbabaa, abbbab, aa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)*aaa*,"positive example:[aa, baa, abaa, bbbaaa, aaa, aaba, bbaa, baaa, aaaa, baboaa],negative example:[ab, b, aaaab, abab, baaab, abb, abaab, bba, aaab, baaabb]"
At least one a followed by one b,a+b,[a]*[b],"positive example: [b, ab, aab, aaab, aaaab], negative example: [a, ba, aba, aaba, bba]"
even prefix,(ab|ba)*,(ab|ba)*(aa|bb)*(ab|ba)*,"positive example:[, ab, aaababab, aaabbaab, aaababba, aaaaaa, aaaabb, aabbbb, aabbaa, aabb, aaaa, bbbaab, bbabba, abba, baab, bbabab, abab, baba, bbbaba, aaabbaba, ba]  
negative example:[bbabbab, abb, aba, bab, bbababb, bbaaabb, bbabbaa, baa, aaabbbabaa, aaabbbbb, aaabaab, aaabaaa, abbbabb, bbbbabb, aababab, bbaab, bbbbb, bbaaa, bbbba, aabaabb, babbabb, bbababa]"
At least one a followed by one b,a+b,(a*b),"positive example: [b, ab, aab, aaab], negative example: [a, ba, bb, aabb, abba]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*baa*b*(a*bb*)*,"positive example:[baa, baaab, abaabb, baaabba, bbaaabaaa, babbaa, abaaab, baaabbaa, bbaabba]
negative example:[a, ab, baaa, bba, bbabba, aab, baaabaaa, bbaab, aaabb]"
even prefix,(ab|ba)*,((ab)*(ba)*)*(a|b)?,"positive example:[abb, , ab, aba, bab, baa, ba, abab, baba],negative example:[aaa, baaa, babb, bbaaba, aab, abaa, abbb, bbbb, aa]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b+a*)*,"positive example: [ε, abaa, aaab, bbbb, baab, aa, aba, abb, baabbb, baa, aab]
negative example: [aaa, a, b, baa, bb, abab, aaaa, bba, ab, bbab]"
4 | #0,1*(01*01*01*01*)*,(0|1)*,"positive example:[0, 1, 01, 10, 1100], negative example:[2, 01I, A, 1102, 0 1]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*[b][aa][ab]*[b],"positive example:[baaab, baab, baaabab, bbbabab],negative example:[babba, abaa, aab, bbbaa, aabba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(a|b)(a|b)(a|b)*(a{3,})*","positive example:[aaa, baa, abbbb, aabaaaa, babaaaaa],negative example:[a, b, aa, bb, aba, ba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(a|b|aa|bb|ab|ba)*a{3,}","positive example:[baaa, aaa, bbaaa, ababaaa, aababaaa, aaaaaa, abababaaa],negative example:[bb, aab, bab, ba, bbaa, aabaa, aa, aaaab]"
Odd number of 1s,0*10*(10*10*)*,((0|1)*),"positive example:[00, , 11],negative example:[2, 01a, 123]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*|1*|((1+0*1+)*|(0+1*0+)*)*)*,"positive example: [00, , 11, 111, 000, 101, 010, 11011, 00100], negative example: [10, 01, 1100, 0011, 1010]"
even prefix,(ab|ba)*,(ab|ba)*(aabb+bbaa+ab+ba)*,"positive example: [abab, baab, bbaa, aabb, abababa, abbaabba, bababaa, aabbaaab, bbabab, ababab]

negative example: [aabaa, bbbb, abbaba, aabab, babab, baa, aaa, ababaab, baabb, aab]"
At least one a followed by one b,a+b,(a*(b))*,"positive example: [abb, aab, ab, aaaaabbb, abababababbbbb], negative example: [aaa, baaa, bbabb, bbba, aabaa]"
At least one a followed by one b,a+b,(a)+(b)*,"positive example:[aa, aab, aaaa, aabbb, aaaaa, a],negative example:[b, ba, abb, aaba, bab, ababab, bba]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01+0)|(10+1)|(0*10*)|(1*01*))*,"positive example: [00, 11, 01, 10, 001100, 111000111, 010101, 110011]
negative example: [01, 10001, 1111110, 00000011, 010110, 1010101]"
Odd number of 1s,0*10*(10*10*)*,(0*10*)*,"positive example:[, 10, 1010, 110, 0010, 111, 100],negative example:[1, 00, 0000, 001, 011, 0101]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1?|0|1+(0*1*)*1+|0+(0*1*)*0+,"positive example:[1, 0, 10, 1100, 11110, 0001100]  
negative example:[1101, 0011, 1011, 0101111, 11100]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b*)+a+a+a,"positive example:[aaa, aaaa, bbaaaa, abaaa, abbaaa, baaabaaa], negative example:[b, aaba, abbb, aaabbbb, bbaa, abaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*aaa,"positive example: [aaa, baa, bbaa, bbaaa, abaaa, bbbaaa, aaaaaa, abbaaaa], negative example: [bba, bab, aa, abab, abba, aabaa, baaab, aaaab]"
non isolated 'b',(a|(b*bb))*,a*|((a|b)*bb(a*b*)),"positive example: [aa, , bbabbabaabbab, aabbbbaaabbb, bbabbabababba, babbab, a, bbb, ab, bba, abbb, aba, abb, aaabbb, abba]  
negative example: [bbbbaaabaaaba, baa, bbababbabbbabab, aabab, bbababbabbabab, ba, abab, baaab, babbabab, ababab, aabba]"
Length 1 or More,(0|1)(0|1)*,(0*1+)*(1*0+)*,"positive example: [001100, 01, 100100], negative example: [10, 1110, 001]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*(0|1)*1*|0*(0|1)*0*,"positive example:[1, 111, 000, 101, 010, 110, 0010, 1001, 0110],negative example:[1010, 0101, 1100, 0011, 11001, 00110]"
non isolated 'b',(a|(b*bb))*,(a*(bb)*b*a*)*,"positive example:[aa, , bb, abba, aabbaa, abbaa, abb, aaabba, ba, bbaab, ababab]
negative example:[aba, aabbab, baaa, abab, aababb, bbab, aaaab, babb, abaaa, baab]"
even number of 1's,(0*10*10*)*|0*,0*(0*1*)*0*,"positive example:[0, 01, 0011, 000, 111, 1100],negative example:[10, 101, 1001, 1110, 011]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1|0|1+(0*1*)*1+|0+(1*0*)*0+)*,"positive example: [0, 1, 00, 11, 101, 1101, 111, 000, 010, 0110], negative example: [2, 012, 1102, aba, 0011, 10110a]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)|((a|b)a*ba))*,"positive example:[, aba, bab, baab, abab, bb, baba, abbab, ababa, bbaab, bbbb, abba, aabaa, ababb, bbaabab],negative example:[aa, aabaaab, abaabb, baabab, bbaaa, abbbba, baabb, abaaaa, bbaba, bbbaa, abbbbb, babaa, aabbaa, abbbaa]"
even prefix,(ab|ba)*,((aa|bb|ab|ba)?)*,"positive example:[aa, , bb, aaaa, bbbb, ab, ba, abab, baba, abba, baab, aabaab, bbaabb],negative example:[aaa, bbb, ababaa, aabbb, aaabb, bbbaa, abaa]"
At least one a followed by one b,a+b,a*b,"positive example:[b, ab, aab, aaab, aaaaab],negative example:[aa, bab, aabbabbaa, bbb, baa]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(ba*b+|a*)*,"positive example:[b, ab, ba, abb, bbaaa],negative example:[aaa, bab, aaab, baa, bbbabba]"
contains 'bab',(a|b)*(bab)(a|b)*,(a|b)*|(a|bab)*(b|aba)*,"positive example: [aa, , bb, ab, bab, aba, abab, baba, ababa]  
negative example: [aabb, baab, aaab, bbb, abbaa, babaab, ababab, ba, abaa]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*|0*|1+(0+1+)*|0+(1+0+)*,"positive example:[, 0, 00, 1, 11, 000, 1111, 01, 1010, 010, 11001]  
negative example:[101, 0001, 1100, 1110010, 0101, 101101]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa+,"positive example:[aaabaaa, baaa, abaabaaa, bbaaa, abaaaaaa, babbaaaa, bbaaabaaa, abbaa, bbaaaaa, baaaabaa, abaa, abbaaaa, aabaaaaa, babaabaaa, aabaababaaa],  
negative example:[baabbba, aaabbaa, bbaabb, aaaaab, abaab, abbababa, aaaaaa, aba, baaabb, baab, ababab, abab, abaaabaa, bbaaaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa*,"positive example:[baa, aba, baaa, abaa, aaaa, babaa, baabaa, baba, abba, abaaaa, abaabaaa, aabaa],negative example:[aa, ab, bbb, abab, abb, aba, bb, baaab, abbaaa, aabaa, bab, babb]"
Odd number of b's,(a*ba*b)*a*ba*,((a|(bb))*b[a]*)*,"positive example:[, bb, abaa, aaab, abbb, ba, bba, ab, b, aababba]  
negative example:[aaa, a, aaaa, bbb, abbba, aa]"
even prefix,(ab|ba)*,(a|b)*(ab|ba|aa|ab)*,"positive example: [aa, aab, baa, aba, bab, abaa, baba, abba, aaaa], negative example: [b, abb, bbb, bba, a, ababab, baaaa]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0|(0|1)*|0,"positive example:[0, 00, 11, 01, 101], negative example:[2, 10, 12, 110, 000]"
even prefix,(ab|ba)*,(ab|ba)*(aa|bb)?,"positive example:[aa, bb, baba, , ab, abba, baab, ba, abab, abaa, baba, babb]

negative example:[abb, bbaabaa, aaa, bbba, aba, bab, bbabb, aab, baa, bbbb, a, bba, abbaab]"
Odd number of b's,(a*ba*b)*a*ba*,(a*)b+((a*)|(b(a*)b))+(a*),"positive example:[babbb, abbb, baabb, baabbbbb, aaababaa, baaabab, bababaa],negative example:[abb, baab, bbbab, aaaab, abbba, baaabb, bbba]"
Odd number of b's,(a*ba*b)*a*ba*,a*(b(a*ba*b)*)*a*,"positive example: [bb, aa, , aabaaabaababb, aabaaabaababbbaa, aabaaabaababbbbb, aabaaabaaba, b, aba, aaabbaa]  
negative example: [babaabaaab, baaab, abbb, bab, aabbaabb, abb, baabaab]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*(1+0+)*|1*(0+1+)*,"positive example: ['', '0', '00', '1', '10', '11', '110', '1001', '1110'], negative example: ['01', '001', '010', '1011', '0110', '11001', '00110']"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+|0+)*,"positive example:[1, 0, 111, 000, 101, 010101],negative example:[10, 0011, 1100, 1010, 011]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+|b*a*)+,"positive example:[aa, aaaa, ab, baa, bba, baaa, a, bbaa],negative example:[b, bab, ababab, bb, abab]"
even prefix,(ab|ba)*,(aa|ab|ba|bb)*,"positive example: [aa, , bb, aaa, aaaa, abba, abab, baba, bbbb]  
negative example: [aaa, bbb, aaab, bbaaa, aabab, baaa]"
Odd number of b's,(a*ba*b)*a*ba*,(a|(ba*b))*b+a*,"positive example:[bbba, baaabb, babba, bababa, aabbb, bbaabb]  
negative example:[bbbab, bab, aabaaaba, bbaabbbab, babbbbab]"
Odd number of b's,(a*ba*b)*a*ba*,a*b+(bb*|a*)*,"positive example:[ab, aab, abb, aa, aaab, aaaaaa, abbb],negative example:[b, aaa, bb, baa, ba, aba, abba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*|b*)*(a)(a)(a)(a*),"positive example:[bbabaaa, aabbaaa, aabaaa, abaaa, aaabbaaa, aaabaaa, aaaaabaaa, abbaaa, aaa, baa, aaaabaa, baaabaaa]  
negative example:[abb, aa, aba, aaba, aaabb, aaaaaba, aaab, aabb, bbab, aab, bbaaa, baaab, ab]"
non isolated 'b',(a|(b*bb))*,((b(b*))|a)*,"positive example:[aa, , bb, a, b, abba, baa, abb, bbbb, aaa],negative example:[aab, baab, abab, bababa, aabbb]"
At least one a followed by one b,a+b,(a|b)*a*b,"positive example:[a, b, ab, aab, bab, aaab, bbab, bbaaab, abbab, bbbbaaab], negative example:[baa, aaba, bbba, bbbb, ba, abab, abb, aabb]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba*)*,"positive example:[bbbba, bbbaba, abbba, abbaba, aaabaaa, abbb, baababb, bbbb],negative example:[abb, aaa, bbbbb, bbba, bbb, baa, abbbb, abba]"
non isolated 'b',(a|(b*bb))*,((bb*)*a*)*,"positive example:[aa, , bb, a, bbb, bbaa, bbbaa],negative example:[bab, abab, ba, aabbb, ab, bbaab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b)*(aaa)*,"positive example: [aaa, aba, baa, bbaaa, abbba, aabbaaaa]  
negative example: [aab, babb, bb, abb, bbaa]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+b*a*|b*a*,"positive example:[a, aa, bba, aab, aaba, b, aabbba, aaa], negative example:[abb, babb, aba, aabba, abba]"
Odd number of b's,(a*ba*b)*a*ba*,(a|b(bb)*)*,"positive example: [aa, a, b, bb, ab, bbb, abb, aabb], negative example: [ba, abba, bba, bab, abbb, aabbb]"
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*b*)*,"positive example:[, b, a, ab, bab, aabb, aba, aaabbaa, abab, baa]  
negative example:[aab, bba, bbb, abaab, baaab, aaaa]"
even prefix,(ab|ba)*,(ab|ba)*(aa|bb)*,"positive example:[, ab, abaa, abbb, aaaa, aabb, bbaaaa, bbaabb, bbbbbb, bbbbaa, bbbb, bbaa, babb, baaa, ba]  
negative example:[bbbab, abb, aba, bbbaabbaa, bbabb, bab, baa, bbaba, aabba, aaaaa, aaaab, aabbb]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0+0+0)|(1+0+0)|(0+1+0)|(0+0+1)|(1+1+0)|(0+1+1)|(1+0+1)|(1+1+1)|(1+1)|(0+0)|(1+0)|(0+1),"positive example:[000, 100, 010, 001, 110, 011, 101, 111, 11, 00, 10, 01],negative example:[1110, 0011, 0101, 0001, 1100, 1010, 11111, 0100, 00000, 1000, 11100, 1011]"
non isolated 'b',(a|(b*bb))*,(b(b*)|a)*,"positive example:[aa, , bb, a, ab, ba, bbb, aab, aaa, b], negative example:[bab, abb, bbab, aabbb, baaa]"
non isolated 'b',(a|(b*bb))*,(a*|(b*bb*)*)*,"positive example: [aa, , bb, a, bbb, abab, aabbaa, ababab, bbbb], negative example: [bba, aab, abb, bab, bbaaa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*0*1*)*(0*1*0*)*,"positive example:[00, , 11, 101, 010, 001100, 1100],negative example:[0110, 1001, 1112, 01010]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*0*1*)+(0*1*0*),"positive example: [101, 010, 1001, 0110, 1101], negative example: [011, 0000, 111, 0011, 1100]"
Every b followed by two or more a's,(a|baa)*,(a)*(b|aa|a*)*,"positive example:[aa, , bb, aabaa, a, ab, aab, aaa],negative example:[bba, abbbb, baa]"
At least one a followed by one b,a+b,(a|b)*,"positive example:[aa, , bb, ab, ba, abab, aabb, bbaa], negative example:[abc, aac, bb1, b2a, abI, !ab, a b, b_a]"
even prefix,(ab|ba)*,((a|b)(a|b))*,"positive example:[aa, bb, abab, baba, empty string],negative example:[aaa, bbb, aba, baa]"
At least one a followed by one b,a+b,[ab]*[a][b][ab]*,"positive example: [bab, aab, bbaabab], negative example: [a, baaa, b]"
Odd number of b's,(a*ba*b)*a*ba*,(a|b|bb)+,"positive example: [a, b, bb, ab, ba, aba, bbb, babb], negative example: [c, aab, bba, abbb, aabbb]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)*(0|1)*(0|1)*,"positive example:[0, 1, 00, 11, 010, 101, 111, 000, 001],negative example:[2, 012, 1102, 01a, abc456]"
first and third,a(a|b)a(a|b)*,a(a|b)+a(a|b)*,"positive example: [aaa, aba, aabbaaa, abbbabb, aabaa, abaaa, aabab, ababab], negative example: [aa, , a, ab, baa, bbb, abbb, aabb, ba, abab, abba]"
contains 'bab',(a|b)*(bab)(a|b)*,(bab)*(a|b)*(bab)*,"positive example:[bab, baba, abbab, babbab, ababab, bababab],negative example:[ba, aba, bbb, aab, babaa, bba]"
non isolated 'b',(a|(b*bb))*,(((b*bb*)|a)?)*,"positive example: [aa, , bb, ab, aabb, bba, aaa, abba, bab], negative example: [aaaab, baab, abab, bbbba, abaa]"
Every b followed by two or more a's,(a|baa)*,(a)*((b|aa)*a*)*,"positive example:[aa, , bb, aaaa, aab, abba, ab], negative example:[b, bab, baaa, abb, babba]"
At least one a followed by one b,a+b,a+b+,"positive example: [ab, aaabbb, aab, abb, aaabb, aabb], negative example: [babbaa, bb, , aaa, aba, abbba, aaabaa, abab, bba, ba, a, b, abba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b)*aaa*,"positive example:[baa, abaa, bbaaaa, abbaaa, baabaa, aabbaaaa, bbaa, ababaaa, bbbbaaa, abaaba], negative example:[b, a, aaa, baaab, ab, bbb, aaab, bab, ababb, aababb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(a|b)*(a|b)*a{3,}","positive example:[baaa, abaaaa, bbaaaa, abbbaaa, bbaaabaaa]  
negative example:[abab, baab, abbab, aaaab, baabbaa]"
