Short Description,regex,Attempt Regex,ChatGPT Output
Every b followed by two or more a's,(a|baa)*,"((ba{2,}){1,2}|a{1,}){1,}","positive example:[aa, baa, baaabaaa, abaabaa, baaa], negative example:[bb, , ab, ababbb, abaabbb, abaaabb, abaabba, aaababaaba, ba, bba]"
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(ba*b)*,"positive example:[b, ba, bba, aba, bab, abb, abba, bbaba, ababb]  
negative example:[aa, bbaaa, baa, abab, aab, baaa, aaab]"
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(ba*b)*a*,"positive example:[bba, ba, aba, bbaa, aabba, bab, aabbaa, bbaaabbba], negative example:[babab, baa, abb, abba, bbbbabab, aab, baaab, aaa]"
Odd number of b's,(a*ba*b)*a*ba*,(a)*((a)*b(a)*b)*b(a)*,"positive example:[bbba, aabaabb, bbabbaaabaabb, bbabbbbb],negative example:[aa, baababaabaaab, bbbaba, aabbbba, baababaabaaabbbb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab){2}(ab)*aaaa*,"positive example:[abababaaaa, abababaaaaaa, abababaaa, abababaaa, abababaaaaaa]  
negative example:[aaa, ab, abababa, ababaaabb, baa, ababaaaba, abababb, bbb, aab, abaaa, abaab, ababaaaaab, ababaaba, abbb, abba, ababaabb, ababba, ababbb, ababab, aa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ba|ab)(a*b*a*)aaaa*,"positive example: [bbabaaa, aaaaaaabaaa, bbaaaaa, aaaabaaa, aaaaaaa, aaabaaa, aaabbaaa, aaaaabaaa, aabbbaaaaa, aaaaabbaaa, bbaaabaaa, bbabbaaa, bbaaaaabaaa, bbbaaa, aabaaa, aaaabbaaa, bbaaabbaaa, bbbbbaaaaa, bbaabbaaa, bbaabaaa]

negative example: [aaa, bb, bbaaaaab, aaaba, aaabb, aaaabb, aabaaaaab, bbaa, bbbaaaaab, bbba, bbaaba, aababa, aaaaaaab, bbbbbaaabbb, aa, bba, a, bbaaaba, b, bbaaabb, aaaaabb, aaaaaba, aabbbaaabaa, aaaa, bbaabb, aaba, bbbaabb, bbbabb, bbabb, bbbbbaa, bbaba, aabaaba, aaaaba, aabbbaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ba|ab)(a*b*a*b*)aaaa*,"positive example:[aaabbaaa, aaabaaabaaa, bbababbaaaa, aabbaaaa, bbabbbaaabaaa, bbaabaaa, bbababaaa, bbabaaabaaaa, aaaabaaa, aaabaabaaa, aaababaaa, bbaaaaaaa, bbaabbaaa, aaabaaaaabaaa, bbaaabaaa],negative example:[bbbb, aaaaaa, aaaaa, bbaaaba, bbabb, aaabb, aaaa, aaabab, bbaaabba, bbbba, b, aaabaa, bbabaa, a, aaaaaba, bbabaaa, aaabaaaba, aa, aaabaaa, bbaab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ba|ab)(a*b*a*b*a*b*)aaaa*,"positive example: [aaabaabbbaaabaaaaa, aaaabaaa, aaabaabaabaaa, aaabababaaa, aaaaabaaa, aaabaaababaaa, aaabaabaaaaabaaa, bbaaabaaa, bbabaabbbaaa, bbbaaa, bbaaa, aaabaababbaaa, aaaabbaaa, aaabaaaaababaaa, bbaaabbaaa, bbabaabaaabbbaaa, aaabaabbbaaa, bbaabbaaa, bbabaabaabaaa, bbaabaaa, aaabaaabbabaaa, bbabaaabbabaaa, aaaaaaabaaa, aaaaa, aaabaabaaabbbaaa, bbabaabbbaaabaaaaa, bbababbabaaa, aaaaabbaaa, aaabbbaaa, bbabaababbaaa, bbabbbaaa, bbaaaaabaaa, bbbbaaa, aaababbabaaa, aaabaababaaa, aabaaa, aabbaaa, aaabaabaabbaaa, bbabaaababaaa, bbabaabaabbaaa, bbabababaaa, bbabaaaaababaaa, bbabaabaaaaabaaa, bbabaababaaa]

negative example: [, bbbabaaba, bbbabaabb, aaaabb, aababbba, bbbaaaaab, aaaaaaab, aa, bba, bbbabaaaba, bbbabaaab, aababaaabaaaaaba, bbbabaaabaaab, bbbababa, bbbababb, bbabb, aabbbabaa, bbaba, bbbbbabaaaaabbbaa, bbbbbabaa, aababaabb, aababaaba, aaa, bb, aababaaababa, bbaaaaab, aaaba, aaabb, aabbbabaaaaabbbaabaa, aababaaabaaab, bbbaaabb, bbbaaaba, aababaaaba, aabaaaaab, bbbabaaababb, bbaa, aabababb, bbba, bbbaa, aabbbabaaaaabbbaa, bbaaba, aabababa, bbbabaaabaaaaabb, aababaaab, a, bbaaaba, b, bbaaabb, aaaaabb, aabaa, aaaaaba, bbbabbba, aaaa, bbaabb, bbbaaba, aabaaabb, aaba, bbbaabb, aabaaaba, aabaaba, aaaaba, aabaabb, bbbbbabaaaaabbbaabbb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ba|ab)(a*b*a*b*a*b*a*b*a*b*)aaaa*,"positive example:[aaabaaaaa, bbaaabaaaaa, bbabaababaabaaa, aaababbaa, aaaaabaaaa, bbabaaaaabaaa, aaabaabaabaa, bbabaabaaaa, abababababaaa, aaabaababaaba, abaaaa, bbabbaaa, bbaaaaababaa, aaabaababaaabbaaa, aaaaaa, bbabaabababab, aaabbaaa, aaabbbabaaa, bbabaabababaabaa, bbabbbababaa, aaabababaabbbaaa, aaabaaabaaa, bbabaababaaabaaa, aaabaab, bbabaababaababaa, bbababaaa, aababaaaaa, aaabaaa, bbabaaabaaaa, aababababaa, bbabaababaaaa, bbabaabad, bbabaababababaaa, aaaabaabaa, aaaaabababaaa, aaabaabaabbbbaaa, aaabaa, bbbabaaa]

negative example:[abbaa, bab, ab, baabaa, bbb, bbaa, aabaab, bbaaba, a, abaaa, bbaab, baa, aba, ababa, b, bbaba, abba, bbbabab, aa, abaabb, bba, aaab, abaaaba, aaaaaba, abaabab, baab, aaaaaaabab, abaab, baaba]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|bb)*,"positive example:[ab, ba, bba, abbb, aab, b, bbaba, bbbbb, baabb],negative example:[bab, baab, abb, aba, a, bbbab, aa, bbaaa, aabbbb]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|bb|bab)*,"positive example:[b, ba, bab, bbb, aaba, aaabab], negative example:[aa, bba, babbba, ababb, bbbba, abbababb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)(b*)a*(aaa),"positive example: [ababaaa, aaaaaaa, baaabaaa, bbbbaaaa, bbbbbbaaa]


negative example: [aaab, ba, babaaa, aaaab, baabaa, bbbab, abba, aabaa, bbbbaaaabaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)(a*b*)a*(aaa),"positive example:[bbaaabbaaa, aaabbaaa, aaaaaaabaaa, aaaaaaa, bbabbaaa, aaabaaa, bbaaaaa, bbaabbaaa, aaaaabbaaa, aabaaa, aaaaabaaa, aaaaaaa, aaaaaaa"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)(a*b*)a*b*(aaa),"positive example: [aabbabaaa, aaaabaaa, bbaabaabbaaa, aaaabaabaaa, aaaabaaabbaaa, aaaaababaaa, bbbbabaaa, bbbabaaa, aaaabaaabaaa, aaaababaaa, aaaabbbabaaa, aaaaabbabaaa, bbaaa, bbaabaaabaaa, aaaabaaaaabaaa, bbaabaaaaabaaa, bbaabaabaaa, bbaabbbabaaa, bbaaabbabaaa, bbaabaaabbaaa, bbaaaaababaaa, bbababaaa, bbaabaaa, bbaababaaa, aaababaaa, aaaaa, aaaababbbaaa, aababaaa, aaaaaaababaaa, bbaababbbaaa, bbaaababaaa, aaaabaabbaaa]

negative example: [aaa, , bb, aaababbba, aaaba, aaabaabb, aaabaaba, aaaaaaaba, aaaabb, bbabaaab, bbaaaaaba, bbaaab, bbababaa, bbabaa, aabb, aaababaaba, bbabaaaaaba, bbaa, aaabbbababaa, bbba, bbaaba, aaabaaabb, aaabaaaaaba, aa, bba, a, bbabbbababbb, bbabaaabb, b, bbaaabb, aaabaaab, aaababaa, aaaaabb, aaababaaaaa, aaaaab, aaabaa, aaaa, bbaabb, bbabaaba, bbbb, bbabaabb, aaba, bbaba, aaaaba, bbababaaabb, bbababbba, bbababaabb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)(a*b*)a*b*(aaa)a*,"positive example:[bbabaabbaaa, aaabaabaaa, bbaaaaa, aaaabaaa, aaaaaaa, aaaaabaaa, bbabaaaaabaaa, aaabaaabbbaaaaa, bbabaaabaaa, bbaaabaaa, aaababbaaa, bbbaaa, aaaabbaaa, bbaaabbaaa, bbaabbaaa, aaabaaabaaa, aaabaaaaabaaa, bbababaaa, bbaabaaa, aaababaaa, aaaaaaabaaa, aaaaabbaaa, aaabbbaaa, bbabaabaaa, bbabbbaaa, bbaaaaabaaa, bbbbaaa, aaabaabbaaa, aabbaaa, aabaaa, bbabaaabbbaaaaa, bbababbaaa]

negative example:[aabaaabbba, aaaaaaaba, aabaaaaabaaabaa, aaaabb, bbbaaab, aabbba, bbbaaabbba, bbbaaaaabaa, aa, bba, bbbabb, bbabb, bbbaba, bbaba, aabaaabaaba, aaa, bbbaaabaabb, bb, aabaaababa, bbbaaaaabaaabbb, aaaba, aabaaaaabaa, aaabb, bbaaaaaba, bbaaab, bbaa, bbbaa, bbaaba, aababb, bbbaaababb, aababa, aabaaab, a, b, bbaaabb, aabaaabaaaaab, aaaaabb, aabaa, aaaaab, aaaa, bbaabb, bbbaaba, bbbaabb, bbbbba, bbbaaabaaaaab, aabaaba, aaaaba, aabaabb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|aa|bb|ba)a{3},"positive example:[abaaa, aaaaa, bbaaa, baaaa]  
negative example:[aaa, aa, , bba, bb, a, b, bbaaabb, aaaaaaa, aaabaa, bbabbb, aaaa, bbaabb, bbbb, bbaa, aaba, aaaaba]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*ba*b)+a*,"positive example:[bbaab, baaba, bbaabbaa, babab],negative example:[bbb, ab, baa, aaba]"
Every b followed by two or more a's,(a|baa)*,(baaa*)*,"positive example:[, baaa, baaaa, baaaabaaa, baaabaa]
negative example:[b, baa, bb, aaaa, bab, ab, baaba, bac, bbb]"
Every b followed by two or more a's,(a|baa)*,a(b(aa)+)*,"positive example:[a, abaa, abaaaa, abaaaaaa, abaabaa, abababaa, abaaabaa], negative example:[aaa, bb, aab, abaaa, ababb, abbbb, abaab, abbaaba, abaaba, abaabb, abaaab, ababa, abaaaabb, ba, ab]"
Every b followed by two or more a's,(a|baa)*,(a(b(aa)+)*)*,"positive example:[, abaaa, abaaaaaa, aaabaabaa, a, abaa, ababaaaaa]
negative example:[baabba, bb, ab, aaba, aaaba, aaababb, abaabbb, ababc, abaabba]"
Every b followed by two or more a's,(a|baa)*,a*(baa),"positive example: [baa, abaa, aabaa, aaabaa, aaaabaa]  
negative example: [baba, baaaa, baabb, aa, babb, baaab, aabbaabba, bbb, baaba, aab, ba]"
Every b followed by two or more a's,(a|baa)*,baa|a*,"positive example:[aaa, , baa, aaaaa, aa],negative example:[abb, bba, b, bbb, aaab, baba, baaaa, baabb, babb, baaab, baaba, abaabba, ba, ab, abaa]"
Every b followed by two or more a's,(a|baa)*,a*(baa+)|a*,"positive example:[aa, , aabaaaa, a, aaaa, baa, baaa, baaaa],negative example:[baabb, baba, babb, aabbabbaa, bbb, baaba, aab, baaaab, ba, ab, b, aabab]"
Every b followed by two or more a's,(a|baa)*,(a*(baa)*a*)|a*,"positive example: [aa, , aabaaaaa, baabaa, a, baabaa, aaaaa, aabaa, baaaa]

negative example: [bb, baaaba, baaab, aaba, baaaaabb, aabaabbabaa, aabaab, baababb, baababa, baabbbb, ba, ab, bab, bbaa, aba]"
Odd number of b's,(a*ba*b)*a*ba*,(b(abb|bab|bba|a)*)|((abb|bab|bba|a)*b),"positive example:[babab, babbabab, babbaabbaabba, bababababab, babbaab, babbbaabab, bbaabab, babbabbaab, bababbbbaa, babbbaabbaba, babbab, babbbaa, bababbbabab, abb, babbabba, babbaabba, babab, babbbabb, babbbaab, babba, bababbbab, babbaababa, babbbabab, babbaabbb, babbbaababba]  
negative example:[baba, babbb, abbaaab, bababbbbaaba, bababbaabb, bababbbaabb, babbaabbab, babbabaaa, baababb, baa, babaabbba, baba, babaabbbabba, bababbbabaaa, bababa, babbbaabbaab, bababb, babbbb, bababbaaa, bababbbaabab, bba, babbabbbabba, abba, bababbbbab, babaabab, bababbaabaab, babaab, babbbabba, babbbaabbaa, babbaa, banana]"
Odd number of b's,(a*ba*b)*a*ba*,b(abb|bab|bba|a)*|(abb|bab|bba|a)*b|(aba|baa|aab),"positive example:[baa, aba, abb, abbabab, abbabababa, babbab, bbaa, aaba, bababab, abbaa, abaaba, aababb, abaababaa, abababab, aaabab]

negative example:[abba, ab, bba, bbb, b, aaa, baaa, a, aabbb, bbab, baab, ababab, bababa, aaaaa, bbbab]"
Odd number of b's,(a*ba*b)*a*ba*,b(abb|bab|bba|a)*|(abb|bab|bba|a)*b|(aba|baa|aab|bbb),"positive example:[babbbabababbbabb, aab, babbbababaaabbb, babbbabababbabaa, ababbbaabbb, babbbabababbab, abbabbb, aaabbb, abbb, bbab, baabb, babba, bbbaa, ababbbaabbababbabb, babbbabababbababb, baabbbbabababab, ababbbaabbaaabababbb, baabba, babbbabababbbaaa, bbaabbb, aba, ab, babbbaab, b, bbb, babbbabababbbbab, babbbabababbbabababb, baabbbbaa, ababbbab, abababbb, babbbabababbba, babbbabaa, bbbabba, babbbababaab, babbbabababbaabbb, babbbaaabbb, baaaabbbbababbba, babbbba, babbbabababbbaabb, baabbbbababaa, babbbabbab]

negative example:[bab, abaaa, abaab, bbababbababb, bbababbbaababbababbbbbb, bbbabbabaa, bbababaa, bbabaaabaa, abba, bbabababbbaaabaa, bbbaabaa, bbabababab, ababa, ababbbb, bbababbbbb, bbbabbaba, bba, bbababbbbabaa, bbabaab, bbababbbaaa, bbababbbaababbababbbbaabaa, bbababbbaababba, bbababbbaababbabaaabbbb, bbbabb, bbababbbaababbababbbbabbb, abbbbb, bbabababba, bbbabbabababbabaaa, aaa, bb, bbbabbabababbabaab, bbabababbbbb, bbabababbbba, bbabababbbababb, bbababbbabb, bbaa, bbababbbaababbabaaabbbbba, bbabababbbabaa, bbababbbaabaa, bbbabbaabaa, bbabababaabaa, bbababbbaababbababba, bbbabbabababbababb, a, bbabababbbaab, aabaa, bbbabbbb, bbabababbbabbab, bbbabbbabbaa, bbbbb, bbbba, bbababbbaababbaaa, bbababbbaababbaab, bbbabbababaaabbb, baabaa]"
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*b)*ba*,"positive example:[abab, baa, aabaab]
negative example:[ab, baaa, aab]"
Odd number of b's,(a*ba*b)*a*ba*,a*(a*ba*b)*ba*,"positive example:[baa, aabaa, bab, aaababbba], negative example:[ab, bbaa, aababbb, ba, babba]"
Every b followed by two or more a's,(a|baa)*,"(a)*ba{2,}|a*","positive example:[, aa, aabaaaa, aaaa, a, baa, aaaaab, baaa, aaab]  
negative example:[baba, baabb, babb, aabbabbaa, bbb, aab, baaaaba, baab, ba, ab]"
Every b followed by two or more a's,(a|baa)*,"((a)*ba{2,})|a*","positive example:[aa, , aabaaaa],negative example:[baba, babb, baaba, aab, aabbbbab, bbaa, baab, baaaabb, ba]"
Every b followed by two or more a's,(a|baa)*,"(a)*ba{2,}(a)*ba{2,}|a*","positive example:[aa, , aabaaaabaaaa, baabaa], negative example:[bba, bbb, aab, baabaaaabb, baababb, baababa, baab, baabaab, baba, babb, aabaaaabbaabba, aaba, baaba, baabaaba, aabaaaa, baabbb]"
Odd number of b's,(a*ba*b)*a*ba*,(a|bb|abab|bab)*b(a|bb|abab|bab)*,"positive example:[ababba, bbabaa, baaaab, baab, babbabab, babbbbab, bbbaa, abababba, abba, bbaabbb],negative example:[baabbab, baabaa, bbaab, babaabbb, baabb, baababba, aabbbbb, ababba, bababaa, bbaabab]"
Odd number of b's,(a*ba*b)*a*ba*,(a|bb|abab|bab|baba)*b(a|bb|abab|bab|baba)*,"positive example:[bab, abab, baa, ababb, aab, babab, bbab, ababaab, bbaa, babbaa], negative example:[ab, abb, ababbb, baaa, ababbab, bba, babbab, bbaab, bbbbb, aba]"
Odd number of b's,(a*ba*b)*a*ba*,(a|bb|abab|bab|baab)*b(a|bb|abab|bab|baab),"positive example:[bbbababa, babaabbababba, baabbabaababa, babaababbaab, ababbababa, babaabbbaaba, babbababba, ababaababba, babaabbaba, babba, babaabbaabba]  
negative example:[babaabbba, ababb, babbbaabbabab, babbabbaaabaa, babbaabbba, babbabbabaa, baababba, babaabbbaab, babbaabbbab, babaabbab, babbabbb, babbaabababa]"
Odd number of b's,(a*ba*b)*a*ba*,(a|bb|abab|bab|baab)*b(a|bb|abab|bab|baab)*,"positive example:[baaabb, bababa, bbb, baa, baaabbbb, baaabaabbb, baaababa, baababa, baaabba, baabb, babb, bbaba, aabbba, baaaaabaaba, baaababbb, bababab, bab, bbabab, baaabab, baabab]
negative example:[bb, bba, baaaba, aabaaaaabbb, baaababb, baabbaaab, baaabbb, baaabaa, baba, baaba, bbbaaab, baaabaabab, baaabaabb, baaabbab, baaababab, baaabaaaaabba, baaabaaab, babbaaab, abba, abbb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((aa)|(bb)|(ab)|(ba))+(aaa)+,"positive example:[aaabaaaaa, bbaaaabaaaaaa, baabaaabaaaaa, aaaaaabaaaaa, bbbaaaaaaabaaaaa, bbaababaaaaaa, abaabaaaaaa, aabaaaa, baaabaaaaa, bbbababaaaa, abababaaaaa]

negative example:[aaaaabaaaaab, aaaaabaa, aabaa, bbabbaa, bbaaabaaa, aaaaaaabb, bbaaaaabbbb, aaaaaabab, bbaaaa, aaabaaa, abba, bbaaaabbb, aaabaaaa, bbaaaaaabab, aabaa]"
Odd number of b's,(a*ba*b)*a*ba*,(a|aa|bb|bba|abb|bab|abab)*b,"positive example:[bbb, aababb, babab, bbab, ababb, ababbb, bb, ababbbbab]

negative example:[baba, bba, baaa, babbb, baabbaab, aabb, bbbb, ba, ababa, babb, abbbbb, b]"
Odd number of b's,(a*ba*b)*a*ba*,(a|aa|bb|bba|abb|bab|abab)*(b|ba|ab),"positive example: [babb, bbb, aabbb, babab, bbab, ba, abbab, abba, ababbb]

negative example: [baba, baabb, bba, babbb, aabb, baaabaa, bbbb, ab, aaaab]"
Odd number of b's,(a*ba*b)*a*ba*,(a|aa|bb|bba|abb|bab|abab)*(b|ba|ab|(b(a)*)),"positive example:[bbb, bbba, babb, bababa, aaabba, bbabaab, abbba]
negative example:[abba, bba, baa, aabb, bbbbb, baabaa, bbaa, abaab]"
Odd number of b's,(a*ba*b)*a*ba*,(a|aa|bb|bba|abb|bab|abab)*(b(a)*|ba|ab|(b(a)*)),"positive example:[ba, bab, abbab, baa, aab, bbaaa, ababba]  
negative example:[aa, baba, bbbb, abbabb, bbbbb, aaa, aabbba]"
Odd number of b's,(a*ba*b)*a*ba*,(a|aa|bb|bba|abb|bab|abab)*(b(a)*|ba|ab|(b(a)*|b(a)*bb)),"positive example:[ba, abba, ababba, babaa, baba, aabbbaab, bbaab, babb, abbba, baaab],negative example:[bbba, baa, bbbbab, aaabbba, bababab, baaba, abbbaa, babaabab, ababbb, bbabb]"
Every b followed by two or more a's,(a|baa)*,(a*(b{1}aa+)),"positive example: [baaa, baaaa, abaaa, aabaaa, aaaaaabaaa]  
negative example: [b, aaa, aaaa, abaa, bbaaa, aa, aba, abaaaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)aaa+,"positive example:[bbaaaaa, aaaaaaa, abaaaa, baaaaa, abaaaaa, abaaaaaa, bbaaaaaa, bbaaaaaaa], negative example:[aa, , aaa, bb, bba, a, bbaaaaab, b, bbaaabb, aaaba, aabaa, aaaaaba, aaaa, bbaabb, bbaa, bbbbb, bbabb, aaaaba, aaaaaaab, aaaaaab, baaaab, aba, bbb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b))+aaa+,"positive example:[aabaaabaaa, bbaabbaaaa, aabbbbaaa, bbaabaaaa, bbaaabaaa, aabbaaabaaa, abaabbaaaa, ababaaa, ababaaaaaa, abaabaabaaa],negative example:[aaab, bb, bbaaab, aaabaaaab, abba, ab, bbaa, aab, bbbabba, aaaaabab]"
Every b followed by two or more a's,(a|baa)*,a*(b(aa)+)*a*,"positive example:[aa, aaaa, baaaa, baaaaa, baaaabaaa, aabaaaaa, baaaabaa, a, baaa, bbaa]
negative example:[baabba, bb, baaabb, baaaba, baaab, aaba, baababaa, baaaaaab, aabaaaab, baabbb, baaaab, aabaaa, babaa]"
Odd number of b's,(a*ba*b)*a*ba*,(b(bb)*),"positive example: [b, bb, bbb, bbbb, bbbbbb]

negative example: [a, ab, ba, bba, bbbba, bab, bbbbb]"
Odd number of b's,(a*ba*b)*a*ba*,a*(b(bb)*)a*,"positive example: [bba, bbba, bbbbba, aa, aaba], negative example: [bab, aba, aaab, babbb, abba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb)+aaa,"positive example:[aaa, aaaaaa, aabbaa, bbbaaa, aabbaaaaaa, bbaabbbaaa, bbaaabbaaaa]
negative example:[bbba, aa, aab, baa, aaaaa, bbaaaaab, bbb, aabaaa, baaaa, abb, bbaa]"
Odd number of b's,(a*ba*b)*a*ba*,a*b((bb)*a*)*,"positive example: [a, b, ab, bab, bbb, bbbba, aabab, bbba, bbbbbbab]

negative example: [aa, baaa, bbaabab, bbabb, baa, bbbaba, aab, bbbb]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*(ba*b)*(bb)a*)*,"positive example:[bba, abbbaabb, babba, baab, baaabbbb, bbbaaabb, aabbb, bbaabb],negative example:[aba, ab, baaba, babaa, baa, abaa, bbbabba, bbaba]"
Every b followed by two or more a's,(a|baa)*,(a*|baa),"positive example:[aaa, , baa, a, aa],negative example:[bba, abb, ab, b, bbb, aaaba, baabb, baaaa, babaabba, babb, baaab, baaba, ba, abab, bbaa, aab]"
Every b followed by two or more a's,(a|baa)*,a*(ba{2})*,"positive example:[, a, aa, baa, aabaa, baabbaa], negative example:[ba, abab, aabba, abbaa, bb, aab]"
Odd number of b's,(a*ba*b)*a*ba*,(a|bb)*a*b(a|bb)*,"positive example:[baaabb, babbbb, babba, babb, bbb, bbaba, aabbba]  
negative example:[bb, bba, bababb, babbb, aabaaabbba, babaaaba, bbbaba, babbaba]"
Every b followed by two or more a's,(a|baa)*,"ba{2,}","positive example: [baa, baaa, baaaa, baaaaa, baaab]  
negative example: [b, ba, bab, bba, ab, aa, bbaaa, babaa, aba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|ba|aa|bb)+aaa,"positive example:[ababaaa, aabbaaa, babbaaa, bbaababaaa, aabaaa, bbababaaa, aaaabaaabaa, abaabbbaaa, abababaaa, abbaaabaaa]

negative example:[abaa, bbbbaa, abb, aaabba, bbbabb, aaababbb, aab, aaabbb, babab, bbaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b))+aaa,"positive example:[ababaaa, bbbbaaa, aababaaa, abbaaabaaa, baabbaaa, babaabaaa, aaababaaa, aaaabaaa, aaaabbaaa, bbababaaa], negative example:[aab, babaa, aaab, bba, abab, baaba, bbabaa, babb, ababba, bbb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b))+aaa(a)*,"positive example:[aabbbaaaa, baaabaaaa, abaabaaaa, baaabbaaaa, babaabaaaa, ababbaaaaaaaa, abbbaaabbaaaa, abababaaaa, ababbaaabaaaa, ababbbaaaabaaa]

negative example:[aabba, abb, baabaa, babb, aaab, bbbab, abababaa, abbabab, baa, baaaa, babaa, abaa, abab, bababa, abbaaaab]"
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a)*(bb)*,"positive example:[b, ab, ba, baa, baab, baabb, bbbbb, aab, aabbb, aabb, aabbbbb]  
negative example:[bba, bbab, bbba, aabbbba, abba, aa, bbaaabba, abbbab]"
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a)*(bb)*(a)*,"positive example:[ab, ba, aaabb, baabbb, aabba, babbba, bb, abbaaa, bbbb, bba]
negative example:[bbbab, aa, aabbabaabb, bbbba, bbbaba, bbbaaabb, abb, baa, aba, abab]"
Odd number of b's,(a*ba*b)*a*ba*,a*(bb)*a*b(bb)*,"positive example:[bbaaabbb, bbbbb, aabbb, bbab, bbabbbbb, bbb, aaabbb, aab, abbb]
negative example:[bba, bbabbab, aa, bbabbba, bbabbaa, bbabbbb, bbabaa, aabaabaa, bbaaabbba, bbbb, bbabab, babb, bbba, bbaba, ab]"
Odd number of b's,(a*ba*b)*a*ba*,a*(bb)*a*b(bb)*a*,"positive example: [bbbbb, bbba, bbabbba, bbb, aabaaa, bbabbb, bbabaa, bbaaab, bbabbbbb, aa, a, aaa, abba, bba, bbbaaa]  
negative example: [bbabbab, bab, bbaaabab, bbabaab, bbabbaa, bbabbbb, aabbbb, bbabbbab, bbbb, bbabab, bbbab, babaa, baaabbbab, aba, aabba, babb]"
Every b followed by two or more a's,(a|baa)*,a*(baa+)+|baa+,"positive example:[baa, baaa, baabaa, baaaabaa, baabaabaa], negative example:[baabb, aa, baaba, aabbabaa, baababb, baababa, bbbb, baaaab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b)|(aa|bb))+aaa,"positive example:[bbabaaa, bbaaaaa, aaaaabbaaaa, aaaaaaa, aaaaabaabaaaa, aaaaabaaa, aaabaaa, aaaabaabaaa, aaabbaaaa, bbaabbabaaa, bbaaabaaa, bbabbbaaa, bbbbaaa, aaaaaabaaaa, bbaaabbbaaa, aabaaaa, bbaaabaabbaaa, bbaaaabbaaa],  
negative example:[bbaaaaaa, bbaaaab, bbaaabbb, bbaaabab, aab, bbb, aaaba, aaaaaab, aaabb, aaaaaa, bbaabbaaaa, bbaaaa, aaaabaaaaa, bbabb, bbaba, aaaabaaab, aaaaabba, aaaaaaaa, bbaabbaab, aaaaabab]"
Every b followed by two or more a's,(a|baa)*,a*(baa)*a*,"positive example:[aa, , aabaaaaa, baabaa, baa, baabaaa, aabaa, a, baaa, baabaa, baabaa]
negative example:[aabaaab, babaa, aaabaa, aba, baaab, abaa, ab, baabaaab, baaabba, baabba]"
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*(b(a*)b)*a*),"positive example: [b, aba, ababa, baaab, abba, abbab]

negative example: [aa, bbbbab, abab, abbb, baa, bbbba]"
At least one a followed by one b,a+b,ab{1},"positive example: [ab], negative example: [aaa, , babaa, a, bbb, aab, abbb, abaa, abba, abab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((aaa|bbb)|(aa|bb))+aaa,"positive example:[bbaaaaaaabbaaa, aabbaaa, aaaabbaaa, bbbbaabbaaa, aaaaa, bbaaaaabbaaa, bbaaabbaaa, aaabbaaa, bbaaaabbaaa]  
negative example:[, aaa, bbaaaaab, aaaba, aaabb, bbaaaaabb, aabb, bbaaaa, bbaa, babb, bbaaba, bbaaaaba, bbaaaabb, aa, abb, aba, a, bbaaaba, bbaaabb, aaaab, aaaaaba, bbaaaaaaaba, baaa, aaba, bbabb, bbaba, bbaabbbba]"
